game,2015,5,20151011,201510110rav,cle,"Cleveland Browns",33,rav,"Baltimore Ravens",30
team,201510110rav,cle,First Downs,25,,,,,,
team,201510110rav,rav,First Downs,22,,,,,,
team,201510110rav,cle,Rush-Yds-TDs,25-83-1,,,,,,
team,201510110rav,rav,Rush-Yds-TDs,31-181-3,,,,,,
team,201510110rav,cle,Cmp-Att-Yd-TD-INT,36-51-457-2-0,,,,,,
team,201510110rav,rav,Cmp-Att-Yd-TD-INT,19-35-210-1-0,,,,,,
team,201510110rav,cle,Sacked-Yards,4-35,,,,,,
team,201510110rav,rav,Sacked-Yards,1-14,,,,,,
team,201510110rav,cle,Net Pass Yards,422,,,,,,
team,201510110rav,rav,Net Pass Yards,196,,,,,,
team,201510110rav,cle,Total Yards,505,,,,,,
team,201510110rav,rav,Total Yards,377,,,,,,
team,201510110rav,cle,Fumbles-Lost,0-0,,,,,,
team,201510110rav,rav,Fumbles-Lost,0-0,,,,,,
team,201510110rav,cle,Turnovers,0,,,,,,
team,201510110rav,rav,Turnovers,0,,,,,,
team,201510110rav,cle,Penalties-Yards,9-74,,,,,,
team,201510110rav,rav,Penalties-Yards,12-98,,,,,,
team,201510110rav,cle,Third Down Conv.,12-19,,,,,,
team,201510110rav,rav,Third Down Conv.,5-14,,,,,,
team,201510110rav,cle,Fourth Down Conv.,0-0,,,,,,
team,201510110rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201510110rav,cle,Time of Possession,39:16,,,,,,
team,201510110rav,rav,Time of Possession,29:01,,,,,,
player,201510110rav,cle,McCoJo01,pass_cmp,36,,,,,
player,201510110rav,cle,McCoJo01,pass_att,51,,,,,
player,201510110rav,cle,McCoJo01,pass_yds,457,,,,,
player,201510110rav,cle,McCoJo01,pass_td,2,,,,,
player,201510110rav,cle,McCoJo01,pass_int,0,,,,,
player,201510110rav,cle,McCoJo01,pass_sacked,4,,,,,
player,201510110rav,cle,McCoJo01,pass_sacked_yds,35,,,,,
player,201510110rav,cle,McCoJo01,pass_long,56,,,,,
player,201510110rav,cle,McCoJo01,pass_rating,111.3,,,,,
player,201510110rav,cle,McCoJo01,rush_att,3,,,,,
player,201510110rav,cle,McCoJo01,rush_yds,12,,,,,
player,201510110rav,cle,McCoJo01,rush_td,1,,,,,
player,201510110rav,cle,McCoJo01,rush_long,10,,,,,
player,201510110rav,cle,McCoJo01,targets,0,,,,,
player,201510110rav,cle,McCoJo01,rec,0,,,,,
player,201510110rav,cle,McCoJo01,rec_yds,0,,,,,
player,201510110rav,cle,McCoJo01,rec_td,0,,,,,
player,201510110rav,cle,McCoJo01,rec_long,0,,,,,
player,201510110rav,cle,McCoJo01,fumbles,0,,,,,
player,201510110rav,cle,McCoJo01,fumbles_lost,0,,,,,
player,201510110rav,cle,CrowIs00,pass_cmp,0,,,,,
player,201510110rav,cle,CrowIs00,pass_att,0,,,,,
player,201510110rav,cle,CrowIs00,pass_yds,0,,,,,
player,201510110rav,cle,CrowIs00,pass_td,0,,,,,
player,201510110rav,cle,CrowIs00,pass_int,0,,,,,
player,201510110rav,cle,CrowIs00,pass_sacked,0,,,,,
player,201510110rav,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201510110rav,cle,CrowIs00,pass_long,0,,,,,
player,201510110rav,cle,CrowIs00,pass_rating,,,,,,
player,201510110rav,cle,CrowIs00,rush_att,13,,,,,
player,201510110rav,cle,CrowIs00,rush_yds,49,,,,,
player,201510110rav,cle,CrowIs00,rush_td,0,,,,,
player,201510110rav,cle,CrowIs00,rush_long,18,,,,,
player,201510110rav,cle,CrowIs00,targets,2,,,,,
player,201510110rav,cle,CrowIs00,rec,2,,,,,
player,201510110rav,cle,CrowIs00,rec_yds,38,,,,,
player,201510110rav,cle,CrowIs00,rec_td,1,,,,,
player,201510110rav,cle,CrowIs00,rec_long,22,,,,,
player,201510110rav,cle,CrowIs00,fumbles,0,,,,,
player,201510110rav,cle,CrowIs00,fumbles_lost,0,,,,,
player,201510110rav,cle,JohnDu00,pass_cmp,0,,,,,
player,201510110rav,cle,JohnDu00,pass_att,0,,,,,
player,201510110rav,cle,JohnDu00,pass_yds,0,,,,,
player,201510110rav,cle,JohnDu00,pass_td,0,,,,,
player,201510110rav,cle,JohnDu00,pass_int,0,,,,,
player,201510110rav,cle,JohnDu00,pass_sacked,0,,,,,
player,201510110rav,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201510110rav,cle,JohnDu00,pass_long,0,,,,,
player,201510110rav,cle,JohnDu00,pass_rating,,,,,,
player,201510110rav,cle,JohnDu00,rush_att,9,,,,,
player,201510110rav,cle,JohnDu00,rush_yds,22,,,,,
player,201510110rav,cle,JohnDu00,rush_td,0,,,,,
player,201510110rav,cle,JohnDu00,rush_long,6,,,,,
player,201510110rav,cle,JohnDu00,targets,8,,,,,
player,201510110rav,cle,JohnDu00,rec,6,,,,,
player,201510110rav,cle,JohnDu00,rec_yds,55,,,,,
player,201510110rav,cle,JohnDu00,rec_td,0,,,,,
player,201510110rav,cle,JohnDu00,rec_long,27,,,,,
player,201510110rav,cle,JohnDu00,fumbles,0,,,,,
player,201510110rav,cle,JohnDu00,fumbles_lost,0,,,,,
player,201510110rav,cle,BarnGa01,pass_cmp,0,,,,,
player,201510110rav,cle,BarnGa01,pass_att,0,,,,,
player,201510110rav,cle,BarnGa01,pass_yds,0,,,,,
player,201510110rav,cle,BarnGa01,pass_td,0,,,,,
player,201510110rav,cle,BarnGa01,pass_int,0,,,,,
player,201510110rav,cle,BarnGa01,pass_sacked,0,,,,,
player,201510110rav,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201510110rav,cle,BarnGa01,pass_long,0,,,,,
player,201510110rav,cle,BarnGa01,pass_rating,,,,,,
player,201510110rav,cle,BarnGa01,rush_att,0,,,,,
player,201510110rav,cle,BarnGa01,rush_yds,0,,,,,
player,201510110rav,cle,BarnGa01,rush_td,0,,,,,
player,201510110rav,cle,BarnGa01,rush_long,0,,,,,
player,201510110rav,cle,BarnGa01,targets,10,,,,,
player,201510110rav,cle,BarnGa01,rec,8,,,,,
player,201510110rav,cle,BarnGa01,rec_yds,139,,,,,
player,201510110rav,cle,BarnGa01,rec_td,1,,,,,
player,201510110rav,cle,BarnGa01,rec_long,35,,,,,
player,201510110rav,cle,BarnGa01,fumbles,0,,,,,
player,201510110rav,cle,BarnGa01,fumbles_lost,0,,,,,
player,201510110rav,cle,BenjTr00,pass_cmp,0,,,,,
player,201510110rav,cle,BenjTr00,pass_att,0,,,,,
player,201510110rav,cle,BenjTr00,pass_yds,0,,,,,
player,201510110rav,cle,BenjTr00,pass_td,0,,,,,
