game,2015,6,20151015,201510150nor,atl,"Atlanta Falcons",21,nor,"New Orleans Saints",31
team,201510150nor,atl,First Downs,23,,,,,,
team,201510150nor,nor,First Downs,25,,,,,,
team,201510150nor,atl,Rush-Yds-TDs,21-150-1,,,,,,
team,201510150nor,nor,Rush-Yds-TDs,32-81-2,,,,,,
team,201510150nor,atl,Cmp-Att-Yd-TD-INT,30-44-295-2-0,,,,,,
team,201510150nor,nor,Cmp-Att-Yd-TD-INT,30-39-312-1-0,,,,,,
team,201510150nor,atl,Sacked-Yards,5-32,,,,,,
team,201510150nor,nor,Sacked-Yards,1-8,,,,,,
team,201510150nor,atl,Net Pass Yards,263,,,,,,
team,201510150nor,nor,Net Pass Yards,304,,,,,,
team,201510150nor,atl,Total Yards,413,,,,,,
team,201510150nor,nor,Total Yards,385,,,,,,
team,201510150nor,atl,Fumbles-Lost,5-3,,,,,,
team,201510150nor,nor,Fumbles-Lost,0-0,,,,,,
team,201510150nor,atl,Turnovers,3,,,,,,
team,201510150nor,nor,Turnovers,0,,,,,,
team,201510150nor,atl,Penalties-Yards,7-41,,,,,,
team,201510150nor,nor,Penalties-Yards,3-15,,,,,,
team,201510150nor,atl,Third Down Conv.,3-12,,,,,,
team,201510150nor,nor,Third Down Conv.,8-16,,,,,,
team,201510150nor,atl,Fourth Down Conv.,3-4,,,,,,
team,201510150nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201510150nor,atl,Time of Possession,27:30,,,,,,
team,201510150nor,nor,Time of Possession,32:30,,,,,,
player,201510150nor,atl,RyanMa00,pass_cmp,30,,,,,
player,201510150nor,atl,RyanMa00,pass_att,44,,,,,
player,201510150nor,atl,RyanMa00,pass_yds,295,,,,,
player,201510150nor,atl,RyanMa00,pass_td,2,,,,,
player,201510150nor,atl,RyanMa00,pass_int,0,,,,,
player,201510150nor,atl,RyanMa00,pass_sacked,5,,,,,
player,201510150nor,atl,RyanMa00,pass_sacked_yds,32,,,,,
player,201510150nor,atl,RyanMa00,pass_long,30,,,,,
player,201510150nor,atl,RyanMa00,pass_rating,102.0,,,,,
player,201510150nor,atl,RyanMa00,rush_att,4,,,,,
player,201510150nor,atl,RyanMa00,rush_yds,10,,,,,
player,201510150nor,atl,RyanMa00,rush_td,0,,,,,
player,201510150nor,atl,RyanMa00,rush_long,5,,,,,
player,201510150nor,atl,RyanMa00,targets,0,,,,,
player,201510150nor,atl,RyanMa00,rec,0,,,,,
player,201510150nor,atl,RyanMa00,rec_yds,0,,,,,
player,201510150nor,atl,RyanMa00,rec_td,0,,,,,
player,201510150nor,atl,RyanMa00,rec_long,0,,,,,
player,201510150nor,atl,RyanMa00,fumbles,3,,,,,
player,201510150nor,atl,RyanMa00,fumbles_lost,1,,,,,
player,201510150nor,atl,FreeDe00,pass_cmp,0,,,,,
player,201510150nor,atl,FreeDe00,pass_att,0,,,,,
player,201510150nor,atl,FreeDe00,pass_yds,0,,,,,
player,201510150nor,atl,FreeDe00,pass_td,0,,,,,
player,201510150nor,atl,FreeDe00,pass_int,0,,,,,
player,201510150nor,atl,FreeDe00,pass_sacked,0,,,,,
player,201510150nor,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201510150nor,atl,FreeDe00,pass_long,0,,,,,
player,201510150nor,atl,FreeDe00,pass_rating,,,,,,
player,201510150nor,atl,FreeDe00,rush_att,13,,,,,
player,201510150nor,atl,FreeDe00,rush_yds,100,,,,,
player,201510150nor,atl,FreeDe00,rush_td,1,,,,,
player,201510150nor,atl,FreeDe00,rush_long,25,,,,,
player,201510150nor,atl,FreeDe00,targets,10,,,,,
player,201510150nor,atl,FreeDe00,rec,8,,,,,
player,201510150nor,atl,FreeDe00,rec_yds,56,,,,,
player,201510150nor,atl,FreeDe00,rec_td,1,,,,,
player,201510150nor,atl,FreeDe00,rec_long,13,,,,,
player,201510150nor,atl,FreeDe00,fumbles,0,,,,,
player,201510150nor,atl,FreeDe00,fumbles_lost,0,,,,,
player,201510150nor,atl,ColeTe01,pass_cmp,0,,,,,
player,201510150nor,atl,ColeTe01,pass_att,0,,,,,
player,201510150nor,atl,ColeTe01,pass_yds,0,,,,,
player,201510150nor,atl,ColeTe01,pass_td,0,,,,,
player,201510150nor,atl,ColeTe01,pass_int,0,,,,,
player,201510150nor,atl,ColeTe01,pass_sacked,0,,,,,
player,201510150nor,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201510150nor,atl,ColeTe01,pass_long,0,,,,,
player,201510150nor,atl,ColeTe01,pass_rating,,,,,,
player,201510150nor,atl,ColeTe01,rush_att,4,,,,,
player,201510150nor,atl,ColeTe01,rush_yds,40,,,,,
player,201510150nor,atl,ColeTe01,rush_td,0,,,,,
player,201510150nor,atl,ColeTe01,rush_long,18,,,,,
player,201510150nor,atl,ColeTe01,targets,0,,,,,
player,201510150nor,atl,ColeTe01,rec,0,,,,,
player,201510150nor,atl,ColeTe01,rec_yds,0,,,,,
player,201510150nor,atl,ColeTe01,rec_td,0,,,,,
player,201510150nor,atl,ColeTe01,rec_long,0,,,,,
player,201510150nor,atl,ColeTe01,fumbles,1,,,,,
player,201510150nor,atl,ColeTe01,fumbles_lost,1,,,,,
player,201510150nor,atl,JoneJu02,pass_cmp,0,,,,,
player,201510150nor,atl,JoneJu02,pass_att,0,,,,,
player,201510150nor,atl,JoneJu02,pass_yds,0,,,,,
player,201510150nor,atl,JoneJu02,pass_td,0,,,,,
player,201510150nor,atl,JoneJu02,pass_int,0,,,,,
player,201510150nor,atl,JoneJu02,pass_sacked,0,,,,,
player,201510150nor,atl,JoneJu02,pass_sacked_yds,0,,,,,
