game,2015,10,20151115,201511150sea,crd,"Arizona Cardinals",39,sea,"Seattle Seahawks",32
team,201511150sea,crd,First Downs,30,,,,,,
team,201511150sea,sea,First Downs,18,,,,,,
team,201511150sea,crd,Rush-Yds-TDs,33-117-1,,,,,,
team,201511150sea,sea,Rush-Yds-TDs,18-115-2,,,,,,
team,201511150sea,crd,Cmp-Att-Yd-TD-INT,29-47-363-3-1,,,,,,
team,201511150sea,sea,Cmp-Att-Yd-TD-INT,14-32-240-1-1,,,,,,
team,201511150sea,crd,Sacked-Yards,3-29,,,,,,
team,201511150sea,sea,Sacked-Yards,2-12,,,,,,
team,201511150sea,crd,Net Pass Yards,334,,,,,,
team,201511150sea,sea,Net Pass Yards,228,,,,,,
team,201511150sea,crd,Total Yards,451,,,,,,
team,201511150sea,sea,Total Yards,343,,,,,,
team,201511150sea,crd,Fumbles-Lost,2-2,,,,,,
team,201511150sea,sea,Fumbles-Lost,2-0,,,,,,
team,201511150sea,crd,Turnovers,3,,,,,,
team,201511150sea,sea,Turnovers,1,,,,,,
team,201511150sea,crd,Penalties-Yards,9-66,,,,,,
team,201511150sea,sea,Penalties-Yards,14-131,,,,,,
team,201511150sea,crd,Third Down Conv.,8-17,,,,,,
team,201511150sea,sea,Third Down Conv.,1-8,,,,,,
team,201511150sea,crd,Fourth Down Conv.,0-0,,,,,,
team,201511150sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201511150sea,crd,Time of Possession,38:52,,,,,,
team,201511150sea,sea,Time of Possession,21:08,,,,,,
player,201511150sea,crd,PalmCa00,pass_cmp,29,,,,,
player,201511150sea,crd,PalmCa00,pass_att,47,,,,,
player,201511150sea,crd,PalmCa00,pass_yds,363,,,,,
player,201511150sea,crd,PalmCa00,pass_td,3,,,,,
player,201511150sea,crd,PalmCa00,pass_int,1,,,,,
player,201511150sea,crd,PalmCa00,pass_sacked,3,,,,,
player,201511150sea,crd,PalmCa00,pass_sacked_yds,29,,,,,
player,201511150sea,crd,PalmCa00,pass_long,35,,,,,
player,201511150sea,crd,PalmCa00,pass_rating,98.1,,,,,
player,201511150sea,crd,PalmCa00,rush_att,3,,,,,
player,201511150sea,crd,PalmCa00,rush_yds,-2,,,,,
player,201511150sea,crd,PalmCa00,rush_td,0,,,,,
player,201511150sea,crd,PalmCa00,rush_long,0,,,,,
player,201511150sea,crd,PalmCa00,targets,0,,,,,
player,201511150sea,crd,PalmCa00,rec,0,,,,,
player,201511150sea,crd,PalmCa00,rec_yds,0,,,,,
player,201511150sea,crd,PalmCa00,rec_td,0,,,,,
player,201511150sea,crd,PalmCa00,rec_long,0,,,,,
player,201511150sea,crd,PalmCa00,fumbles,2,,,,,
player,201511150sea,crd,PalmCa00,fumbles_lost,2,,,,,
player,201511150sea,crd,ElliAn00,pass_cmp,0,,,,,
player,201511150sea,crd,ElliAn00,pass_att,0,,,,,
player,201511150sea,crd,ElliAn00,pass_yds,0,,,,,
player,201511150sea,crd,ElliAn00,pass_td,0,,,,,
player,201511150sea,crd,ElliAn00,pass_int,0,,,,,
player,201511150sea,crd,ElliAn00,pass_sacked,0,,,,,
player,201511150sea,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201511150sea,crd,ElliAn00,pass_long,0,,,,,
player,201511150sea,crd,ElliAn00,pass_rating,,,,,,
player,201511150sea,crd,ElliAn00,rush_att,5,,,,,
player,201511150sea,crd,ElliAn00,rush_yds,61,,,,,
