game,2015,9,20151108,201511080min,ram,"St. Louis Rams",18,min,"Minnesota Vikings",21
team,201511080min,ram,First Downs,18,,,,,,
team,201511080min,min,First Downs,21,,,,,,
team,201511080min,ram,Rush-Yds-TDs,36-160-1,,,,,,
team,201511080min,min,Rush-Yds-TDs,35-145-2,,,,,,
team,201511080min,ram,Cmp-Att-Yd-TD-INT,18-33-168-0-0,,,,,,
team,201511080min,min,Cmp-Att-Yd-TD-INT,15-27-159-0-1,,,,,,
team,201511080min,ram,Sacked-Yards,1-8,,,,,,
team,201511080min,min,Sacked-Yards,1-11,,,,,,
team,201511080min,ram,Net Pass Yards,160,,,,,,
team,201511080min,min,Net Pass Yards,148,,,,,,
team,201511080min,ram,Total Yards,320,,,,,,
team,201511080min,min,Total Yards,293,,,,,,
team,201511080min,ram,Fumbles-Lost,1-0,,,,,,
team,201511080min,min,Fumbles-Lost,2-0,,,,,,
team,201511080min,ram,Turnovers,0,,,,,,
team,201511080min,min,Turnovers,1,,,,,,
team,201511080min,ram,Penalties-Yards,12-87,,,,,,
team,201511080min,min,Penalties-Yards,6-67,,,,,,
team,201511080min,ram,Third Down Conv.,2-16,,,,,,
team,201511080min,min,Third Down Conv.,3-13,,,,,,
team,201511080min,ram,Fourth Down Conv.,1-1,,,,,,
team,201511080min,min,Fourth Down Conv.,0-0,,,,,,
team,201511080min,ram,Time of Possession,32:27,,,,,,
team,201511080min,min,Time of Possession,33:13,,,,,,
player,201511080min,ram,FoleNi00,pass_cmp,18,,,,,
player,201511080min,ram,FoleNi00,pass_att,33,,,,,
player,201511080min,ram,FoleNi00,pass_yds,168,,,,,
player,201511080min,ram,FoleNi00,pass_td,0,,,,,
player,201511080min,ram,FoleNi00,pass_int,0,,,,,
player,201511080min,ram,FoleNi00,pass_sacked,1,,,,,
player,201511080min,ram,FoleNi00,pass_sacked_yds,8,,,,,
player,201511080min,ram,FoleNi00,pass_long,55,,,,,
player,201511080min,ram,FoleNi00,pass_rating,68.7,,,,,
player,201511080min,ram,FoleNi00,rush_att,1,,,,,
player,201511080min,ram,FoleNi00,rush_yds,2,,,,,
player,201511080min,ram,FoleNi00,rush_td,0,,,,,
player,201511080min,ram,FoleNi00,rush_long,2,,,,,
player,201511080min,ram,FoleNi00,targets,0,,,,,
player,201511080min,ram,FoleNi00,rec,0,,,,,
player,201511080min,ram,FoleNi00,rec_yds,0,,,,,
player,201511080min,ram,FoleNi00,rec_td,0,,,,,
player,201511080min,ram,FoleNi00,rec_long,0,,,,,
player,201511080min,ram,FoleNi00,fumbles,1,,,,,
player,201511080min,ram,FoleNi00,fumbles_lost,0,,,,,
player,201511080min,ram,GurlTo01,pass_cmp,0,,,,,
player,201511080min,ram,GurlTo01,pass_att,0,,,,,
player,201511080min,ram,GurlTo01,pass_yds,0,,,,,
player,201511080min,ram,GurlTo01,pass_td,0,,,,,
player,201511080min,ram,GurlTo01,pass_int,0,,,,,
player,201511080min,ram,GurlTo01,pass_sacked,0,,,,,
player,201511080min,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201511080min,ram,GurlTo01,pass_long,0,,,,,
player,201511080min,ram,GurlTo01,pass_rating,,,,,,
player,201511080min,ram,GurlTo01,rush_att,24,,,,,
