game,2015,1,20150913,201509130dal,nyg,"New York Giants",26,dal,"Dallas Cowboys",27
team,201509130dal,nyg,First Downs,18,,,,,,
team,201509130dal,dal,First Downs,27,,,,,,
team,201509130dal,nyg,Rush-Yds-TDs,24-99-1,,,,,,
team,201509130dal,dal,Rush-Yds-TDs,23-80-0,,,,,,
team,201509130dal,nyg,Cmp-Att-Yd-TD-INT,20-36-193-0-0,,,,,,
team,201509130dal,dal,Cmp-Att-Yd-TD-INT,36-45-356-3-2,,,,,,
team,201509130dal,nyg,Sacked-Yards,1-3,,,,,,
team,201509130dal,dal,Sacked-Yards,0-0,,,,,,
team,201509130dal,nyg,Net Pass Yards,190,,,,,,
team,201509130dal,dal,Net Pass Yards,356,,,,,,
team,201509130dal,nyg,Total Yards,289,,,,,,
team,201509130dal,dal,Total Yards,436,,,,,,
team,201509130dal,nyg,Fumbles-Lost,0-0,,,,,,
team,201509130dal,dal,Fumbles-Lost,3-1,,,,,,
team,201509130dal,nyg,Turnovers,0,,,,,,
team,201509130dal,dal,Turnovers,3,,,,,,
team,201509130dal,nyg,Penalties-Yards,5-44,,,,,,
team,201509130dal,dal,Penalties-Yards,3-35,,,,,,
team,201509130dal,nyg,Third Down Conv.,6-14,,,,,,
team,201509130dal,dal,Third Down Conv.,6-11,,,,,,
team,201509130dal,nyg,Fourth Down Conv.,0-0,,,,,,
team,201509130dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201509130dal,nyg,Time of Possession,22:50,,,,,,
team,201509130dal,dal,Time of Possession,37:10,,,,,,
player,201509130dal,nyg,MannEl00,pass_cmp,20,,,,,
player,201509130dal,nyg,MannEl00,pass_att,36,,,,,
player,201509130dal,nyg,MannEl00,pass_yds,189,,,,,
player,201509130dal,nyg,MannEl00,pass_td,0,,,,,
player,201509130dal,nyg,MannEl00,pass_int,0,,,,,
player,201509130dal,nyg,MannEl00,pass_sacked,1,,,,,
player,201509130dal,nyg,MannEl00,pass_sacked_yds,3,,,,,
player,201509130dal,nyg,MannEl00,pass_long,22,,,,,
player,201509130dal,nyg,MannEl00,pass_rating,70.3,,,,,
player,201509130dal,nyg,MannEl00,rush_att,1,,,,,
player,201509130dal,nyg,MannEl00,rush_yds,8,,,,,
player,201509130dal,nyg,MannEl00,rush_td,0,,,,,
player,201509130dal,nyg,MannEl00,rush_long,8,,,,,
player,201509130dal,nyg,MannEl00,targets,0,,,,,
