game,2015,11,20151122,201511220mia,dal,"Dallas Cowboys",24,mia,"Miami Dolphins",14
team,201511220mia,dal,First Downs,22,,,,,,
team,201511220mia,mia,First Downs,9,,,,,,
team,201511220mia,dal,Rush-Yds-TDs,38-166-0,,,,,,
team,201511220mia,mia,Rush-Yds-TDs,14-70-0,,,,,,
team,201511220mia,dal,Cmp-Att-Yd-TD-INT,18-28-227-2-2,,,,,,
team,201511220mia,mia,Cmp-Att-Yd-TD-INT,13-24-188-2-1,,,,,,
team,201511220mia,dal,Sacked-Yards,2-7,,,,,,
team,201511220mia,mia,Sacked-Yards,3-48,,,,,,
team,201511220mia,dal,Net Pass Yards,220,,,,,,
team,201511220mia,mia,Net Pass Yards,140,,,,,,
team,201511220mia,dal,Total Yards,386,,,,,,
team,201511220mia,mia,Total Yards,210,,,,,,
team,201511220mia,dal,Fumbles-Lost,0-0,,,,,,
team,201511220mia,mia,Fumbles-Lost,1-0,,,,,,
team,201511220mia,dal,Turnovers,2,,,,,,
team,201511220mia,mia,Turnovers,1,,,,,,
team,201511220mia,dal,Penalties-Yards,10-79,,,,,,
team,201511220mia,mia,Penalties-Yards,9-74,,,,,,
team,201511220mia,dal,Third Down Conv.,7-14,,,,,,
team,201511220mia,mia,Third Down Conv.,1-10,,,,,,
team,201511220mia,dal,Fourth Down Conv.,1-2,,,,,,
team,201511220mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201511220mia,dal,Time of Possession,38:50,,,,,,
team,201511220mia,mia,Time of Possession,21:10,,,,,,
player,201511220mia,dal,RomoTo00,pass_cmp,18,,,,,
player,201511220mia,dal,RomoTo00,pass_att,28,,,,,
player,201511220mia,dal,RomoTo00,pass_yds,227,,,,,
player,201511220mia,dal,RomoTo00,pass_td,2,,,,,
player,201511220mia,dal,RomoTo00,pass_int,2,,,,,
player,201511220mia,dal,RomoTo00,pass_sacked,2,,,,,
player,201511220mia,dal,RomoTo00,pass_sacked_yds,7,,,,,
player,201511220mia,dal,RomoTo00,pass_long,31,,,,,
player,201511220mia,dal,RomoTo00,pass_rating,83.5,,,,,
player,201511220mia,dal,RomoTo00,rush_att,2,,,,,
player,201511220mia,dal,RomoTo00,rush_yds,2,,,,,
player,201511220mia,dal,RomoTo00,rush_td,0,,,,,
player,201511220mia,dal,RomoTo00,rush_long,3,,,,,
player,201511220mia,dal,RomoTo00,targets,0,,,,,
player,201511220mia,dal,RomoTo00,rec,0,,,,,
player,201511220mia,dal,RomoTo00,rec_yds,0,,,,,
player,201511220mia,dal,RomoTo00,rec_td,0,,,,,
player,201511220mia,dal,RomoTo00,rec_long,0,,,,,
player,201511220mia,dal,RomoTo00,fumbles,0,,,,,
player,201511220mia,dal,RomoTo00,fumbles_lost,0,,,,,
player,201511220mia,dal,McFaDa00,pass_cmp,0,,,,,
player,201511220mia,dal,McFaDa00,pass_att,0,,,,,
player,201511220mia,dal,McFaDa00,pass_yds,0,,,,,
player,201511220mia,dal,McFaDa00,pass_td,0,,,,,
player,201511220mia,dal,McFaDa00,pass_int,0,,,,,
player,201511220mia,dal,McFaDa00,pass_sacked,0,,,,,
player,201511220mia,dal,McFaDa00,pass_sacked_yds,0,,,,,
player,201511220mia,dal,McFaDa00,pass_long,0,,,,,
player,201511220mia,dal,McFaDa00,pass_rating,,,,,,
player,201511220mia,dal,McFaDa00,rush_att,29,,,,,
player,201511220mia,dal,McFaDa00,rush_yds,129,,,,,
player,201511220mia,dal,McFaDa00,rush_td,0,,,,,
player,201511220mia,dal,McFaDa00,rush_long,35,,,,,
player,201511220mia,dal,McFaDa00,targets,3,,,,,
player,201511220mia,dal,McFaDa00,rec,3,,,,,
player,201511220mia,dal,McFaDa00,rec_yds,20,,,,,
player,201511220mia,dal,McFaDa00,rec_td,0,,,,,
player,201511220mia,dal,McFaDa00,rec_long,9,,,,,
player,201511220mia,dal,McFaDa00,fumbles,0,,,,,
player,201511220mia,dal,McFaDa00,fumbles_lost,0,,,,,
player,201511220mia,dal,TurbRo00,pass_cmp,0,,,,,
player,201511220mia,dal,TurbRo00,pass_att,0,,,,,
player,201511220mia,dal,TurbRo00,pass_yds,0,,,,,
player,201511220mia,dal,TurbRo00,pass_td,0,,,,,
player,201511220mia,dal,TurbRo00,pass_int,0,,,,,
player,201511220mia,dal,TurbRo00,pass_sacked,0,,,,,
player,201511220mia,dal,TurbRo00,pass_sacked_yds,0,,,,,
player,201511220mia,dal,TurbRo00,pass_long,0,,,,,
player,201511220mia,dal,TurbRo00,pass_rating,,,,,,
player,201511220mia,dal,TurbRo00,rush_att,7,,,,,
player,201511220mia,dal,TurbRo00,rush_yds,35,,,,,
player,201511220mia,dal,TurbRo00,rush_td,0,,,,,
player,201511220mia,dal,TurbRo00,rush_long,17,,,,,
player,201511220mia,dal,TurbRo00,targets,2,,,,,
player,201511220mia,dal,TurbRo00,rec,1,,,,,
player,201511220mia,dal,TurbRo00,rec_yds,3,,,,,
player,201511220mia,dal,TurbRo00,rec_td,0,,,,,
player,201511220mia,dal,TurbRo00,rec_long,3,,,,,
player,201511220mia,dal,TurbRo00,fumbles,0,,,,,
player,201511220mia,dal,TurbRo00,fumbles_lost,0,,,,,
player,201511220mia,dal,WillTe01,pass_cmp,0,,,,,
player,201511220mia,dal,WillTe01,pass_att,0,,,,,
player,201511220mia,dal,WillTe01,pass_yds,0,,,,,
player,201511220mia,dal,WillTe01,pass_td,0,,,,,
player,201511220mia,dal,WillTe01,pass_int,0,,,,,
player,201511220mia,dal,WillTe01,pass_sacked,0,,,,,
player,201511220mia,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201511220mia,dal,WillTe01,pass_long,0,,,,,
player,201511220mia,dal,WillTe01,pass_rating,,,,,,
player,201511220mia,dal,WillTe01,rush_att,0,,,,,
player,201511220mia,dal,WillTe01,rush_yds,0,,,,,
player,201511220mia,dal,WillTe01,rush_td,0,,,,,
player,201511220mia,dal,WillTe01,rush_long,0,,,,,
player,201511220mia,dal,WillTe01,targets,4,,,,,
player,201511220mia,dal,WillTe01,rec,4,,,,,
player,201511220mia,dal,WillTe01,rec_yds,79,,,,,
player,201511220mia,dal,WillTe01,rec_td,1,,,,,
player,201511220mia,dal,WillTe01,rec_long,31,,,,,
player,201511220mia,dal,WillTe01,fumbles,0,,,,,
player,201511220mia,dal,WillTe01,fumbles_lost,0,,,,,
player,201511220mia,dal,BryaDe01,pass_cmp,0,,,,,
player,201511220mia,dal,BryaDe01,pass_att,0,,,,,
player,201511220mia,dal,BryaDe01,pass_yds,0,,,,,
player,201511220mia,dal,BryaDe01,pass_td,0,,,,,
player,201511220mia,dal,BryaDe01,pass_int,0,,,,,
player,201511220mia,dal,BryaDe01,pass_sacked,0,,,,,
player,201511220mia,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201511220mia,dal,BryaDe01,pass_long,0,,,,,
player,201511220mia,dal,BryaDe01,pass_rating,,,,,,
player,201511220mia,dal,BryaDe01,rush_att,0,,,,,
player,201511220mia,dal,BryaDe01,rush_yds,0,,,,,
player,201511220mia,dal,BryaDe01,rush_td,0,,,,,
player,201511220mia,dal,BryaDe01,rush_long,0,,,,,
player,201511220mia,dal,BryaDe01,targets,9,,,,,
player,201511220mia,dal,BryaDe01,rec,4,,,,,
player,201511220mia,dal,BryaDe01,rec_yds,45,,,,,
player,201511220mia,dal,BryaDe01,rec_td,1,,,,,
player,201511220mia,dal,BryaDe01,rec_long,16,,,,,
player,201511220mia,dal,BryaDe01,fumbles,0,,,,,
player,201511220mia,dal,BryaDe01,fumbles_lost,0,,,,,
player,201511220mia,dal,WittJa00,pass_cmp,0,,,,,
player,201511220mia,dal,WittJa00,pass_att,0,,,,,
player,201511220mia,dal,WittJa00,pass_yds,0,,,,,
player,201511220mia,dal,WittJa00,pass_td,0,,,,,
player,201511220mia,dal,WittJa00,pass_int,0,,,,,
player,201511220mia,dal,WittJa00,pass_sacked,0,,,,,
player,201511220mia,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201511220mia,dal,WittJa00,pass_long,0,,,,,
player,201511220mia,dal,WittJa00,pass_rating,,,,,,
player,201511220mia,dal,WittJa00,rush_att,0,,,,,
player,201511220mia,dal,WittJa00,rush_yds,0,,,,,
player,201511220mia,dal,WittJa00,rush_td,0,,,,,
player,201511220mia,dal,WittJa00,rush_long,0,,,,,
player,201511220mia,dal,WittJa00,targets,3,,,,,
player,201511220mia,dal,WittJa00,rec,2,,,,,
player,201511220mia,dal,WittJa00,rec_yds,27,,,,,
player,201511220mia,dal,WittJa00,rec_td,0,,,,,
