game,2015,16,20151227,201512270crd,gnb,"Green Bay Packers",8,crd,"Arizona Cardinals",38
player,201512270crd,gnb,StarJa00,rec_td,0,,,,,
player,201512270crd,gnb,StarJa00,rec_long,0,,,,,
player,201512270crd,gnb,StarJa00,fumbles,1,,,,,
player,201512270crd,gnb,StarJa00,fumbles_lost,1,,,,,
player,201512270crd,gnb,MastTi99,pass_cmp,0,,,,,
player,201512270crd,gnb,MastTi99,pass_att,0,,,,,
player,201512270crd,gnb,MastTi99,pass_yds,0,,,,,
player,201512270crd,gnb,MastTi99,pass_td,0,,,,,
player,201512270crd,gnb,MastTi99,pass_int,0,,,,,
player,201512270crd,gnb,MastTi99,pass_sacked,0,,,,,
player,201512270crd,gnb,MastTi99,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,MastTi99,pass_long,0,,,,,
player,201512270crd,gnb,MastTi99,pass_rating,,,,,,
player,201512270crd,gnb,MastTi99,rush_att,1,,,,,
player,201512270crd,gnb,MastTi99,rush_yds,7,,,,,
player,201512270crd,gnb,MastTi99,rush_td,0,,,,,
player,201512270crd,gnb,MastTi99,rush_long,7,,,,,
player,201512270crd,gnb,MastTi99,targets,0,,,,,
player,201512270crd,gnb,MastTi99,rec,0,,,,,
player,201512270crd,gnb,MastTi99,rec_yds,0,,,,,
player,201512270crd,gnb,MastTi99,rec_td,0,,,,,
player,201512270crd,gnb,MastTi99,rec_long,0,,,,,
player,201512270crd,gnb,MastTi99,fumbles,0,,,,,
player,201512270crd,gnb,MastTi99,fumbles_lost,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_att,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_yds,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_td,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_int,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_long,0,,,,,
player,201512270crd,gnb,KuhnJo00,pass_rating,,,,,,
player,201512270crd,gnb,KuhnJo00,rush_att,1,,,,,
player,201512270crd,gnb,KuhnJo00,rush_yds,3,,,,,
player,201512270crd,gnb,KuhnJo00,rush_td,0,,,,,
player,201512270crd,gnb,KuhnJo00,rush_long,3,,,,,
player,201512270crd,gnb,KuhnJo00,targets,0,,,,,
player,201512270crd,gnb,KuhnJo00,rec,0,,,,,
player,201512270crd,gnb,KuhnJo00,rec_yds,0,,,,,
player,201512270crd,gnb,KuhnJo00,rec_td,0,,,,,
player,201512270crd,gnb,KuhnJo00,rec_long,0,,,,,
player,201512270crd,gnb,KuhnJo00,fumbles,0,,,,,
player,201512270crd,gnb,KuhnJo00,fumbles_lost,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_cmp,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_att,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_yds,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_td,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_int,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_sacked,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_long,0,,,,,
player,201512270crd,gnb,CobbRa00,pass_rating,,,,,,
player,201512270crd,gnb,CobbRa00,rush_att,1,,,,,
player,201512270crd,gnb,CobbRa00,rush_yds,2,,,,,
player,201512270crd,gnb,CobbRa00,rush_td,0,,,,,
player,201512270crd,gnb,CobbRa00,rush_long,2,,,,,
player,201512270crd,gnb,CobbRa00,targets,3,,,,,
player,201512270crd,gnb,CobbRa00,rec,3,,,,,
player,201512270crd,gnb,CobbRa00,rec_yds,15,,,,,
player,201512270crd,gnb,CobbRa00,rec_td,0,,,,,
player,201512270crd,gnb,CobbRa00,rec_long,8,,,,,
player,201512270crd,gnb,CobbRa00,fumbles,0,,,,,
player,201512270crd,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_cmp,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_att,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_yds,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_td,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_int,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_sacked,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_long,0,,,,,
player,201512270crd,gnb,JoneJa04,pass_rating,,,,,,
player,201512270crd,gnb,JoneJa04,rush_att,0,,,,,
player,201512270crd,gnb,JoneJa04,rush_yds,0,,,,,
player,201512270crd,gnb,JoneJa04,rush_td,0,,,,,
player,201512270crd,gnb,JoneJa04,rush_long,0,,,,,
player,201512270crd,gnb,JoneJa04,targets,11,,,,,
player,201512270crd,gnb,JoneJa04,rec,5,,,,,
player,201512270crd,gnb,JoneJa04,rec_yds,46,,,,,
player,201512270crd,gnb,JoneJa04,rec_td,0,,,,,
player,201512270crd,gnb,JoneJa04,rec_long,17,,,,,
player,201512270crd,gnb,JoneJa04,fumbles,0,,,,,
player,201512270crd,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_cmp,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_att,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_yds,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_td,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_int,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_sacked,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_long,0,,,,,
player,201512270crd,gnb,AdamDa01,pass_rating,,,,,,
player,201512270crd,gnb,AdamDa01,rush_att,0,,,,,
player,201512270crd,gnb,AdamDa01,rush_yds,0,,,,,
player,201512270crd,gnb,AdamDa01,rush_td,0,,,,,
player,201512270crd,gnb,AdamDa01,rush_long,0,,,,,
player,201512270crd,gnb,AdamDa01,targets,6,,,,,
player,201512270crd,gnb,AdamDa01,rec,3,,,,,
player,201512270crd,gnb,AdamDa01,rec_yds,42,,,,,
player,201512270crd,gnb,AdamDa01,rec_td,0,,,,,
player,201512270crd,gnb,AdamDa01,rec_long,38,,,,,
player,201512270crd,gnb,AdamDa01,fumbles,0,,,,,
player,201512270crd,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_cmp,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_att,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_yds,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_td,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_int,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_sacked,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_long,0,,,,,
player,201512270crd,gnb,QuarAn00,pass_rating,,,,,,
player,201512270crd,gnb,QuarAn00,rush_att,0,,,,,
player,201512270crd,gnb,QuarAn00,rush_yds,0,,,,,
player,201512270crd,gnb,QuarAn00,rush_td,0,,,,,
player,201512270crd,gnb,QuarAn00,rush_long,0,,,,,
player,201512270crd,gnb,QuarAn00,targets,2,,,,,
player,201512270crd,gnb,QuarAn00,rec,2,,,,,
player,201512270crd,gnb,QuarAn00,rec_yds,17,,,,,
player,201512270crd,gnb,QuarAn00,rec_td,0,,,,,
player,201512270crd,gnb,QuarAn00,rec_long,13,,,,,
player,201512270crd,gnb,QuarAn00,fumbles,0,,,,,
player,201512270crd,gnb,QuarAn00,fumbles_lost,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_cmp,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_att,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_yds,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_td,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_int,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_sacked,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_long,0,,,,,
player,201512270crd,gnb,AbbrJa00,pass_rating,,,,,,
player,201512270crd,gnb,AbbrJa00,rush_att,0,,,,,
player,201512270crd,gnb,AbbrJa00,rush_yds,0,,,,,
player,201512270crd,gnb,AbbrJa00,rush_td,0,,,,,
player,201512270crd,gnb,AbbrJa00,rush_long,0,,,,,
player,201512270crd,gnb,AbbrJa00,targets,2,,,,,
player,201512270crd,gnb,AbbrJa00,rec,1,,,,,
player,201512270crd,gnb,AbbrJa00,rec_yds,5,,,,,
player,201512270crd,gnb,AbbrJa00,rec_td,0,,,,,
player,201512270crd,gnb,AbbrJa00,rec_long,5,,,,,
player,201512270crd,gnb,AbbrJa00,fumbles,0,,,,,
player,201512270crd,gnb,AbbrJa00,fumbles_lost,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_cmp,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_att,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_yds,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_td,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_int,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_sacked,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_long,0,,,,,
player,201512270crd,gnb,RodgRi00,pass_rating,,,,,,
player,201512270crd,gnb,RodgRi00,rush_att,0,,,,,
player,201512270crd,gnb,RodgRi00,rush_yds,0,,,,,
player,201512270crd,gnb,RodgRi00,rush_td,0,,,,,
player,201512270crd,gnb,RodgRi00,rush_long,0,,,,,
player,201512270crd,gnb,RodgRi00,targets,3,,,,,
player,201512270crd,gnb,RodgRi00,rec,1,,,,,
player,201512270crd,gnb,RodgRi00,rec_yds,2,,,,,
player,201512270crd,gnb,RodgRi00,rec_td,0,,,,,
player,201512270crd,gnb,RodgRi00,rec_long,2,,,,,
player,201512270crd,gnb,RodgRi00,fumbles,0,,,,,
player,201512270crd,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_cmp,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_att,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_yds,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_td,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_int,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_sacked,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_sacked_yds,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_long,0,,,,,
player,201512270crd,gnb,CrocJo00,pass_rating,,,,,,
player,201512270crd,gnb,CrocJo00,rush_att,4,,,,,
player,201512270crd,gnb,CrocJo00,rush_yds,-1,,,,,
player,201512270crd,gnb,CrocJo00,rush_td,0,,,,,
player,201512270crd,gnb,CrocJo00,rush_long,5,,,,,
player,201512270crd,gnb,CrocJo00,targets,0,,,,,
player,201512270crd,gnb,CrocJo00,rec,0,,,,,
player,201512270crd,gnb,CrocJo00,rec_yds,0,,,,,
player,201512270crd,gnb,CrocJo00,rec_td,0,,,,,
player,201512270crd,gnb,CrocJo00,rec_long,0,,,,,
player,201512270crd,gnb,CrocJo00,fumbles,0,,,,,
player,201512270crd,gnb,CrocJo00,fumbles_lost,0,,,,,
player,201512270crd,crd,PalmCa00,pass_cmp,18,,,,,
player,201512270crd,crd,PalmCa00,pass_att,27,,,,,
player,201512270crd,crd,PalmCa00,pass_yds,265,,,,,
player,201512270crd,crd,PalmCa00,pass_td,2,,,,,
player,201512270crd,crd,PalmCa00,pass_int,1,,,,,
player,201512270crd,crd,PalmCa00,pass_sacked,2,,,,,
player,201512270crd,crd,PalmCa00,pass_sacked_yds,9,,,,,
player,201512270crd,crd,PalmCa00,pass_long,47,,,,,
player,201512270crd,crd,PalmCa00,pass_rating,107.8,,,,,
player,201512270crd,crd,PalmCa00,rush_att,0,,,,,
player,201512270crd,crd,PalmCa00,rush_yds,0,,,,,
player,201512270crd,crd,PalmCa00,rush_td,0,,,,,
player,201512270crd,crd,PalmCa00,rush_long,0,,,,,
