game,2015,17,20160103,201601030nyg,phi,"Philadelphia Eagles",35,nyg,"New York Giants",30
team,201601030nyg,phi,First Downs,23,,,,,,
team,201601030nyg,nyg,First Downs,30,,,,,,
team,201601030nyg,phi,Rush-Yds-TDs,26-120-2,,,,,,
team,201601030nyg,nyg,Rush-Yds-TDs,36-208-1,,,,,,
team,201601030nyg,phi,Cmp-Att-Yd-TD-INT,30-38-320-2-1,,,,,,
team,201601030nyg,nyg,Cmp-Att-Yd-TD-INT,24-43-302-2-0,,,,,,
team,201601030nyg,phi,Sacked-Yards,1-5,,,,,,
team,201601030nyg,nyg,Sacked-Yards,2-8,,,,,,
team,201601030nyg,phi,Net Pass Yards,315,,,,,,
team,201601030nyg,nyg,Net Pass Yards,294,,,,,,
team,201601030nyg,phi,Total Yards,435,,,,,,
team,201601030nyg,nyg,Total Yards,502,,,,,,
team,201601030nyg,phi,Fumbles-Lost,1-1,,,,,,
team,201601030nyg,nyg,Fumbles-Lost,2-1,,,,,,
team,201601030nyg,phi,Turnovers,2,,,,,,
team,201601030nyg,nyg,Turnovers,1,,,,,,
team,201601030nyg,phi,Penalties-Yards,3-11,,,,,,
team,201601030nyg,nyg,Penalties-Yards,2-10,,,,,,
team,201601030nyg,phi,Third Down Conv.,10-13,,,,,,
team,201601030nyg,nyg,Third Down Conv.,7-15,,,,,,
team,201601030nyg,phi,Fourth Down Conv.,0-0,,,,,,
team,201601030nyg,nyg,Fourth Down Conv.,1-2,,,,,,
team,201601030nyg,phi,Time of Possession,28:06,,,,,,
team,201601030nyg,nyg,Time of Possession,31:54,,,,,,
player,201601030nyg,phi,BradSa00,pass_cmp,30,,,,,
player,201601030nyg,phi,BradSa00,pass_att,38,,,,,
player,201601030nyg,phi,BradSa00,pass_yds,320,,,,,
player,201601030nyg,phi,BradSa00,pass_td,2,,,,,
player,201601030nyg,phi,BradSa00,pass_int,1,,,,,
player,201601030nyg,phi,BradSa00,pass_sacked,1,,,,,
player,201601030nyg,phi,BradSa00,pass_sacked_yds,5,,,,,
player,201601030nyg,phi,BradSa00,pass_long,60,,,,,
player,201601030nyg,phi,BradSa00,pass_rating,108.3,,,,,
player,201601030nyg,phi,BradSa00,rush_att,2,,,,,
player,201601030nyg,phi,BradSa00,rush_yds,-2,,,,,
player,201601030nyg,phi,BradSa00,rush_td,0,,,,,
player,201601030nyg,phi,BradSa00,rush_long,-1,,,,,
player,201601030nyg,phi,BradSa00,targets,0,,,,,
player,201601030nyg,phi,BradSa00,rec,0,,,,,
player,201601030nyg,phi,BradSa00,rec_yds,0,,,,,
player,201601030nyg,phi,BradSa00,rec_td,0,,,,,
player,201601030nyg,phi,BradSa00,rec_long,0,,,,,
player,201601030nyg,phi,BradSa00,fumbles,0,,,,,
player,201601030nyg,phi,BradSa00,fumbles_lost,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_cmp,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_att,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_yds,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_td,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_int,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_sacked,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_sacked_yds,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_long,0,,,,,
player,201601030nyg,phi,MurrDe00,pass_rating,,,,,,
player,201601030nyg,phi,MurrDe00,rush_att,12,,,,,
player,201601030nyg,phi,MurrDe00,rush_yds,69,,,,,
player,201601030nyg,phi,MurrDe00,rush_td,1,,,,,
player,201601030nyg,phi,MurrDe00,rush_long,54,,,,,
