game,2015,16,20151227,201512270min,nyg,"New York Giants",17,min,"Minnesota Vikings",49
team,201512270min,nyg,First Downs,15,,,,,,
team,201512270min,min,First Downs,17,,,,,,
team,201512270min,nyg,Rush-Yds-TDs,20-91-0,,,,,,
team,201512270min,min,Rush-Yds-TDs,40-218-3,,,,,,
team,201512270min,nyg,Cmp-Att-Yd-TD-INT,20-34-302-2-3,,,,,,
team,201512270min,min,Cmp-Att-Yd-TD-INT,15-25-168-1-0,,,,,,
team,201512270min,nyg,Sacked-Yards,4-30,,,,,,
team,201512270min,min,Sacked-Yards,3-18,,,,,,
team,201512270min,nyg,Net Pass Yards,272,,,,,,
team,201512270min,min,Net Pass Yards,150,,,,,,
team,201512270min,nyg,Total Yards,363,,,,,,
team,201512270min,min,Total Yards,368,,,,,,
team,201512270min,nyg,Fumbles-Lost,3-0,,,,,,
team,201512270min,min,Fumbles-Lost,0-0,,,,,,
team,201512270min,nyg,Turnovers,3,,,,,,
team,201512270min,min,Turnovers,0,,,,,,
team,201512270min,nyg,Penalties-Yards,7-48,,,,,,
team,201512270min,min,Penalties-Yards,2-10,,,,,,
team,201512270min,nyg,Third Down Conv.,1-11,,,,,,
team,201512270min,min,Third Down Conv.,6-16,,,,,,
team,201512270min,nyg,Fourth Down Conv.,0-2,,,,,,
team,201512270min,min,Fourth Down Conv.,0-0,,,,,,
team,201512270min,nyg,Time of Possession,25:03,,,,,,
team,201512270min,min,Time of Possession,34:57,,,,,,
player,201512270min,nyg,MannEl00,pass_cmp,15,,,,,
player,201512270min,nyg,MannEl00,pass_att,29,,,,,
player,201512270min,nyg,MannEl00,pass_yds,234,,,,,
player,201512270min,nyg,MannEl00,pass_td,1,,,,,
player,201512270min,nyg,MannEl00,pass_int,3,,,,,
player,201512270min,nyg,MannEl00,pass_sacked,4,,,,,
player,201512270min,nyg,MannEl00,pass_sacked_yds,30,,,,,
player,201512270min,nyg,MannEl00,pass_long,72,,,,,
player,201512270min,nyg,MannEl00,pass_rating,50.7,,,,,
player,201512270min,nyg,MannEl00,rush_att,1,,,,,
player,201512270min,nyg,MannEl00,rush_yds,0,,,,,
player,201512270min,nyg,MannEl00,rush_td,0,,,,,
player,201512270min,nyg,MannEl00,rush_long,0,,,,,
player,201512270min,nyg,MannEl00,targets,0,,,,,
player,201512270min,nyg,MannEl00,rec,0,,,,,
player,201512270min,nyg,MannEl00,rec_yds,0,,,,,
player,201512270min,nyg,MannEl00,rec_td,0,,,,,
player,201512270min,nyg,MannEl00,rec_long,0,,,,,
player,201512270min,nyg,MannEl00,fumbles,1,,,,,
player,201512270min,nyg,MannEl00,fumbles_lost,0,,,,,
player,201512270min,nyg,NassRy00,pass_cmp,5,,,,,
player,201512270min,nyg,NassRy00,pass_att,5,,,,,
player,201512270min,nyg,NassRy00,pass_yds,68,,,,,
player,201512270min,nyg,NassRy00,pass_td,1,,,,,
player,201512270min,nyg,NassRy00,pass_int,0,,,,,
player,201512270min,nyg,NassRy00,pass_sacked,0,,,,,
player,201512270min,nyg,NassRy00,pass_sacked_yds,0,,,,,
player,201512270min,nyg,NassRy00,pass_long,25,,,,,
player,201512270min,nyg,NassRy00,pass_rating,158.3,,,,,
player,201512270min,nyg,NassRy00,rush_att,0,,,,,
player,201512270min,nyg,NassRy00,rush_yds,0,,,,,
player,201512270min,nyg,NassRy00,rush_td,0,,,,,
player,201512270min,nyg,NassRy00,rush_long,0,,,,,
player,201512270min,nyg,NassRy00,targets,0,,,,,
player,201512270min,nyg,NassRy00,rec,0,,,,,
player,201512270min,nyg,NassRy00,rec_yds,0,,,,,
player,201512270min,nyg,NassRy00,rec_td,0,,,,,
player,201512270min,nyg,NassRy00,rec_long,0,,,,,
player,201512270min,nyg,NassRy00,fumbles,0,,,,,
player,201512270min,nyg,NassRy00,fumbles_lost,0,,,,,
player,201512270min,nyg,JennRa00,pass_cmp,0,,,,,
player,201512270min,nyg,JennRa00,pass_att,0,,,,,
player,201512270min,nyg,JennRa00,pass_yds,0,,,,,
player,201512270min,nyg,JennRa00,pass_td,0,,,,,
player,201512270min,nyg,JennRa00,pass_int,0,,,,,
player,201512270min,nyg,JennRa00,pass_sacked,0,,,,,
player,201512270min,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201512270min,nyg,JennRa00,pass_long,0,,,,,
player,201512270min,nyg,JennRa00,pass_rating,,,,,,
player,201512270min,nyg,JennRa00,rush_att,14,,,,,
player,201512270min,nyg,JennRa00,rush_yds,74,,,,,
player,201512270min,nyg,JennRa00,rush_td,0,,,,,
player,201512270min,nyg,JennRa00,rush_long,16,,,,,
player,201512270min,nyg,JennRa00,targets,3,,,,,
player,201512270min,nyg,JennRa00,rec,2,,,,,
player,201512270min,nyg,JennRa00,rec_yds,62,,,,,
player,201512270min,nyg,JennRa00,rec_td,0,,,,,
player,201512270min,nyg,JennRa00,rec_long,50,,,,,
player,201512270min,nyg,JennRa00,fumbles,0,,,,,
player,201512270min,nyg,JennRa00,fumbles_lost,0,,,,,
player,201512270min,nyg,DarkOr00,pass_cmp,0,,,,,
player,201512270min,nyg,DarkOr00,pass_att,0,,,,,
player,201512270min,nyg,DarkOr00,pass_yds,0,,,,,
player,201512270min,nyg,DarkOr00,pass_td,0,,,,,
player,201512270min,nyg,DarkOr00,pass_int,0,,,,,
player,201512270min,nyg,DarkOr00,pass_sacked,0,,,,,
player,201512270min,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201512270min,nyg,DarkOr00,pass_long,0,,,,,
player,201512270min,nyg,DarkOr00,pass_rating,,,,,,
player,201512270min,nyg,DarkOr00,rush_att,1,,,,,
player,201512270min,nyg,DarkOr00,rush_yds,9,,,,,
player,201512270min,nyg,DarkOr00,rush_td,0,,,,,
player,201512270min,nyg,DarkOr00,rush_long,9,,,,,
player,201512270min,nyg,DarkOr00,targets,1,,,,,
player,201512270min,nyg,DarkOr00,rec,1,,,,,
player,201512270min,nyg,DarkOr00,rec_yds,15,,,,,
player,201512270min,nyg,DarkOr00,rec_td,0,,,,,
player,201512270min,nyg,DarkOr00,rec_long,15,,,,,
player,201512270min,nyg,DarkOr00,fumbles,0,,,,,
player,201512270min,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201512270min,nyg,WillAn00,pass_cmp,0,,,,,
player,201512270min,nyg,WillAn00,pass_att,0,,,,,
player,201512270min,nyg,WillAn00,pass_yds,0,,,,,
player,201512270min,nyg,WillAn00,pass_td,0,,,,,
player,201512270min,nyg,WillAn00,pass_int,0,,,,,
player,201512270min,nyg,WillAn00,pass_sacked,0,,,,,
player,201512270min,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201512270min,nyg,WillAn00,pass_long,0,,,,,
player,201512270min,nyg,WillAn00,pass_rating,,,,,,
player,201512270min,nyg,WillAn00,rush_att,3,,,,,
player,201512270min,nyg,WillAn00,rush_yds,5,,,,,
player,201512270min,nyg,WillAn00,rush_td,0,,,,,
player,201512270min,nyg,WillAn00,rush_long,3,,,,,
player,201512270min,nyg,WillAn00,targets,0,,,,,
player,201512270min,nyg,WillAn00,rec,0,,,,,
player,201512270min,nyg,WillAn00,rec_yds,0,,,,,
player,201512270min,nyg,WillAn00,rec_td,0,,,,,
player,201512270min,nyg,WillAn00,rec_long,0,,,,,
player,201512270min,nyg,WillAn00,fumbles,0,,,,,
player,201512270min,nyg,WillAn00,fumbles_lost,0,,,,,
player,201512270min,nyg,VereSh00,pass_cmp,0,,,,,
player,201512270min,nyg,VereSh00,pass_att,0,,,,,
player,201512270min,nyg,VereSh00,pass_yds,0,,,,,
player,201512270min,nyg,VereSh00,pass_td,0,,,,,
player,201512270min,nyg,VereSh00,pass_int,0,,,,,
player,201512270min,nyg,VereSh00,pass_sacked,0,,,,,
player,201512270min,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201512270min,nyg,VereSh00,pass_long,0,,,,,
player,201512270min,nyg,VereSh00,pass_rating,,,,,,
player,201512270min,nyg,VereSh00,rush_att,1,,,,,
player,201512270min,nyg,VereSh00,rush_yds,3,,,,,
player,201512270min,nyg,VereSh00,rush_td,0,,,,,
player,201512270min,nyg,VereSh00,rush_long,3,,,,,
player,201512270min,nyg,VereSh00,targets,5,,,,,
player,201512270min,nyg,VereSh00,rec,2,,,,,
player,201512270min,nyg,VereSh00,rec_yds,21,,,,,
player,201512270min,nyg,VereSh00,rec_td,0,,,,,
player,201512270min,nyg,VereSh00,rec_long,12,,,,,
player,201512270min,nyg,VereSh00,fumbles,0,,,,,
