game,2015,2,20150920,201509200gnb,sea,"Seattle Seahawks",17,gnb,"Green Bay Packers",27
team,201509200gnb,sea,First Downs,21,,,,,,
team,201509200gnb,gnb,First Downs,21,,,,,,
team,201509200gnb,sea,Rush-Yds-TDs,25-119-0,,,,,,
team,201509200gnb,gnb,Rush-Yds-TDs,29-127-0,,,,,,
team,201509200gnb,sea,Cmp-Att-Yd-TD-INT,19-30-206-2-1,,,,,,
team,201509200gnb,gnb,Cmp-Att-Yd-TD-INT,25-33-249-2-0,,,,,,
team,201509200gnb,sea,Sacked-Yards,2-1,,,,,,
team,201509200gnb,gnb,Sacked-Yards,2-15,,,,,,
team,201509200gnb,sea,Net Pass Yards,205,,,,,,
team,201509200gnb,gnb,Net Pass Yards,234,,,,,,
team,201509200gnb,sea,Total Yards,324,,,,,,
team,201509200gnb,gnb,Total Yards,361,,,,,,
team,201509200gnb,sea,Fumbles-Lost,1-1,,,,,,
team,201509200gnb,gnb,Fumbles-Lost,2-1,,,,,,
team,201509200gnb,sea,Turnovers,2,,,,,,
team,201509200gnb,gnb,Turnovers,1,,,,,,
team,201509200gnb,sea,Penalties-Yards,6-92,,,,,,
team,201509200gnb,gnb,Penalties-Yards,6-35,,,,,,
team,201509200gnb,sea,Third Down Conv.,3-9,,,,,,
team,201509200gnb,gnb,Third Down Conv.,4-11,,,,,,
team,201509200gnb,sea,Fourth Down Conv.,0-0,,,,,,
team,201509200gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201509200gnb,sea,Time of Possession,26:42,,,,,,
team,201509200gnb,gnb,Time of Possession,33:18,,,,,,
player,201509200gnb,sea,WilsRu00,pass_cmp,19,,,,,
player,201509200gnb,sea,WilsRu00,pass_att,30,,,,,
player,201509200gnb,sea,WilsRu00,pass_yds,206,,,,,
player,201509200gnb,sea,WilsRu00,pass_td,2,,,,,
player,201509200gnb,sea,WilsRu00,pass_int,1,,,,,
player,201509200gnb,sea,WilsRu00,pass_sacked,2,,,,,
player,201509200gnb,sea,WilsRu00,pass_sacked_yds,1,,,,,
player,201509200gnb,sea,WilsRu00,pass_long,32,,,,,
player,201509200gnb,sea,WilsRu00,pass_rating,91.8,,,,,
player,201509200gnb,sea,WilsRu00,rush_att,10,,,,,
player,201509200gnb,sea,WilsRu00,rush_yds,78,,,,,
player,201509200gnb,sea,WilsRu00,rush_td,0,,,,,
player,201509200gnb,sea,WilsRu00,rush_long,17,,,,,
player,201509200gnb,sea,WilsRu00,targets,0,,,,,
player,201509200gnb,sea,WilsRu00,rec,0,,,,,
player,201509200gnb,sea,WilsRu00,rec_yds,0,,,,,
player,201509200gnb,sea,WilsRu00,rec_td,0,,,,,
player,201509200gnb,sea,WilsRu00,rec_long,0,,,,,
player,201509200gnb,sea,WilsRu00,fumbles,0,,,,,
player,201509200gnb,sea,WilsRu00,fumbles_lost,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_cmp,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_att,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_yds,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_td,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_int,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_sacked,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_long,0,,,,,
player,201509200gnb,sea,LyncMa00,pass_rating,,,,,,
player,201509200gnb,sea,LyncMa00,rush_att,15,,,,,
player,201509200gnb,sea,LyncMa00,rush_yds,41,,,,,
player,201509200gnb,sea,LyncMa00,rush_td,0,,,,,
player,201509200gnb,sea,LyncMa00,rush_long,11,,,,,
player,201509200gnb,sea,LyncMa00,targets,6,,,,,
player,201509200gnb,sea,LyncMa00,rec,3,,,,,
player,201509200gnb,sea,LyncMa00,rec_yds,21,,,,,
player,201509200gnb,sea,LyncMa00,rec_td,0,,,,,
player,201509200gnb,sea,LyncMa00,rec_long,12,,,,,
player,201509200gnb,sea,LyncMa00,fumbles,0,,,,,
player,201509200gnb,sea,LyncMa00,fumbles_lost,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_cmp,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_att,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_yds,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_td,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_int,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_sacked,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_long,0,,,,,
player,201509200gnb,sea,BaldDo00,pass_rating,,,,,,
player,201509200gnb,sea,BaldDo00,rush_att,0,,,,,
player,201509200gnb,sea,BaldDo00,rush_yds,0,,,,,
player,201509200gnb,sea,BaldDo00,rush_td,0,,,,,
player,201509200gnb,sea,BaldDo00,rush_long,0,,,,,
player,201509200gnb,sea,BaldDo00,targets,8,,,,,
player,201509200gnb,sea,BaldDo00,rec,7,,,,,
player,201509200gnb,sea,BaldDo00,rec_yds,92,,,,,
player,201509200gnb,sea,BaldDo00,rec_td,1,,,,,
player,201509200gnb,sea,BaldDo00,rec_long,32,,,,,
player,201509200gnb,sea,BaldDo00,fumbles,0,,,,,
player,201509200gnb,sea,BaldDo00,fumbles_lost,0,,,,,
player,201509200gnb,sea,WillLu00,pass_cmp,0,,,,,
player,201509200gnb,sea,WillLu00,pass_att,0,,,,,
player,201509200gnb,sea,WillLu00,pass_yds,0,,,,,
player,201509200gnb,sea,WillLu00,pass_td,0,,,,,
player,201509200gnb,sea,WillLu00,pass_int,0,,,,,
player,201509200gnb,sea,WillLu00,pass_sacked,0,,,,,
player,201509200gnb,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201509200gnb,sea,WillLu00,pass_long,0,,,,,
player,201509200gnb,sea,WillLu00,pass_rating,,,,,,
