game,2015,12,20151129,201511290oti,rai,"Oakland Raiders",24,oti,"Tennessee Titans",21
team,201511290oti,rai,First Downs,22,,,,,,
team,201511290oti,oti,First Downs,19,,,,,,
team,201511290oti,rai,Rush-Yds-TDs,30-84-0,,,,,,
team,201511290oti,oti,Rush-Yds-TDs,18-44-0,,,,,,
team,201511290oti,rai,Cmp-Att-Yd-TD-INT,24-38-330-3-0,,,,,,
team,201511290oti,oti,Cmp-Att-Yd-TD-INT,17-37-218-3-2,,,,,,
team,201511290oti,rai,Sacked-Yards,1-7,,,,,,
team,201511290oti,oti,Sacked-Yards,2-13,,,,,,
team,201511290oti,rai,Net Pass Yards,323,,,,,,
team,201511290oti,oti,Net Pass Yards,205,,,,,,
team,201511290oti,rai,Total Yards,407,,,,,,
team,201511290oti,oti,Total Yards,249,,,,,,
team,201511290oti,rai,Fumbles-Lost,3-2,,,,,,
team,201511290oti,oti,Fumbles-Lost,0-0,,,,,,
team,201511290oti,rai,Turnovers,2,,,,,,
team,201511290oti,oti,Turnovers,2,,,,,,
team,201511290oti,rai,Penalties-Yards,11-94,,,,,,
team,201511290oti,oti,Penalties-Yards,4-25,,,,,,
team,201511290oti,rai,Third Down Conv.,8-15,,,,,,
team,201511290oti,oti,Third Down Conv.,3-12,,,,,,
team,201511290oti,rai,Fourth Down Conv.,0-1,,,,,,
team,201511290oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201511290oti,rai,Time of Possession,34:55,,,,,,
team,201511290oti,oti,Time of Possession,25:05,,,,,,
player,201511290oti,rai,CarrDe02,pass_cmp,24,,,,,
player,201511290oti,rai,CarrDe02,pass_att,37,,,,,
player,201511290oti,rai,CarrDe02,pass_yds,330,,,,,
player,201511290oti,rai,CarrDe02,pass_td,3,,,,,
player,201511290oti,rai,CarrDe02,pass_int,0,,,,,
player,201511290oti,rai,CarrDe02,pass_sacked,1,,,,,
player,201511290oti,rai,CarrDe02,pass_sacked_yds,7,,,,,
player,201511290oti,rai,CarrDe02,pass_long,41,,,,,
player,201511290oti,rai,CarrDe02,pass_rating,120.3,,,,,
player,201511290oti,rai,CarrDe02,rush_att,4,,,,,
player,201511290oti,rai,CarrDe02,rush_yds,5,,,,,
player,201511290oti,rai,CarrDe02,rush_td,0,,,,,
player,201511290oti,rai,CarrDe02,rush_long,5,,,,,
player,201511290oti,rai,CarrDe02,targets,0,,,,,
player,201511290oti,rai,CarrDe02,rec,0,,,,,
player,201511290oti,rai,CarrDe02,rec_yds,0,,,,,
player,201511290oti,rai,CarrDe02,rec_td,0,,,,,
player,201511290oti,rai,CarrDe02,rec_long,0,,,,,
player,201511290oti,rai,CarrDe02,fumbles,2,,,,,
player,201511290oti,rai,CarrDe02,fumbles_lost,1,,,,,
player,201511290oti,rai,McGlMa01,pass_cmp,0,,,,,
player,201511290oti,rai,McGlMa01,pass_att,1,,,,,
player,201511290oti,rai,McGlMa01,pass_yds,0,,,,,
player,201511290oti,rai,McGlMa01,pass_td,0,,,,,
player,201511290oti,rai,McGlMa01,pass_int,0,,,,,
player,201511290oti,rai,McGlMa01,pass_sacked,0,,,,,
player,201511290oti,rai,McGlMa01,pass_sacked_yds,0,,,,,
player,201511290oti,rai,McGlMa01,pass_long,0,,,,,
player,201511290oti,rai,McGlMa01,pass_rating,39.6,,,,,
player,201511290oti,rai,McGlMa01,rush_att,0,,,,,
player,201511290oti,rai,McGlMa01,rush_yds,0,,,,,
player,201511290oti,rai,McGlMa01,rush_td,0,,,,,
player,201511290oti,rai,McGlMa01,rush_long,0,,,,,
player,201511290oti,rai,McGlMa01,targets,0,,,,,
player,201511290oti,rai,McGlMa01,rec,0,,,,,
player,201511290oti,rai,McGlMa01,rec_yds,0,,,,,
