game,2015,17,20160103,201601030cle,pit,"Pittsburgh Steelers",28,cle,"Cleveland Browns",12
team,201601030cle,pit,First Downs,16,,,,,,
team,201601030cle,cle,First Downs,22,,,,,,
team,201601030cle,pit,Rush-Yds-TDs,19-30-0,,,,,,
team,201601030cle,cle,Rush-Yds-TDs,23-86-0,,,,,,
team,201601030cle,pit,Cmp-Att-Yd-TD-INT,24-36-349-3-2,,,,,,
team,201601030cle,cle,Cmp-Att-Yd-TD-INT,24-46-240-0-2,,,,,,
team,201601030cle,pit,Sacked-Yards,0-0,,,,,,
team,201601030cle,cle,Sacked-Yards,7-63,,,,,,
team,201601030cle,pit,Net Pass Yards,349,,,,,,
team,201601030cle,cle,Net Pass Yards,177,,,,,,
team,201601030cle,pit,Total Yards,379,,,,,,
team,201601030cle,cle,Total Yards,263,,,,,,
team,201601030cle,pit,Fumbles-Lost,1-1,,,,,,
team,201601030cle,cle,Fumbles-Lost,3-2,,,,,,
team,201601030cle,pit,Turnovers,3,,,,,,
team,201601030cle,cle,Turnovers,4,,,,,,
team,201601030cle,pit,Penalties-Yards,9-45,,,,,,
team,201601030cle,cle,Penalties-Yards,8-47,,,,,,
team,201601030cle,pit,Third Down Conv.,2-8,,,,,,
team,201601030cle,cle,Third Down Conv.,4-16,,,,,,
team,201601030cle,pit,Fourth Down Conv.,0-0,,,,,,
team,201601030cle,cle,Fourth Down Conv.,1-4,,,,,,
team,201601030cle,pit,Time of Possession,26:03,,,,,,
team,201601030cle,cle,Time of Possession,33:57,,,,,,
player,201601030cle,pit,RoetBe00,pass_cmp,24,,,,,
player,201601030cle,pit,RoetBe00,pass_att,36,,,,,
player,201601030cle,pit,RoetBe00,pass_yds,349,,,,,
player,201601030cle,pit,RoetBe00,pass_td,3,,,,,
player,201601030cle,pit,RoetBe00,pass_int,2,,,,,
player,201601030cle,pit,RoetBe00,pass_sacked,0,,,,,
player,201601030cle,pit,RoetBe00,pass_sacked_yds,0,,,,,
player,201601030cle,pit,RoetBe00,pass_long,66,,,,,
player,201601030cle,pit,RoetBe00,pass_rating,102.7,,,,,
player,201601030cle,pit,RoetBe00,rush_att,2,,,,,
player,201601030cle,pit,RoetBe00,rush_yds,-2,,,,,
player,201601030cle,pit,RoetBe00,rush_td,0,,,,,
player,201601030cle,pit,RoetBe00,rush_long,-1,,,,,
player,201601030cle,pit,RoetBe00,targets,0,,,,,
player,201601030cle,pit,RoetBe00,rec,0,,,,,
player,201601030cle,pit,RoetBe00,rec_yds,0,,,,,
player,201601030cle,pit,RoetBe00,rec_td,0,,,,,
player,201601030cle,pit,RoetBe00,rec_long,0,,,,,
player,201601030cle,pit,RoetBe00,fumbles,0,,,,,
player,201601030cle,pit,RoetBe00,fumbles_lost,0,,,,,
player,201601030cle,pit,TousFi00,pass_cmp,0,,,,,
player,201601030cle,pit,TousFi00,pass_att,0,,,,,
player,201601030cle,pit,TousFi00,pass_yds,0,,,,,
player,201601030cle,pit,TousFi00,pass_td,0,,,,,
player,201601030cle,pit,TousFi00,pass_int,0,,,,,
player,201601030cle,pit,TousFi00,pass_sacked,0,,,,,
player,201601030cle,pit,TousFi00,pass_sacked_yds,0,,,,,
player,201601030cle,pit,TousFi00,pass_long,0,,,,,
player,201601030cle,pit,TousFi00,pass_rating,,,,,,
player,201601030cle,pit,TousFi00,rush_att,12,,,,,
player,201601030cle,pit,TousFi00,rush_yds,24,,,,,
player,201601030cle,pit,TousFi00,rush_td,0,,,,,
player,201601030cle,pit,TousFi00,rush_long,5,,,,,
player,201601030cle,pit,TousFi00,targets,0,,,,,
player,201601030cle,pit,TousFi00,rec,0,,,,,
player,201601030cle,pit,TousFi00,rec_yds,0,,,,,
player,201601030cle,pit,TousFi00,rec_td,0,,,,,
player,201601030cle,pit,TousFi00,rec_long,0,,,,,
player,201601030cle,pit,TousFi00,fumbles,0,,,,,
player,201601030cle,pit,TousFi00,fumbles_lost,0,,,,,
player,201601030cle,pit,WillDe02,pass_cmp,0,,,,,
player,201601030cle,pit,WillDe02,pass_att,0,,,,,
player,201601030cle,pit,WillDe02,pass_yds,0,,,,,
player,201601030cle,pit,WillDe02,pass_td,0,,,,,
player,201601030cle,pit,WillDe02,pass_int,0,,,,,
player,201601030cle,pit,WillDe02,pass_sacked,0,,,,,
player,201601030cle,pit,WillDe02,pass_sacked_yds,0,,,,,
player,201601030cle,pit,WillDe02,pass_long,0,,,,,
player,201601030cle,pit,WillDe02,pass_rating,,,,,,
player,201601030cle,pit,WillDe02,rush_att,5,,,,,
player,201601030cle,pit,WillDe02,rush_yds,8,,,,,
player,201601030cle,pit,WillDe02,rush_td,0,,,,,
player,201601030cle,pit,WillDe02,rush_long,6,,,,,
player,201601030cle,pit,WillDe02,targets,2,,,,,
player,201601030cle,pit,WillDe02,rec,2,,,,,
player,201601030cle,pit,WillDe02,rec_yds,13,,,,,
player,201601030cle,pit,WillDe02,rec_td,0,,,,,
player,201601030cle,pit,WillDe02,rec_long,7,,,,,
