game,2015,8,20151101,201511010ram,sfo,"San Francisco 49ers",6,ram,"St. Louis Rams",27
team,201511010ram,sfo,First Downs,11,,,,,,
team,201511010ram,ram,First Downs,16,,,,,,
team,201511010ram,sfo,Rush-Yds-TDs,21-38-0,,,,,,
team,201511010ram,ram,Rush-Yds-TDs,41-197-2,,,,,,
team,201511010ram,sfo,Cmp-Att-Yd-TD-INT,20-41-162-0-0,,,,,,
team,201511010ram,ram,Cmp-Att-Yd-TD-INT,14-23-191-1-0,,,,,,
team,201511010ram,sfo,Sacked-Yards,3-11,,,,,,
team,201511010ram,ram,Sacked-Yards,0-0,,,,,,
team,201511010ram,sfo,Net Pass Yards,151,,,,,,
team,201511010ram,ram,Net Pass Yards,191,,,,,,
team,201511010ram,sfo,Total Yards,189,,,,,,
team,201511010ram,ram,Total Yards,388,,,,,,
team,201511010ram,sfo,Fumbles-Lost,0-0,,,,,,
team,201511010ram,ram,Fumbles-Lost,1-1,,,,,,
team,201511010ram,sfo,Turnovers,0,,,,,,
team,201511010ram,ram,Turnovers,1,,,,,,
team,201511010ram,sfo,Penalties-Yards,13-93,,,,,,
team,201511010ram,ram,Penalties-Yards,12-93,,,,,,
team,201511010ram,sfo,Third Down Conv.,3-17,,,,,,
team,201511010ram,ram,Third Down Conv.,1-12,,,,,,
team,201511010ram,sfo,Fourth Down Conv.,0-1,,,,,,
team,201511010ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201511010ram,sfo,Time of Possession,28:02,,,,,,
team,201511010ram,ram,Time of Possession,31:58,,,,,,
player,201511010ram,sfo,KaepCo00,pass_cmp,20,,,,,
player,201511010ram,sfo,KaepCo00,pass_att,41,,,,,
player,201511010ram,sfo,KaepCo00,pass_yds,162,,,,,
player,201511010ram,sfo,KaepCo00,pass_td,0,,,,,
player,201511010ram,sfo,KaepCo00,pass_int,0,,,,,
player,201511010ram,sfo,KaepCo00,pass_sacked,3,,,,,
player,201511010ram,sfo,KaepCo00,pass_sacked_yds,11,,,,,
player,201511010ram,sfo,KaepCo00,pass_long,33,,,,,
player,201511010ram,sfo,KaepCo00,pass_rating,59.2,,,,,
player,201511010ram,sfo,KaepCo00,rush_att,6,,,,,
player,201511010ram,sfo,KaepCo00,rush_yds,28,,,,,
player,201511010ram,sfo,KaepCo00,rush_td,0,,,,,
player,201511010ram,sfo,KaepCo00,rush_long,9,,,,,
player,201511010ram,sfo,KaepCo00,targets,0,,,,,
player,201511010ram,sfo,KaepCo00,rec,0,,,,,
player,201511010ram,sfo,KaepCo00,rec_yds,0,,,,,
player,201511010ram,sfo,KaepCo00,rec_td,0,,,,,
player,201511010ram,sfo,KaepCo00,rec_long,0,,,,,
player,201511010ram,sfo,KaepCo00,fumbles,0,,,,,
player,201511010ram,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_cmp,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_att,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_yds,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_td,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_int,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_sacked,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_sacked_yds,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_long,0,,,,,
player,201511010ram,sfo,GaskKe00,pass_rating,,,,,,
player,201511010ram,sfo,GaskKe00,rush_att,5,,,,,
player,201511010ram,sfo,GaskKe00,rush_yds,6,,,,,
player,201511010ram,sfo,GaskKe00,rush_td,0,,,,,
player,201511010ram,sfo,GaskKe00,rush_long,3,,,,,
player,201511010ram,sfo,GaskKe00,targets,3,,,,,
player,201511010ram,sfo,GaskKe00,rec,2,,,,,
player,201511010ram,sfo,GaskKe00,rec_yds,17,,,,,
player,201511010ram,sfo,GaskKe00,rec_td,0,,,,,
player,201511010ram,sfo,GaskKe00,rec_long,9,,,,,
player,201511010ram,sfo,GaskKe00,fumbles,0,,,,,
