game,2015,3,20150927,201509270sea,chi,"Chicago Bears",0,sea,"Seattle Seahawks",26
team,201509270sea,chi,First Downs,7,,,,,,
team,201509270sea,sea,First Downs,17,,,,,,
team,201509270sea,chi,Rush-Yds-TDs,27-98-0,,,,,,
team,201509270sea,sea,Rush-Yds-TDs,29-159-0,,,,,,
team,201509270sea,chi,Cmp-Att-Yd-TD-INT,9-17-63-0-0,,,,,,
team,201509270sea,sea,Cmp-Att-Yd-TD-INT,20-30-235-1-0,,,,,,
team,201509270sea,chi,Sacked-Yards,2-15,,,,,,
team,201509270sea,sea,Sacked-Yards,4-23,,,,,,
team,201509270sea,chi,Net Pass Yards,48,,,,,,
team,201509270sea,sea,Net Pass Yards,212,,,,,,
team,201509270sea,chi,Total Yards,146,,,,,,
team,201509270sea,sea,Total Yards,371,,,,,,
team,201509270sea,chi,Fumbles-Lost,0-0,,,,,,
team,201509270sea,sea,Fumbles-Lost,0-0,,,,,,
team,201509270sea,chi,Turnovers,0,,,,,,
team,201509270sea,sea,Turnovers,0,,,,,,
team,201509270sea,chi,Penalties-Yards,6-40,,,,,,
team,201509270sea,sea,Penalties-Yards,5-41,,,,,,
team,201509270sea,chi,Third Down Conv.,3-13,,,,,,
team,201509270sea,sea,Third Down Conv.,5-16,,,,,,
team,201509270sea,chi,Fourth Down Conv.,0-0,,,,,,
team,201509270sea,sea,Fourth Down Conv.,2-2,,,,,,
team,201509270sea,chi,Time of Possession,27:24,,,,,,
team,201509270sea,sea,Time of Possession,32:36,,,,,,
player,201509270sea,chi,ClauJi00,pass_cmp,9,,,,,
player,201509270sea,chi,ClauJi00,pass_att,17,,,,,
player,201509270sea,chi,ClauJi00,pass_yds,63,,,,,
player,201509270sea,chi,ClauJi00,pass_td,0,,,,,
player,201509270sea,chi,ClauJi00,pass_int,0,,,,,
player,201509270sea,chi,ClauJi00,pass_sacked,2,,,,,
player,201509270sea,chi,ClauJi00,pass_sacked_yds,15,,,,,
player,201509270sea,chi,ClauJi00,pass_long,21,,,,,
player,201509270sea,chi,ClauJi00,pass_rating,61.6,,,,,
player,201509270sea,chi,ClauJi00,rush_att,3,,,,,
player,201509270sea,chi,ClauJi00,rush_yds,13,,,,,
player,201509270sea,chi,ClauJi00,rush_td,0,,,,,
player,201509270sea,chi,ClauJi00,rush_long,11,,,,,
player,201509270sea,chi,ClauJi00,targets,0,,,,,
player,201509270sea,chi,ClauJi00,rec,0,,,,,
player,201509270sea,chi,ClauJi00,rec_yds,0,,,,,
player,201509270sea,chi,ClauJi00,rec_td,0,,,,,
player,201509270sea,chi,ClauJi00,rec_long,0,,,,,
player,201509270sea,chi,ClauJi00,fumbles,0,,,,,
player,201509270sea,chi,ClauJi00,fumbles_lost,0,,,,,
player,201509270sea,chi,FortMa00,pass_cmp,0,,,,,
player,201509270sea,chi,FortMa00,pass_att,0,,,,,
player,201509270sea,chi,FortMa00,pass_yds,0,,,,,
player,201509270sea,chi,FortMa00,pass_td,0,,,,,
player,201509270sea,chi,FortMa00,pass_int,0,,,,,
player,201509270sea,chi,FortMa00,pass_sacked,0,,,,,
player,201509270sea,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201509270sea,chi,FortMa00,pass_long,0,,,,,
player,201509270sea,chi,FortMa00,pass_rating,,,,,,
player,201509270sea,chi,FortMa00,rush_att,20,,,,,
player,201509270sea,chi,FortMa00,rush_yds,74,,,,,
player,201509270sea,chi,FortMa00,rush_td,0,,,,,
player,201509270sea,chi,FortMa00,rush_long,12,,,,,
player,201509270sea,chi,FortMa00,targets,3,,,,,
player,201509270sea,chi,FortMa00,rec,0,,,,,
player,201509270sea,chi,FortMa00,rec_yds,0,,,,,
player,201509270sea,chi,FortMa00,rec_td,0,,,,,
player,201509270sea,chi,FortMa00,rec_long,0,,,,,
player,201509270sea,chi,FortMa00,fumbles,0,,,,,
player,201509270sea,chi,FortMa00,fumbles_lost,0,,,,,
player,201509270sea,chi,RodgJa00,pass_cmp,0,,,,,
player,201509270sea,chi,RodgJa00,pass_att,0,,,,,
player,201509270sea,chi,RodgJa00,pass_yds,0,,,,,
player,201509270sea,chi,RodgJa00,pass_td,0,,,,,
player,201509270sea,chi,RodgJa00,pass_int,0,,,,,
player,201509270sea,chi,RodgJa00,pass_sacked,0,,,,,
player,201509270sea,chi,RodgJa00,pass_sacked_yds,0,,,,,
player,201509270sea,chi,RodgJa00,pass_long,0,,,,,
player,201509270sea,chi,RodgJa00,pass_rating,,,,,,
player,201509270sea,chi,RodgJa00,rush_att,4,,,,,
player,201509270sea,chi,RodgJa00,rush_yds,11,,,,,
player,201509270sea,chi,RodgJa00,rush_td,0,,,,,
player,201509270sea,chi,RodgJa00,rush_long,5,,,,,
player,201509270sea,chi,RodgJa00,targets,1,,,,,
player,201509270sea,chi,RodgJa00,rec,1,,,,,
player,201509270sea,chi,RodgJa00,rec_yds,10,,,,,
player,201509270sea,chi,RodgJa00,rec_td,0,,,,,
player,201509270sea,chi,RodgJa00,rec_long,10,,,,,
player,201509270sea,chi,RodgJa00,fumbles,0,,,,,
player,201509270sea,chi,RodgJa00,fumbles_lost,0,,,,,
player,201509270sea,chi,MillZa02,pass_cmp,0,,,,,
player,201509270sea,chi,MillZa02,pass_att,0,,,,,
player,201509270sea,chi,MillZa02,pass_yds,0,,,,,
player,201509270sea,chi,MillZa02,pass_td,0,,,,,
player,201509270sea,chi,MillZa02,pass_int,0,,,,,
player,201509270sea,chi,MillZa02,pass_sacked,0,,,,,
player,201509270sea,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201509270sea,chi,MillZa02,pass_long,0,,,,,
player,201509270sea,chi,MillZa02,pass_rating,,,,,,
player,201509270sea,chi,MillZa02,rush_att,0,,,,,
player,201509270sea,chi,MillZa02,rush_yds,0,,,,,
player,201509270sea,chi,MillZa02,rush_td,0,,,,,
player,201509270sea,chi,MillZa02,rush_long,0,,,,,
player,201509270sea,chi,MillZa02,targets,1,,,,,
player,201509270sea,chi,MillZa02,rec,1,,,,,
player,201509270sea,chi,MillZa02,rec_yds,21,,,,,
player,201509270sea,chi,MillZa02,rec_td,0,,,,,
player,201509270sea,chi,MillZa02,rec_long,21,,,,,
player,201509270sea,chi,MillZa02,fumbles,0,,,,,
player,201509270sea,chi,MillZa02,fumbles_lost,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_cmp,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_att,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_yds,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_td,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_int,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_sacked,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_sacked_yds,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_long,0,,,,,
player,201509270sea,chi,RoyaEd00,pass_rating,,,,,,
player,201509270sea,chi,RoyaEd00,rush_att,0,,,,,
player,201509270sea,chi,RoyaEd00,rush_yds,0,,,,,
player,201509270sea,chi,RoyaEd00,rush_td,0,,,,,
player,201509270sea,chi,RoyaEd00,rush_long,0,,,,,
player,201509270sea,chi,RoyaEd00,targets,3,,,,,
player,201509270sea,chi,RoyaEd00,rec,3,,,,,
player,201509270sea,chi,RoyaEd00,rec_yds,17,,,,,
player,201509270sea,chi,RoyaEd00,rec_td,0,,,,,
player,201509270sea,chi,RoyaEd00,rec_long,9,,,,,
player,201509270sea,chi,RoyaEd00,fumbles,0,,,,,
player,201509270sea,chi,RoyaEd00,fumbles_lost,0,,,,,
player,201509270sea,chi,BennMa00,pass_cmp,0,,,,,
player,201509270sea,chi,BennMa00,pass_att,0,,,,,
player,201509270sea,chi,BennMa00,pass_yds,0,,,,,
player,201509270sea,chi,BennMa00,pass_td,0,,,,,
player,201509270sea,chi,BennMa00,pass_int,0,,,,,
player,201509270sea,chi,BennMa00,pass_sacked,0,,,,,
player,201509270sea,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201509270sea,chi,BennMa00,pass_long,0,,,,,
player,201509270sea,chi,BennMa00,pass_rating,,,,,,
player,201509270sea,chi,BennMa00,rush_att,0,,,,,
player,201509270sea,chi,BennMa00,rush_yds,0,,,,,
player,201509270sea,chi,BennMa00,rush_td,0,,,,,
player,201509270sea,chi,BennMa00,rush_long,0,,,,,
player,201509270sea,chi,BennMa00,targets,5,,,,,
player,201509270sea,chi,BennMa00,rec,4,,,,,
player,201509270sea,chi,BennMa00,rec_yds,15,,,,,
player,201509270sea,chi,BennMa00,rec_td,0,,,,,
player,201509270sea,chi,BennMa00,rec_long,6,,,,,
player,201509270sea,chi,BennMa00,fumbles,0,,,,,
player,201509270sea,chi,BennMa00,fumbles_lost,0,,,,,
player,201509270sea,chi,BellJo02,pass_cmp,0,,,,,
player,201509270sea,chi,BellJo02,pass_att,0,,,,,
player,201509270sea,chi,BellJo02,pass_yds,0,,,,,
player,201509270sea,chi,BellJo02,pass_td,0,,,,,
player,201509270sea,chi,BellJo02,pass_int,0,,,,,
player,201509270sea,chi,BellJo02,pass_sacked,0,,,,,
player,201509270sea,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201509270sea,chi,BellJo02,pass_long,0,,,,,
player,201509270sea,chi,BellJo02,pass_rating,,,,,,
player,201509270sea,chi,BellJo02,rush_att,0,,,,,
player,201509270sea,chi,BellJo02,rush_yds,0,,,,,
player,201509270sea,chi,BellJo02,rush_td,0,,,,,
player,201509270sea,chi,BellJo02,rush_long,0,,,,,
player,201509270sea,chi,BellJo02,targets,2,,,,,
player,201509270sea,chi,BellJo02,rec,0,,,,,
player,201509270sea,chi,BellJo02,rec_yds,0,,,,,
player,201509270sea,chi,BellJo02,rec_td,0,,,,,
player,201509270sea,chi,BellJo02,rec_long,0,,,,,
player,201509270sea,chi,BellJo02,fumbles,0,,,,,
player,201509270sea,chi,BellJo02,fumbles_lost,0,,,,,
player,201509270sea,chi,WilsMa02,pass_cmp,0,,,,,
player,201509270sea,chi,WilsMa02,pass_att,0,,,,,
player,201509270sea,chi,WilsMa02,pass_yds,0,,,,,
player,201509270sea,chi,WilsMa02,pass_td,0,,,,,
player,201509270sea,chi,WilsMa02,pass_int,0,,,,,
player,201509270sea,chi,WilsMa02,pass_sacked,0,,,,,
player,201509270sea,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201509270sea,chi,WilsMa02,pass_long,0,,,,,
player,201509270sea,chi,WilsMa02,pass_rating,,,,,,
player,201509270sea,chi,WilsMa02,rush_att,0,,,,,
player,201509270sea,chi,WilsMa02,rush_yds,0,,,,,
player,201509270sea,chi,WilsMa02,rush_td,0,,,,,
player,201509270sea,chi,WilsMa02,rush_long,0,,,,,
player,201509270sea,chi,WilsMa02,targets,2,,,,,
player,201509270sea,chi,WilsMa02,rec,0,,,,,
player,201509270sea,chi,WilsMa02,rec_yds,0,,,,,
player,201509270sea,chi,WilsMa02,rec_td,0,,,,,
player,201509270sea,chi,WilsMa02,rec_long,0,,,,,
player,201509270sea,chi,WilsMa02,fumbles,0,,,,,
