game,2015,3,20150927,201509270crd,sfo,"San Francisco 49ers",7,crd,"Arizona Cardinals",47
team,201509270crd,sfo,First Downs,10,,,,,,
team,201509270crd,crd,First Downs,28,,,,,,
team,201509270crd,sfo,Rush-Yds-TDs,29-103-1,,,,,,
team,201509270crd,crd,Rush-Yds-TDs,37-139-2,,,,,,
team,201509270crd,sfo,Cmp-Att-Yd-TD-INT,9-19-67-0-4,,,,,,
team,201509270crd,crd,Cmp-Att-Yd-TD-INT,20-32-311-2-1,,,,,,
team,201509270crd,sfo,Sacked-Yards,2-14,,,,,,
team,201509270crd,crd,Sacked-Yards,1-4,,,,,,
team,201509270crd,sfo,Net Pass Yards,53,,,,,,
team,201509270crd,crd,Net Pass Yards,307,,,,,,
team,201509270crd,sfo,Total Yards,156,,,,,,
team,201509270crd,crd,Total Yards,446,,,,,,
team,201509270crd,sfo,Fumbles-Lost,1-0,,,,,,
team,201509270crd,crd,Fumbles-Lost,2-0,,,,,,
team,201509270crd,sfo,Turnovers,4,,,,,,
team,201509270crd,crd,Turnovers,1,,,,,,
team,201509270crd,sfo,Penalties-Yards,6-45,,,,,,
team,201509270crd,crd,Penalties-Yards,4-24,,,,,,
team,201509270crd,sfo,Third Down Conv.,4-12,,,,,,
team,201509270crd,crd,Third Down Conv.,6-13,,,,,,
team,201509270crd,sfo,Fourth Down Conv.,0-0,,,,,,
team,201509270crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201509270crd,sfo,Time of Possession,23:28,,,,,,
team,201509270crd,crd,Time of Possession,36:32,,,,,,
player,201509270crd,sfo,KaepCo00,pass_cmp,9,,,,,
player,201509270crd,sfo,KaepCo00,pass_att,19,,,,,
player,201509270crd,sfo,KaepCo00,pass_yds,67,,,,,
player,201509270crd,sfo,KaepCo00,pass_td,0,,,,,
player,201509270crd,sfo,KaepCo00,pass_int,4,,,,,
player,201509270crd,sfo,KaepCo00,pass_sacked,2,,,,,
player,201509270crd,sfo,KaepCo00,pass_sacked_yds,14,,,,,
player,201509270crd,sfo,KaepCo00,pass_long,14,,,,,
player,201509270crd,sfo,KaepCo00,pass_rating,16.7,,,,,
player,201509270crd,sfo,KaepCo00,rush_att,7,,,,,
player,201509270crd,sfo,KaepCo00,rush_yds,46,,,,,
player,201509270crd,sfo,KaepCo00,rush_td,1,,,,,
player,201509270crd,sfo,KaepCo00,rush_long,12,,,,,
player,201509270crd,sfo,KaepCo00,targets,0,,,,,
player,201509270crd,sfo,KaepCo00,rec,0,,,,,
player,201509270crd,sfo,KaepCo00,rec_yds,0,,,,,
player,201509270crd,sfo,KaepCo00,rec_td,0,,,,,
