game,2015,6,20151018,201510180sfo,rav,"Baltimore Ravens",20,sfo,"San Francisco 49ers",25
team,201510180sfo,rav,First Downs,25,,,,,,
team,201510180sfo,sfo,First Downs,15,,,,,,
team,201510180sfo,rav,Rush-Yds-TDs,22-77-0,,,,,,
team,201510180sfo,sfo,Rush-Yds-TDs,25-65-0,,,,,,
team,201510180sfo,rav,Cmp-Att-Yd-TD-INT,33-53-343-2-2,,,,,,
team,201510180sfo,sfo,Cmp-Att-Yd-TD-INT,16-27-340-2-0,,,,,,
team,201510180sfo,rav,Sacked-Yards,0-0,,,,,,
team,201510180sfo,sfo,Sacked-Yards,3-14,,,,,,
team,201510180sfo,rav,Net Pass Yards,343,,,,,,
team,201510180sfo,sfo,Net Pass Yards,326,,,,,,
team,201510180sfo,rav,Total Yards,420,,,,,,
team,201510180sfo,sfo,Total Yards,391,,,,,,
team,201510180sfo,rav,Fumbles-Lost,0-0,,,,,,
team,201510180sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201510180sfo,rav,Turnovers,2,,,,,,
team,201510180sfo,sfo,Turnovers,0,,,,,,
team,201510180sfo,rav,Penalties-Yards,3-15,,,,,,
team,201510180sfo,sfo,Penalties-Yards,4-25,,,,,,
team,201510180sfo,rav,Third Down Conv.,4-13,,,,,,
team,201510180sfo,sfo,Third Down Conv.,5-13,,,,,,
team,201510180sfo,rav,Fourth Down Conv.,1-1,,,,,,
team,201510180sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201510180sfo,rav,Time of Possession,33:07,,,,,,
team,201510180sfo,sfo,Time of Possession,26:53,,,,,,
player,201510180sfo,rav,FlacJo00,pass_cmp,33,,,,,
player,201510180sfo,rav,FlacJo00,pass_att,53,,,,,
player,201510180sfo,rav,FlacJo00,pass_yds,343,,,,,
player,201510180sfo,rav,FlacJo00,pass_td,2,,,,,
player,201510180sfo,rav,FlacJo00,pass_int,2,,,,,
player,201510180sfo,rav,FlacJo00,pass_sacked,0,,,,,
player,201510180sfo,rav,FlacJo00,pass_sacked_yds,0,,,,,
player,201510180sfo,rav,FlacJo00,pass_long,34,,,,,
player,201510180sfo,rav,FlacJo00,pass_rating,77.8,,,,,
player,201510180sfo,rav,FlacJo00,rush_att,0,,,,,
player,201510180sfo,rav,FlacJo00,rush_yds,0,,,,,
player,201510180sfo,rav,FlacJo00,rush_td,0,,,,,
player,201510180sfo,rav,FlacJo00,rush_long,0,,,,,
