game,2015,3,20150927,201509270det,den,"Denver Broncos",24,det,"Detroit Lions",12
team,201509270det,den,First Downs,19,,,,,,
team,201509270det,det,First Downs,22,,,,,,
team,201509270det,den,Rush-Yds-TDs,19-41-1,,,,,,
team,201509270det,det,Rush-Yds-TDs,19-28-1,,,,,,
team,201509270det,den,Cmp-Att-Yd-TD-INT,31-42-324-2-1,,,,,,
team,201509270det,det,Cmp-Att-Yd-TD-INT,31-45-282-1-2,,,,,,
team,201509270det,den,Sacked-Yards,1-11,,,,,,
team,201509270det,det,Sacked-Yards,4-20,,,,,,
team,201509270det,den,Net Pass Yards,313,,,,,,
team,201509270det,det,Net Pass Yards,262,,,,,,
team,201509270det,den,Total Yards,354,,,,,,
team,201509270det,det,Total Yards,290,,,,,,
team,201509270det,den,Fumbles-Lost,1-1,,,,,,
team,201509270det,det,Fumbles-Lost,1-1,,,,,,
team,201509270det,den,Turnovers,2,,,,,,
team,201509270det,det,Turnovers,3,,,,,,
team,201509270det,den,Penalties-Yards,9-94,,,,,,
team,201509270det,det,Penalties-Yards,9-75,,,,,,
team,201509270det,den,Third Down Conv.,4-12,,,,,,
team,201509270det,det,Third Down Conv.,4-12,,,,,,
team,201509270det,den,Fourth Down Conv.,1-1,,,,,,
team,201509270det,det,Fourth Down Conv.,0-1,,,,,,
team,201509270det,den,Time of Possession,28:52,,,,,,
team,201509270det,det,Time of Possession,31:08,,,,,,
player,201509270det,den,MannPe00,pass_cmp,31,,,,,
player,201509270det,den,MannPe00,pass_att,42,,,,,
player,201509270det,den,MannPe00,pass_yds,324,,,,,
player,201509270det,den,MannPe00,pass_td,2,,,,,
player,201509270det,den,MannPe00,pass_int,1,,,,,
player,201509270det,den,MannPe00,pass_sacked,1,,,,,
player,201509270det,den,MannPe00,pass_sacked_yds,11,,,,,
player,201509270det,den,MannPe00,pass_long,45,,,,,
player,201509270det,den,MannPe00,pass_rating,101.7,,,,,
player,201509270det,den,MannPe00,rush_att,1,,,,,
player,201509270det,den,MannPe00,rush_yds,-1,,,,,
player,201509270det,den,MannPe00,rush_td,0,,,,,
player,201509270det,den,MannPe00,rush_long,-1,,,,,
player,201509270det,den,MannPe00,targets,0,,,,,
player,201509270det,den,MannPe00,rec,0,,,,,
player,201509270det,den,MannPe00,rec_yds,0,,,,,
player,201509270det,den,MannPe00,rec_td,0,,,,,
player,201509270det,den,MannPe00,rec_long,0,,,,,
player,201509270det,den,MannPe00,fumbles,0,,,,,
player,201509270det,den,MannPe00,fumbles_lost,0,,,,,
player,201509270det,den,AndeC.00,pass_cmp,0,,,,,
player,201509270det,den,AndeC.00,pass_att,0,,,,,
player,201509270det,den,AndeC.00,pass_yds,0,,,,,
player,201509270det,den,AndeC.00,pass_td,0,,,,,
player,201509270det,den,AndeC.00,pass_int,0,,,,,
player,201509270det,den,AndeC.00,pass_sacked,0,,,,,
player,201509270det,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201509270det,den,AndeC.00,pass_long,0,,,,,
player,201509270det,den,AndeC.00,pass_rating,,,,,,
player,201509270det,den,AndeC.00,rush_att,8,,,,,
player,201509270det,den,AndeC.00,rush_yds,18,,,,,
player,201509270det,den,AndeC.00,rush_td,0,,,,,
player,201509270det,den,AndeC.00,rush_long,5,,,,,
player,201509270det,den,AndeC.00,targets,1,,,,,
player,201509270det,den,AndeC.00,rec,1,,,,,
player,201509270det,den,AndeC.00,rec_yds,9,,,,,
player,201509270det,den,AndeC.00,rec_td,0,,,,,
player,201509270det,den,AndeC.00,rec_long,9,,,,,
player,201509270det,den,AndeC.00,fumbles,0,,,,,
player,201509270det,den,AndeC.00,fumbles_lost,0,,,,,
player,201509270det,den,HillRo00,pass_cmp,0,,,,,
player,201509270det,den,HillRo00,pass_att,0,,,,,
player,201509270det,den,HillRo00,pass_yds,0,,,,,
player,201509270det,den,HillRo00,pass_td,0,,,,,
player,201509270det,den,HillRo00,pass_int,0,,,,,
