game,2015,7,20151025,201510250nyg,dal,"Dallas Cowboys",20,nyg,"New York Giants",27
team,201510250nyg,dal,First Downs,27,,,,,,
team,201510250nyg,nyg,First Downs,13,,,,,,
team,201510250nyg,dal,Rush-Yds-TDs,41-233-1,,,,,,
team,201510250nyg,nyg,Rush-Yds-TDs,25-132-1,,,,,,
team,201510250nyg,dal,Cmp-Att-Yd-TD-INT,17-27-227-1-3,,,,,,
team,201510250nyg,nyg,Cmp-Att-Yd-TD-INT,13-24-170-0-0,,,,,,
team,201510250nyg,dal,Sacked-Yards,1-0,,,,,,
team,201510250nyg,nyg,Sacked-Yards,2-13,,,,,,
team,201510250nyg,dal,Net Pass Yards,227,,,,,,
team,201510250nyg,nyg,Net Pass Yards,157,,,,,,
team,201510250nyg,dal,Total Yards,460,,,,,,
team,201510250nyg,nyg,Total Yards,289,,,,,,
team,201510250nyg,dal,Fumbles-Lost,1-1,,,,,,
team,201510250nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201510250nyg,dal,Turnovers,4,,,,,,
team,201510250nyg,nyg,Turnovers,0,,,,,,
team,201510250nyg,dal,Penalties-Yards,7-46,,,,,,
team,201510250nyg,nyg,Penalties-Yards,3-13,,,,,,
team,201510250nyg,dal,Third Down Conv.,6-11,,,,,,
team,201510250nyg,nyg,Third Down Conv.,3-11,,,,,,
team,201510250nyg,dal,Fourth Down Conv.,0-1,,,,,,
team,201510250nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201510250nyg,dal,Time of Possession,38:04,,,,,,
team,201510250nyg,nyg,Time of Possession,21:56,,,,,,
player,201510250nyg,dal,CassMa00,pass_cmp,17,,,,,
player,201510250nyg,dal,CassMa00,pass_att,27,,,,,
player,201510250nyg,dal,CassMa00,pass_yds,227,,,,,
player,201510250nyg,dal,CassMa00,pass_td,1,,,,,
player,201510250nyg,dal,CassMa00,pass_int,3,,,,,
player,201510250nyg,dal,CassMa00,pass_sacked,1,,,,,
player,201510250nyg,dal,CassMa00,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,CassMa00,pass_long,35,,,,,
player,201510250nyg,dal,CassMa00,pass_rating,62.3,,,,,
player,201510250nyg,dal,CassMa00,rush_att,1,,,,,
player,201510250nyg,dal,CassMa00,rush_yds,4,,,,,
player,201510250nyg,dal,CassMa00,rush_td,0,,,,,
player,201510250nyg,dal,CassMa00,rush_long,4,,,,,
player,201510250nyg,dal,CassMa00,targets,0,,,,,
player,201510250nyg,dal,CassMa00,rec,0,,,,,
player,201510250nyg,dal,CassMa00,rec_yds,0,,,,,
player,201510250nyg,dal,CassMa00,rec_td,0,,,,,
player,201510250nyg,dal,CassMa00,rec_long,0,,,,,
player,201510250nyg,dal,CassMa00,fumbles,0,,,,,
player,201510250nyg,dal,CassMa00,fumbles_lost,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_cmp,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_att,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_yds,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_td,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_int,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_sacked,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_long,0,,,,,
player,201510250nyg,dal,McFaDa00,pass_rating,,,,,,
player,201510250nyg,dal,McFaDa00,rush_att,29,,,,,
player,201510250nyg,dal,McFaDa00,rush_yds,152,,,,,
player,201510250nyg,dal,McFaDa00,rush_td,1,,,,,
player,201510250nyg,dal,McFaDa00,rush_long,22,,,,,
player,201510250nyg,dal,McFaDa00,targets,2,,,,,
player,201510250nyg,dal,McFaDa00,rec,2,,,,,
player,201510250nyg,dal,McFaDa00,rec_yds,10,,,,,
player,201510250nyg,dal,McFaDa00,rec_td,0,,,,,
player,201510250nyg,dal,McFaDa00,rec_long,9,,,,,
player,201510250nyg,dal,McFaDa00,fumbles,0,,,,,
player,201510250nyg,dal,McFaDa00,fumbles_lost,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_cmp,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_att,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_yds,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_td,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_int,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_sacked,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_long,0,,,,,
player,201510250nyg,dal,WhitLu00,pass_rating,,,,,,
player,201510250nyg,dal,WhitLu00,rush_att,4,,,,,
player,201510250nyg,dal,WhitLu00,rush_yds,35,,,,,
player,201510250nyg,dal,WhitLu00,rush_td,0,,,,,
player,201510250nyg,dal,WhitLu00,rush_long,15,,,,,
player,201510250nyg,dal,WhitLu00,targets,0,,,,,
player,201510250nyg,dal,WhitLu00,rec,0,,,,,
player,201510250nyg,dal,WhitLu00,rec_yds,0,,,,,
player,201510250nyg,dal,WhitLu00,rec_td,0,,,,,
player,201510250nyg,dal,WhitLu00,rec_long,0,,,,,
player,201510250nyg,dal,WhitLu00,fumbles,0,,,,,
player,201510250nyg,dal,WhitLu00,fumbles_lost,0,,,,,
player,201510250nyg,dal,RandJo01,pass_cmp,0,,,,,
player,201510250nyg,dal,RandJo01,pass_att,0,,,,,
player,201510250nyg,dal,RandJo01,pass_yds,0,,,,,
player,201510250nyg,dal,RandJo01,pass_td,0,,,,,
player,201510250nyg,dal,RandJo01,pass_int,0,,,,,
player,201510250nyg,dal,RandJo01,pass_sacked,0,,,,,
player,201510250nyg,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,RandJo01,pass_long,0,,,,,
player,201510250nyg,dal,RandJo01,pass_rating,,,,,,
player,201510250nyg,dal,RandJo01,rush_att,2,,,,,
player,201510250nyg,dal,RandJo01,rush_yds,24,,,,,
player,201510250nyg,dal,RandJo01,rush_td,0,,,,,
player,201510250nyg,dal,RandJo01,rush_long,13,,,,,
player,201510250nyg,dal,RandJo01,targets,0,,,,,
player,201510250nyg,dal,RandJo01,rec,0,,,,,
player,201510250nyg,dal,RandJo01,rec_yds,0,,,,,
player,201510250nyg,dal,RandJo01,rec_td,0,,,,,
player,201510250nyg,dal,RandJo01,rec_long,0,,,,,
player,201510250nyg,dal,RandJo01,fumbles,0,,,,,
player,201510250nyg,dal,RandJo01,fumbles_lost,0,,,,,
player,201510250nyg,dal,MichCh00,pass_cmp,0,,,,,
player,201510250nyg,dal,MichCh00,pass_att,0,,,,,
player,201510250nyg,dal,MichCh00,pass_yds,0,,,,,
player,201510250nyg,dal,MichCh00,pass_td,0,,,,,
player,201510250nyg,dal,MichCh00,pass_int,0,,,,,
player,201510250nyg,dal,MichCh00,pass_sacked,0,,,,,
player,201510250nyg,dal,MichCh00,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,MichCh00,pass_long,0,,,,,
player,201510250nyg,dal,MichCh00,pass_rating,,,,,,
player,201510250nyg,dal,MichCh00,rush_att,5,,,,,
player,201510250nyg,dal,MichCh00,rush_yds,18,,,,,
player,201510250nyg,dal,MichCh00,rush_td,0,,,,,
player,201510250nyg,dal,MichCh00,rush_long,13,,,,,
player,201510250nyg,dal,MichCh00,targets,1,,,,,
player,201510250nyg,dal,MichCh00,rec,1,,,,,
player,201510250nyg,dal,MichCh00,rec_yds,2,,,,,
player,201510250nyg,dal,MichCh00,rec_td,0,,,,,
player,201510250nyg,dal,MichCh00,rec_long,2,,,,,
player,201510250nyg,dal,MichCh00,fumbles,0,,,,,
player,201510250nyg,dal,MichCh00,fumbles_lost,0,,,,,
player,201510250nyg,dal,WittJa00,pass_cmp,0,,,,,
player,201510250nyg,dal,WittJa00,pass_att,0,,,,,
player,201510250nyg,dal,WittJa00,pass_yds,0,,,,,
player,201510250nyg,dal,WittJa00,pass_td,0,,,,,
player,201510250nyg,dal,WittJa00,pass_int,0,,,,,
player,201510250nyg,dal,WittJa00,pass_sacked,0,,,,,
player,201510250nyg,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,WittJa00,pass_long,0,,,,,
player,201510250nyg,dal,WittJa00,pass_rating,,,,,,
player,201510250nyg,dal,WittJa00,rush_att,0,,,,,
player,201510250nyg,dal,WittJa00,rush_yds,0,,,,,
player,201510250nyg,dal,WittJa00,rush_td,0,,,,,
player,201510250nyg,dal,WittJa00,rush_long,0,,,,,
player,201510250nyg,dal,WittJa00,targets,8,,,,,
player,201510250nyg,dal,WittJa00,rec,6,,,,,
player,201510250nyg,dal,WittJa00,rec_yds,73,,,,,
player,201510250nyg,dal,WittJa00,rec_td,0,,,,,
player,201510250nyg,dal,WittJa00,rec_long,35,,,,,
player,201510250nyg,dal,WittJa00,fumbles,0,,,,,
player,201510250nyg,dal,WittJa00,fumbles_lost,0,,,,,
player,201510250nyg,dal,WillTe01,pass_cmp,0,,,,,
player,201510250nyg,dal,WillTe01,pass_att,0,,,,,
player,201510250nyg,dal,WillTe01,pass_yds,0,,,,,
player,201510250nyg,dal,WillTe01,pass_td,0,,,,,
player,201510250nyg,dal,WillTe01,pass_int,0,,,,,
player,201510250nyg,dal,WillTe01,pass_sacked,0,,,,,
player,201510250nyg,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,WillTe01,pass_long,0,,,,,
player,201510250nyg,dal,WillTe01,pass_rating,,,,,,
player,201510250nyg,dal,WillTe01,rush_att,0,,,,,
player,201510250nyg,dal,WillTe01,rush_yds,0,,,,,
player,201510250nyg,dal,WillTe01,rush_td,0,,,,,
player,201510250nyg,dal,WillTe01,rush_long,0,,,,,
player,201510250nyg,dal,WillTe01,targets,7,,,,,
player,201510250nyg,dal,WillTe01,rec,4,,,,,
player,201510250nyg,dal,WillTe01,rec_yds,70,,,,,
player,201510250nyg,dal,WillTe01,rec_td,0,,,,,
player,201510250nyg,dal,WillTe01,rec_long,27,,,,,
player,201510250nyg,dal,WillTe01,fumbles,0,,,,,
player,201510250nyg,dal,WillTe01,fumbles_lost,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_cmp,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_att,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_yds,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_td,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_int,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_sacked,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_sacked_yds,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_long,0,,,,,
player,201510250nyg,dal,ButlBr00,pass_rating,,,,,,
player,201510250nyg,dal,ButlBr00,rush_att,0,,,,,
player,201510250nyg,dal,ButlBr00,rush_yds,0,,,,,
player,201510250nyg,dal,ButlBr00,rush_td,0,,,,,
player,201510250nyg,dal,ButlBr00,rush_long,0,,,,,
player,201510250nyg,dal,ButlBr00,targets,5,,,,,
player,201510250nyg,dal,ButlBr00,rec,2,,,,,
player,201510250nyg,dal,ButlBr00,rec_yds,41,,,,,
