game,2015,16,20151227,201512270rav,pit,"Pittsburgh Steelers",17,rav,"Baltimore Ravens",20
team,201512270rav,pit,First Downs,21,,,,,,
team,201512270rav,rav,First Downs,22,,,,,,
team,201512270rav,pit,Rush-Yds-TDs,20-110-2,,,,,,
team,201512270rav,rav,Rush-Yds-TDs,31-121-1,,,,,,
team,201512270rav,pit,Cmp-Att-Yd-TD-INT,24-34-220-0-2,,,,,,
team,201512270rav,rav,Cmp-Att-Yd-TD-INT,28-41-274-1-0,,,,,,
team,201512270rav,pit,Sacked-Yards,3-22,,,,,,
team,201512270rav,rav,Sacked-Yards,1-9,,,,,,
team,201512270rav,pit,Net Pass Yards,198,,,,,,
team,201512270rav,rav,Net Pass Yards,265,,,,,,
team,201512270rav,pit,Total Yards,308,,,,,,
team,201512270rav,rav,Total Yards,386,,,,,,
team,201512270rav,pit,Fumbles-Lost,2-1,,,,,,
team,201512270rav,rav,Fumbles-Lost,0-0,,,,,,
team,201512270rav,pit,Turnovers,3,,,,,,
team,201512270rav,rav,Turnovers,0,,,,,,
team,201512270rav,pit,Penalties-Yards,3-25,,,,,,
team,201512270rav,rav,Penalties-Yards,12-121,,,,,,
team,201512270rav,pit,Third Down Conv.,2-8,,,,,,
team,201512270rav,rav,Third Down Conv.,9-18,,,,,,
team,201512270rav,pit,Fourth Down Conv.,0-2,,,,,,
team,201512270rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201512270rav,pit,Time of Possession,25:40,,,,,,
team,201512270rav,rav,Time of Possession,34:20,,,,,,
player,201512270rav,pit,RoetBe00,pass_cmp,24,,,,,
player,201512270rav,pit,RoetBe00,pass_att,34,,,,,
player,201512270rav,pit,RoetBe00,pass_yds,220,,,,,
player,201512270rav,pit,RoetBe00,pass_td,0,,,,,
player,201512270rav,pit,RoetBe00,pass_int,2,,,,,
player,201512270rav,pit,RoetBe00,pass_sacked,3,,,,,
player,201512270rav,pit,RoetBe00,pass_sacked_yds,22,,,,,
player,201512270rav,pit,RoetBe00,pass_long,27,,,,,
player,201512270rav,pit,RoetBe00,pass_rating,63.4,,,,,
player,201512270rav,pit,RoetBe00,rush_att,0,,,,,
player,201512270rav,pit,RoetBe00,rush_yds,0,,,,,
player,201512270rav,pit,RoetBe00,rush_td,0,,,,,
player,201512270rav,pit,RoetBe00,rush_long,0,,,,,
player,201512270rav,pit,RoetBe00,targets,0,,,,,
player,201512270rav,pit,RoetBe00,rec,0,,,,,
player,201512270rav,pit,RoetBe00,rec_yds,-3,,,,,
player,201512270rav,pit,RoetBe00,rec_td,0,,,,,
player,201512270rav,pit,RoetBe00,rec_long,0,,,,,
player,201512270rav,pit,RoetBe00,fumbles,1,,,,,
player,201512270rav,pit,RoetBe00,fumbles_lost,0,,,,,
player,201512270rav,pit,WillDe02,pass_cmp,0,,,,,
player,201512270rav,pit,WillDe02,pass_att,0,,,,,
player,201512270rav,pit,WillDe02,pass_yds,0,,,,,
player,201512270rav,pit,WillDe02,pass_td,0,,,,,
player,201512270rav,pit,WillDe02,pass_int,0,,,,,
player,201512270rav,pit,WillDe02,pass_sacked,0,,,,,
player,201512270rav,pit,WillDe02,pass_sacked_yds,0,,,,,
player,201512270rav,pit,WillDe02,pass_long,0,,,,,
player,201512270rav,pit,WillDe02,pass_rating,,,,,,
player,201512270rav,pit,WillDe02,rush_att,17,,,,,
player,201512270rav,pit,WillDe02,rush_yds,100,,,,,
player,201512270rav,pit,WillDe02,rush_td,2,,,,,
player,201512270rav,pit,WillDe02,rush_long,30,,,,,
player,201512270rav,pit,WillDe02,targets,6,,,,,
player,201512270rav,pit,WillDe02,rec,6,,,,,
player,201512270rav,pit,WillDe02,rec_yds,53,,,,,
player,201512270rav,pit,WillDe02,rec_td,0,,,,,
player,201512270rav,pit,WillDe02,rec_long,22,,,,,
player,201512270rav,pit,WillDe02,fumbles,1,,,,,
player,201512270rav,pit,WillDe02,fumbles_lost,1,,,,,
player,201512270rav,pit,TousFi00,pass_cmp,0,,,,,
player,201512270rav,pit,TousFi00,pass_att,0,,,,,
player,201512270rav,pit,TousFi00,pass_yds,0,,,,,
player,201512270rav,pit,TousFi00,pass_td,0,,,,,
player,201512270rav,pit,TousFi00,pass_int,0,,,,,
player,201512270rav,pit,TousFi00,pass_sacked,0,,,,,
player,201512270rav,pit,TousFi00,pass_sacked_yds,0,,,,,
player,201512270rav,pit,TousFi00,pass_long,0,,,,,
player,201512270rav,pit,TousFi00,pass_rating,,,,,,
player,201512270rav,pit,TousFi00,rush_att,2,,,,,
player,201512270rav,pit,TousFi00,rush_yds,6,,,,,
player,201512270rav,pit,TousFi00,rush_td,0,,,,,
player,201512270rav,pit,TousFi00,rush_long,5,,,,,
player,201512270rav,pit,TousFi00,targets,0,,,,,
player,201512270rav,pit,TousFi00,rec,0,,,,,
player,201512270rav,pit,TousFi00,rec_yds,0,,,,,
player,201512270rav,pit,TousFi00,rec_td,0,,,,,
player,201512270rav,pit,TousFi00,rec_long,0,,,,,
player,201512270rav,pit,TousFi00,fumbles,0,,,,,
player,201512270rav,pit,TousFi00,fumbles_lost,0,,,,,
player,201512270rav,pit,BryaMa00,pass_cmp,0,,,,,
player,201512270rav,pit,BryaMa00,pass_att,0,,,,,
player,201512270rav,pit,BryaMa00,pass_yds,0,,,,,
player,201512270rav,pit,BryaMa00,pass_td,0,,,,,
player,201512270rav,pit,BryaMa00,pass_int,0,,,,,
player,201512270rav,pit,BryaMa00,pass_sacked,0,,,,,
player,201512270rav,pit,BryaMa00,pass_sacked_yds,0,,,,,
player,201512270rav,pit,BryaMa00,pass_long,0,,,,,
player,201512270rav,pit,BryaMa00,pass_rating,,,,,,
player,201512270rav,pit,BryaMa00,rush_att,1,,,,,
player,201512270rav,pit,BryaMa00,rush_yds,4,,,,,
player,201512270rav,pit,BryaMa00,rush_td,0,,,,,
player,201512270rav,pit,BryaMa00,rush_long,4,,,,,
player,201512270rav,pit,BryaMa00,targets,3,,,,,
player,201512270rav,pit,BryaMa00,rec,1,,,,,
player,201512270rav,pit,BryaMa00,rec_yds,6,,,,,
player,201512270rav,pit,BryaMa00,rec_td,0,,,,,
player,201512270rav,pit,BryaMa00,rec_long,6,,,,,
player,201512270rav,pit,BryaMa00,fumbles,0,,,,,
player,201512270rav,pit,BryaMa00,fumbles_lost,0,,,,,
player,201512270rav,pit,BrowAn04,pass_cmp,0,,,,,
player,201512270rav,pit,BrowAn04,pass_att,0,,,,,
player,201512270rav,pit,BrowAn04,pass_yds,0,,,,,
player,201512270rav,pit,BrowAn04,pass_td,0,,,,,
player,201512270rav,pit,BrowAn04,pass_int,0,,,,,
player,201512270rav,pit,BrowAn04,pass_sacked,0,,,,,
player,201512270rav,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201512270rav,pit,BrowAn04,pass_long,0,,,,,
player,201512270rav,pit,BrowAn04,pass_rating,,,,,,
player,201512270rav,pit,BrowAn04,rush_att,0,,,,,
player,201512270rav,pit,BrowAn04,rush_yds,0,,,,,
player,201512270rav,pit,BrowAn04,rush_td,0,,,,,
player,201512270rav,pit,BrowAn04,rush_long,0,,,,,
player,201512270rav,pit,BrowAn04,targets,11,,,,,
player,201512270rav,pit,BrowAn04,rec,7,,,,,
player,201512270rav,pit,BrowAn04,rec_yds,61,,,,,
player,201512270rav,pit,BrowAn04,rec_td,0,,,,,
player,201512270rav,pit,BrowAn04,rec_long,27,,,,,
player,201512270rav,pit,BrowAn04,fumbles,0,,,,,
player,201512270rav,pit,BrowAn04,fumbles_lost,0,,,,,
