game,2015,16,20151226,201512260phi,was,"Washington Redskins",38,phi,"Philadelphia Eagles",24
team,201512260phi,was,First Downs,25,,,,,,
team,201512260phi,phi,First Downs,23,,,,,,
team,201512260phi,was,Rush-Yds-TDs,26-67-0,,,,,,
team,201512260phi,phi,Rush-Yds-TDs,16-45-2,,,,,,
team,201512260phi,was,Cmp-Att-Yd-TD-INT,31-46-365-4-0,,,,,,
team,201512260phi,phi,Cmp-Att-Yd-TD-INT,37-56-380-1-0,,,,,,
team,201512260phi,was,Sacked-Yards,2-14,,,,,,
team,201512260phi,phi,Sacked-Yards,5-27,,,,,,
team,201512260phi,was,Net Pass Yards,351,,,,,,
team,201512260phi,phi,Net Pass Yards,353,,,,,,
team,201512260phi,was,Total Yards,418,,,,,,
team,201512260phi,phi,Total Yards,398,,,,,,
team,201512260phi,was,Fumbles-Lost,1-0,,,,,,
team,201512260phi,phi,Fumbles-Lost,7-2,,,,,,
team,201512260phi,was,Turnovers,0,,,,,,
team,201512260phi,phi,Turnovers,2,,,,,,
team,201512260phi,was,Penalties-Yards,8-70,,,,,,
team,201512260phi,phi,Penalties-Yards,8-45,,,,,,
team,201512260phi,was,Third Down Conv.,5-14,,,,,,
team,201512260phi,phi,Third Down Conv.,7-19,,,,,,
team,201512260phi,was,Fourth Down Conv.,0-0,,,,,,
team,201512260phi,phi,Fourth Down Conv.,2-3,,,,,,
team,201512260phi,was,Time of Possession,34:04,,,,,,
team,201512260phi,phi,Time of Possession,25:56,,,,,,
player,201512260phi,was,CousKi00,pass_cmp,31,,,,,
player,201512260phi,was,CousKi00,pass_att,46,,,,,
player,201512260phi,was,CousKi00,pass_yds,365,,,,,
player,201512260phi,was,CousKi00,pass_td,4,,,,,
player,201512260phi,was,CousKi00,pass_int,0,,,,,
player,201512260phi,was,CousKi00,pass_sacked,2,,,,,
player,201512260phi,was,CousKi00,pass_sacked_yds,14,,,,,
player,201512260phi,was,CousKi00,pass_long,28,,,,,
player,201512260phi,was,CousKi00,pass_rating,120.3,,,,,
player,201512260phi,was,CousKi00,rush_att,5,,,,,
player,201512260phi,was,CousKi00,rush_yds,-4,,,,,
player,201512260phi,was,CousKi00,rush_td,0,,,,,
player,201512260phi,was,CousKi00,rush_long,0,,,,,
player,201512260phi,was,CousKi00,targets,0,,,,,
player,201512260phi,was,CousKi00,rec,0,,,,,
player,201512260phi,was,CousKi00,rec_yds,0,,,,,
player,201512260phi,was,CousKi00,rec_td,0,,,,,
player,201512260phi,was,CousKi00,rec_long,0,,,,,
player,201512260phi,was,CousKi00,fumbles,1,,,,,
player,201512260phi,was,CousKi00,fumbles_lost,0,,,,,
player,201512260phi,was,MorrAl00,pass_cmp,0,,,,,
player,201512260phi,was,MorrAl00,pass_att,0,,,,,
player,201512260phi,was,MorrAl00,pass_yds,0,,,,,
player,201512260phi,was,MorrAl00,pass_td,0,,,,,
player,201512260phi,was,MorrAl00,pass_int,0,,,,,
player,201512260phi,was,MorrAl00,pass_sacked,0,,,,,
player,201512260phi,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201512260phi,was,MorrAl00,pass_long,0,,,,,
player,201512260phi,was,MorrAl00,pass_rating,,,,,,
player,201512260phi,was,MorrAl00,rush_att,17,,,,,
player,201512260phi,was,MorrAl00,rush_yds,49,,,,,
player,201512260phi,was,MorrAl00,rush_td,0,,,,,
player,201512260phi,was,MorrAl00,rush_long,8,,,,,
player,201512260phi,was,MorrAl00,targets,1,,,,,
player,201512260phi,was,MorrAl00,rec,0,,,,,
player,201512260phi,was,MorrAl00,rec_yds,0,,,,,
player,201512260phi,was,MorrAl00,rec_td,0,,,,,
player,201512260phi,was,MorrAl00,rec_long,0,,,,,
player,201512260phi,was,MorrAl00,fumbles,0,,,,,
player,201512260phi,was,MorrAl00,fumbles_lost,0,,,,,
player,201512260phi,was,ThomPi00,pass_cmp,0,,,,,
