game,2015,11,20151122,201511220chi,den,"Denver Broncos",17,chi,"Chicago Bears",15
team,201511220chi,den,First Downs,21,,,,,,
team,201511220chi,chi,First Downs,19,,,,,,
team,201511220chi,den,Rush-Yds-TDs,36-170-0,,,,,,
team,201511220chi,chi,Rush-Yds-TDs,25-86-1,,,,,,
team,201511220chi,den,Cmp-Att-Yd-TD-INT,20-27-250-2-0,,,,,,
team,201511220chi,chi,Cmp-Att-Yd-TD-INT,18-32-265-0-1,,,,,,
team,201511220chi,den,Sacked-Yards,5-31,,,,,,
team,201511220chi,chi,Sacked-Yards,2-4,,,,,,
team,201511220chi,den,Net Pass Yards,219,,,,,,
team,201511220chi,chi,Net Pass Yards,261,,,,,,
team,201511220chi,den,Total Yards,389,,,,,,
team,201511220chi,chi,Total Yards,347,,,,,,
team,201511220chi,den,Fumbles-Lost,0-0,,,,,,
team,201511220chi,chi,Fumbles-Lost,1-1,,,,,,
team,201511220chi,den,Turnovers,0,,,,,,
team,201511220chi,chi,Turnovers,2,,,,,,
team,201511220chi,den,Penalties-Yards,8-118,,,,,,
team,201511220chi,chi,Penalties-Yards,0-0,,,,,,
team,201511220chi,den,Third Down Conv.,6-14,,,,,,
team,201511220chi,chi,Third Down Conv.,4-12,,,,,,
team,201511220chi,den,Fourth Down Conv.,0-1,,,,,,
team,201511220chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201511220chi,den,Time of Possession,33:13,,,,,,
team,201511220chi,chi,Time of Possession,26:47,,,,,,
player,201511220chi,den,OsweBr00,pass_cmp,20,,,,,
player,201511220chi,den,OsweBr00,pass_att,27,,,,,
player,201511220chi,den,OsweBr00,pass_yds,250,,,,,
player,201511220chi,den,OsweBr00,pass_td,2,,,,,
player,201511220chi,den,OsweBr00,pass_int,0,,,,,
player,201511220chi,den,OsweBr00,pass_sacked,5,,,,,
player,201511220chi,den,OsweBr00,pass_sacked_yds,31,,,,,
player,201511220chi,den,OsweBr00,pass_long,48,,,,,
player,201511220chi,den,OsweBr00,pass_rating,127.1,,,,,
player,201511220chi,den,OsweBr00,rush_att,2,,,,,
player,201511220chi,den,OsweBr00,rush_yds,4,,,,,
player,201511220chi,den,OsweBr00,rush_td,0,,,,,
player,201511220chi,den,OsweBr00,rush_long,5,,,,,
player,201511220chi,den,OsweBr00,targets,0,,,,,
player,201511220chi,den,OsweBr00,rec,0,,,,,
player,201511220chi,den,OsweBr00,rec_yds,0,,,,,
player,201511220chi,den,OsweBr00,rec_td,0,,,,,
player,201511220chi,den,OsweBr00,rec_long,0,,,,,
player,201511220chi,den,OsweBr00,fumbles,0,,,,,
player,201511220chi,den,OsweBr00,fumbles_lost,0,,,,,
player,201511220chi,den,HillRo00,pass_cmp,0,,,,,
player,201511220chi,den,HillRo00,pass_att,0,,,,,
player,201511220chi,den,HillRo00,pass_yds,0,,,,,
player,201511220chi,den,HillRo00,pass_td,0,,,,,
player,201511220chi,den,HillRo00,pass_int,0,,,,,
player,201511220chi,den,HillRo00,pass_sacked,0,,,,,
player,201511220chi,den,HillRo00,pass_sacked_yds,0,,,,,
player,201511220chi,den,HillRo00,pass_long,0,,,,,
player,201511220chi,den,HillRo00,pass_rating,,,,,,
player,201511220chi,den,HillRo00,rush_att,21,,,,,
player,201511220chi,den,HillRo00,rush_yds,102,,,,,
player,201511220chi,den,HillRo00,rush_td,0,,,,,
player,201511220chi,den,HillRo00,rush_long,15,,,,,
player,201511220chi,den,HillRo00,targets,1,,,,,
player,201511220chi,den,HillRo00,rec,1,,,,,
player,201511220chi,den,HillRo00,rec_yds,2,,,,,
player,201511220chi,den,HillRo00,rec_td,0,,,,,
player,201511220chi,den,HillRo00,rec_long,2,,,,,
player,201511220chi,den,HillRo00,fumbles,0,,,,,
player,201511220chi,den,HillRo00,fumbles_lost,0,,,,,
player,201511220chi,den,AndeC.00,pass_cmp,0,,,,,
player,201511220chi,den,AndeC.00,pass_att,0,,,,,
player,201511220chi,den,AndeC.00,pass_yds,0,,,,,
player,201511220chi,den,AndeC.00,pass_td,0,,,,,
player,201511220chi,den,AndeC.00,pass_int,0,,,,,
player,201511220chi,den,AndeC.00,pass_sacked,0,,,,,
player,201511220chi,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201511220chi,den,AndeC.00,pass_long,0,,,,,
player,201511220chi,den,AndeC.00,pass_rating,,,,,,
player,201511220chi,den,AndeC.00,rush_att,12,,,,,
player,201511220chi,den,AndeC.00,rush_yds,59,,,,,
player,201511220chi,den,AndeC.00,rush_td,0,,,,,
player,201511220chi,den,AndeC.00,rush_long,15,,,,,
player,201511220chi,den,AndeC.00,targets,2,,,,,
player,201511220chi,den,AndeC.00,rec,2,,,,,
player,201511220chi,den,AndeC.00,rec_yds,13,,,,,
player,201511220chi,den,AndeC.00,rec_td,0,,,,,
player,201511220chi,den,AndeC.00,rec_long,12,,,,,
player,201511220chi,den,AndeC.00,fumbles,0,,,,,
player,201511220chi,den,AndeC.00,fumbles_lost,0,,,,,
player,201511220chi,den,LatiCo00,pass_cmp,0,,,,,
player,201511220chi,den,LatiCo00,pass_att,0,,,,,
player,201511220chi,den,LatiCo00,pass_yds,0,,,,,
player,201511220chi,den,LatiCo00,pass_td,0,,,,,
player,201511220chi,den,LatiCo00,pass_int,0,,,,,
player,201511220chi,den,LatiCo00,pass_sacked,0,,,,,
player,201511220chi,den,LatiCo00,pass_sacked_yds,0,,,,,
player,201511220chi,den,LatiCo00,pass_long,0,,,,,
player,201511220chi,den,LatiCo00,pass_rating,,,,,,
player,201511220chi,den,LatiCo00,rush_att,1,,,,,
player,201511220chi,den,LatiCo00,rush_yds,5,,,,,
player,201511220chi,den,LatiCo00,rush_td,0,,,,,
player,201511220chi,den,LatiCo00,rush_long,5,,,,,
player,201511220chi,den,LatiCo00,targets,3,,,,,
player,201511220chi,den,LatiCo00,rec,2,,,,,
player,201511220chi,den,LatiCo00,rec_yds,22,,,,,
player,201511220chi,den,LatiCo00,rec_td,1,,,,,
player,201511220chi,den,LatiCo00,rec_long,12,,,,,
player,201511220chi,den,LatiCo00,fumbles,0,,,,,
player,201511220chi,den,LatiCo00,fumbles_lost,0,,,,,
player,201511220chi,den,DaniOw00,pass_cmp,0,,,,,
player,201511220chi,den,DaniOw00,pass_att,0,,,,,
player,201511220chi,den,DaniOw00,pass_yds,0,,,,,
player,201511220chi,den,DaniOw00,pass_td,0,,,,,
player,201511220chi,den,DaniOw00,pass_int,0,,,,,
player,201511220chi,den,DaniOw00,pass_sacked,0,,,,,
player,201511220chi,den,DaniOw00,pass_sacked_yds,0,,,,,
player,201511220chi,den,DaniOw00,pass_long,0,,,,,
player,201511220chi,den,DaniOw00,pass_rating,,,,,,
