game,2015,15,20151220,201512200sea,cle,"Cleveland Browns",13,sea,"Seattle Seahawks",30
team,201512200sea,cle,First Downs,15,,,,,,
team,201512200sea,sea,First Downs,28,,,,,,
team,201512200sea,cle,Rush-Yds-TDs,17-94-0,,,,,,
team,201512200sea,sea,Rush-Yds-TDs,36-182-0,,,,,,
team,201512200sea,cle,Cmp-Att-Yd-TD-INT,19-32-161-1-1,,,,,,
team,201512200sea,sea,Cmp-Att-Yd-TD-INT,21-30-249-3-0,,,,,,
team,201512200sea,cle,Sacked-Yards,3-25,,,,,,
team,201512200sea,sea,Sacked-Yards,2-8,,,,,,
team,201512200sea,cle,Net Pass Yards,136,,,,,,
team,201512200sea,sea,Net Pass Yards,241,,,,,,
team,201512200sea,cle,Total Yards,230,,,,,,
team,201512200sea,sea,Total Yards,423,,,,,,
team,201512200sea,cle,Fumbles-Lost,2-0,,,,,,
team,201512200sea,sea,Fumbles-Lost,0-0,,,,,,
team,201512200sea,cle,Turnovers,1,,,,,,
team,201512200sea,sea,Turnovers,0,,,,,,
team,201512200sea,cle,Penalties-Yards,4-40,,,,,,
team,201512200sea,sea,Penalties-Yards,5-30,,,,,,
team,201512200sea,cle,Third Down Conv.,6-12,,,,,,
team,201512200sea,sea,Third Down Conv.,9-12,,,,,,
team,201512200sea,cle,Fourth Down Conv.,0-0,,,,,,
team,201512200sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201512200sea,cle,Time of Possession,25:27,,,,,,
team,201512200sea,sea,Time of Possession,34:33,,,,,,
player,201512200sea,cle,ManzJo00,pass_cmp,19,,,,,
player,201512200sea,cle,ManzJo00,pass_att,32,,,,,
player,201512200sea,cle,ManzJo00,pass_yds,161,,,,,
player,201512200sea,cle,ManzJo00,pass_td,1,,,,,
player,201512200sea,cle,ManzJo00,pass_int,1,,,,,
player,201512200sea,cle,ManzJo00,pass_sacked,3,,,,,
player,201512200sea,cle,ManzJo00,pass_sacked_yds,25,,,,,
player,201512200sea,cle,ManzJo00,pass_long,22,,,,,
player,201512200sea,cle,ManzJo00,pass_rating,69.9,,,,,
player,201512200sea,cle,ManzJo00,rush_att,2,,,,,
player,201512200sea,cle,ManzJo00,rush_yds,17,,,,,
player,201512200sea,cle,ManzJo00,rush_td,0,,,,,
player,201512200sea,cle,ManzJo00,rush_long,12,,,,,
player,201512200sea,cle,ManzJo00,targets,0,,,,,
player,201512200sea,cle,ManzJo00,rec,0,,,,,
player,201512200sea,cle,ManzJo00,rec_yds,0,,,,,
player,201512200sea,cle,ManzJo00,rec_td,0,,,,,
player,201512200sea,cle,ManzJo00,rec_long,0,,,,,
player,201512200sea,cle,ManzJo00,fumbles,1,,,,,
player,201512200sea,cle,ManzJo00,fumbles_lost,0,,,,,
player,201512200sea,cle,JohnDu00,pass_cmp,0,,,,,
player,201512200sea,cle,JohnDu00,pass_att,0,,,,,
player,201512200sea,cle,JohnDu00,pass_yds,0,,,,,
player,201512200sea,cle,JohnDu00,pass_td,0,,,,,
player,201512200sea,cle,JohnDu00,pass_int,0,,,,,
player,201512200sea,cle,JohnDu00,pass_sacked,0,,,,,
player,201512200sea,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201512200sea,cle,JohnDu00,pass_long,0,,,,,
player,201512200sea,cle,JohnDu00,pass_rating,,,,,,
player,201512200sea,cle,JohnDu00,rush_att,4,,,,,
player,201512200sea,cle,JohnDu00,rush_yds,46,,,,,
player,201512200sea,cle,JohnDu00,rush_td,0,,,,,
player,201512200sea,cle,JohnDu00,rush_long,39,,,,,
player,201512200sea,cle,JohnDu00,targets,5,,,,,
player,201512200sea,cle,JohnDu00,rec,5,,,,,
player,201512200sea,cle,JohnDu00,rec_yds,39,,,,,
player,201512200sea,cle,JohnDu00,rec_td,0,,,,,
player,201512200sea,cle,JohnDu00,rec_long,22,,,,,
player,201512200sea,cle,JohnDu00,fumbles,1,,,,,
player,201512200sea,cle,JohnDu00,fumbles_lost,0,,,,,
player,201512200sea,cle,CrowIs00,pass_cmp,0,,,,,
player,201512200sea,cle,CrowIs00,pass_att,0,,,,,
player,201512200sea,cle,CrowIs00,pass_yds,0,,,,,
player,201512200sea,cle,CrowIs00,pass_td,0,,,,,
player,201512200sea,cle,CrowIs00,pass_int,0,,,,,
player,201512200sea,cle,CrowIs00,pass_sacked,0,,,,,
player,201512200sea,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201512200sea,cle,CrowIs00,pass_long,0,,,,,
player,201512200sea,cle,CrowIs00,pass_rating,,,,,,
player,201512200sea,cle,CrowIs00,rush_att,9,,,,,
player,201512200sea,cle,CrowIs00,rush_yds,23,,,,,
player,201512200sea,cle,CrowIs00,rush_td,0,,,,,
player,201512200sea,cle,CrowIs00,rush_long,6,,,,,
player,201512200sea,cle,CrowIs00,targets,3,,,,,
player,201512200sea,cle,CrowIs00,rec,3,,,,,
player,201512200sea,cle,CrowIs00,rec_yds,7,,,,,
player,201512200sea,cle,CrowIs00,rec_td,0,,,,,
player,201512200sea,cle,CrowIs00,rec_long,6,,,,,
player,201512200sea,cle,CrowIs00,fumbles,0,,,,,
player,201512200sea,cle,CrowIs00,fumbles_lost,0,,,,,
player,201512200sea,cle,BenjTr00,pass_cmp,0,,,,,
player,201512200sea,cle,BenjTr00,pass_att,0,,,,,
player,201512200sea,cle,BenjTr00,pass_yds,0,,,,,
player,201512200sea,cle,BenjTr00,pass_td,0,,,,,
