game,2015,6,20151018,201510180min,kan,"Kansas City Chiefs",10,min,"Minnesota Vikings",16
team,201510180min,kan,First Downs,16,,,,,,
team,201510180min,min,First Downs,16,,,,,,
team,201510180min,kan,Rush-Yds-TDs,18-57-0,,,,,,
team,201510180min,min,Rush-Yds-TDs,35-84-0,,,,,,
team,201510180min,kan,Cmp-Att-Yd-TD-INT,22-37-282-1-0,,,,,,
team,201510180min,min,Cmp-Att-Yd-TD-INT,17-31-249-1-2,,,,,,
team,201510180min,kan,Sacked-Yards,2-11,,,,,,
team,201510180min,min,Sacked-Yards,2-12,,,,,,
team,201510180min,kan,Net Pass Yards,271,,,,,,
team,201510180min,min,Net Pass Yards,237,,,,,,
team,201510180min,kan,Total Yards,328,,,,,,
team,201510180min,min,Total Yards,321,,,,,,
team,201510180min,kan,Fumbles-Lost,1-1,,,,,,
team,201510180min,min,Fumbles-Lost,1-0,,,,,,
team,201510180min,kan,Turnovers,1,,,,,,
team,201510180min,min,Turnovers,2,,,,,,
team,201510180min,kan,Penalties-Yards,8-95,,,,,,
team,201510180min,min,Penalties-Yards,5-50,,,,,,
team,201510180min,kan,Third Down Conv.,3-12,,,,,,
team,201510180min,min,Third Down Conv.,6-17,,,,,,
team,201510180min,kan,Fourth Down Conv.,0-2,,,,,,
team,201510180min,min,Fourth Down Conv.,1-1,,,,,,
team,201510180min,kan,Time of Possession,26:53,,,,,,
team,201510180min,min,Time of Possession,33:07,,,,,,
player,201510180min,kan,SmitAl03,pass_cmp,22,,,,,
player,201510180min,kan,SmitAl03,pass_att,37,,,,,
player,201510180min,kan,SmitAl03,pass_yds,282,,,,,
player,201510180min,kan,SmitAl03,pass_td,1,,,,,
player,201510180min,kan,SmitAl03,pass_int,0,,,,,
player,201510180min,kan,SmitAl03,pass_sacked,2,,,,,
player,201510180min,kan,SmitAl03,pass_sacked_yds,11,,,,,
player,201510180min,kan,SmitAl03,pass_long,42,,,,,
player,201510180min,kan,SmitAl03,pass_rating,92.4,,,,,
player,201510180min,kan,SmitAl03,rush_att,2,,,,,
player,201510180min,kan,SmitAl03,rush_yds,10,,,,,
player,201510180min,kan,SmitAl03,rush_td,0,,,,,
player,201510180min,kan,SmitAl03,rush_long,7,,,,,
player,201510180min,kan,SmitAl03,targets,0,,,,,
player,201510180min,kan,SmitAl03,rec,0,,,,,
player,201510180min,kan,SmitAl03,rec_yds,0,,,,,
player,201510180min,kan,SmitAl03,rec_td,0,,,,,
player,201510180min,kan,SmitAl03,rec_long,0,,,,,
player,201510180min,kan,SmitAl03,fumbles,0,,,,,
player,201510180min,kan,SmitAl03,fumbles_lost,0,,,,,
player,201510180min,kan,WestCh01,pass_cmp,0,,,,,
player,201510180min,kan,WestCh01,pass_att,0,,,,,
player,201510180min,kan,WestCh01,pass_yds,0,,,,,
player,201510180min,kan,WestCh01,pass_td,0,,,,,
player,201510180min,kan,WestCh01,pass_int,0,,,,,
player,201510180min,kan,WestCh01,pass_sacked,0,,,,,
player,201510180min,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201510180min,kan,WestCh01,pass_long,0,,,,,
player,201510180min,kan,WestCh01,pass_rating,,,,,,
player,201510180min,kan,WestCh01,rush_att,9,,,,,
player,201510180min,kan,WestCh01,rush_yds,33,,,,,
player,201510180min,kan,WestCh01,rush_td,0,,,,,
player,201510180min,kan,WestCh01,rush_long,9,,,,,
player,201510180min,kan,WestCh01,targets,2,,,,,
player,201510180min,kan,WestCh01,rec,1,,,,,
player,201510180min,kan,WestCh01,rec_yds,6,,,,,
player,201510180min,kan,WestCh01,rec_td,0,,,,,
player,201510180min,kan,WestCh01,rec_long,6,,,,,
player,201510180min,kan,WestCh01,fumbles,1,,,,,
player,201510180min,kan,WestCh01,fumbles_lost,1,,,,,
player,201510180min,kan,DaviKn00,pass_cmp,0,,,,,
player,201510180min,kan,DaviKn00,pass_att,0,,,,,
player,201510180min,kan,DaviKn00,pass_yds,0,,,,,
player,201510180min,kan,DaviKn00,pass_td,0,,,,,
player,201510180min,kan,DaviKn00,pass_int,0,,,,,
player,201510180min,kan,DaviKn00,pass_sacked,0,,,,,
player,201510180min,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201510180min,kan,DaviKn00,pass_long,0,,,,,
player,201510180min,kan,DaviKn00,pass_rating,,,,,,
player,201510180min,kan,DaviKn00,rush_att,5,,,,,
player,201510180min,kan,DaviKn00,rush_yds,13,,,,,
player,201510180min,kan,DaviKn00,rush_td,0,,,,,
player,201510180min,kan,DaviKn00,rush_long,8,,,,,
player,201510180min,kan,DaviKn00,targets,1,,,,,
player,201510180min,kan,DaviKn00,rec,1,,,,,
player,201510180min,kan,DaviKn00,rec_yds,12,,,,,
player,201510180min,kan,DaviKn00,rec_td,0,,,,,
player,201510180min,kan,DaviKn00,rec_long,12,,,,,
player,201510180min,kan,DaviKn00,fumbles,0,,,,,
player,201510180min,kan,DaviKn00,fumbles_lost,0,,,,,
player,201510180min,kan,ThomDe05,pass_cmp,0,,,,,
player,201510180min,kan,ThomDe05,pass_att,0,,,,,
player,201510180min,kan,ThomDe05,pass_yds,0,,,,,
player,201510180min,kan,ThomDe05,pass_td,0,,,,,
player,201510180min,kan,ThomDe05,pass_int,0,,,,,
player,201510180min,kan,ThomDe05,pass_sacked,0,,,,,
player,201510180min,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201510180min,kan,ThomDe05,pass_long,0,,,,,
player,201510180min,kan,ThomDe05,pass_rating,,,,,,
player,201510180min,kan,ThomDe05,rush_att,1,,,,,
player,201510180min,kan,ThomDe05,rush_yds,1,,,,,
player,201510180min,kan,ThomDe05,rush_td,0,,,,,
player,201510180min,kan,ThomDe05,rush_long,1,,,,,
player,201510180min,kan,ThomDe05,targets,1,,,,,
player,201510180min,kan,ThomDe05,rec,0,,,,,
player,201510180min,kan,ThomDe05,rec_yds,0,,,,,
player,201510180min,kan,ThomDe05,rec_td,0,,,,,
player,201510180min,kan,ThomDe05,rec_long,0,,,,,
player,201510180min,kan,ThomDe05,fumbles,0,,,,,
player,201510180min,kan,ThomDe05,fumbles_lost,0,,,,,
player,201510180min,kan,KelcTr00,pass_cmp,0,,,,,
player,201510180min,kan,KelcTr00,pass_att,0,,,,,
player,201510180min,kan,KelcTr00,pass_yds,0,,,,,
player,201510180min,kan,KelcTr00,pass_td,0,,,,,
player,201510180min,kan,KelcTr00,pass_int,0,,,,,
player,201510180min,kan,KelcTr00,pass_sacked,0,,,,,
player,201510180min,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201510180min,kan,KelcTr00,pass_long,0,,,,,
player,201510180min,kan,KelcTr00,pass_rating,,,,,,
player,201510180min,kan,KelcTr00,rush_att,0,,,,,
player,201510180min,kan,KelcTr00,rush_yds,0,,,,,
player,201510180min,kan,KelcTr00,rush_td,0,,,,,
