game,2015,2,20150917,201509170kan,den,"Denver Broncos",31,kan,"Kansas City Chiefs",24
team,201509170kan,den,First Downs,21,,,,,,
team,201509170kan,kan,First Downs,20,,,,,,
team,201509170kan,den,Rush-Yds-TDs,22-61-0,,,,,,
team,201509170kan,kan,Rush-Yds-TDs,28-147-2,,,,,,
team,201509170kan,den,Cmp-Att-Yd-TD-INT,26-45-256-3-1,,,,,,
team,201509170kan,kan,Cmp-Att-Yd-TD-INT,16-25-191-0-2,,,,,,
team,201509170kan,den,Sacked-Yards,3-18,,,,,,
team,201509170kan,kan,Sacked-Yards,5-24,,,,,,
team,201509170kan,den,Net Pass Yards,238,,,,,,
team,201509170kan,kan,Net Pass Yards,167,,,,,,
team,201509170kan,den,Total Yards,299,,,,,,
team,201509170kan,kan,Total Yards,314,,,,,,
team,201509170kan,den,Fumbles-Lost,0-0,,,,,,
team,201509170kan,kan,Fumbles-Lost,3-3,,,,,,
team,201509170kan,den,Turnovers,1,,,,,,
team,201509170kan,kan,Turnovers,5,,,,,,
team,201509170kan,den,Penalties-Yards,8-85,,,,,,
team,201509170kan,kan,Penalties-Yards,9-60,,,,,,
team,201509170kan,den,Third Down Conv.,6-16,,,,,,
team,201509170kan,kan,Third Down Conv.,0-7,,,,,,
team,201509170kan,den,Fourth Down Conv.,0-1,,,,,,
team,201509170kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201509170kan,den,Time of Possession,31:01,,,,,,
team,201509170kan,kan,Time of Possession,28:59,,,,,,
player,201509170kan,den,MannPe00,pass_cmp,26,,,,,
player,201509170kan,den,MannPe00,pass_att,45,,,,,
player,201509170kan,den,MannPe00,pass_yds,256,,,,,
player,201509170kan,den,MannPe00,pass_td,3,,,,,
player,201509170kan,den,MannPe00,pass_int,1,,,,,
player,201509170kan,den,MannPe00,pass_sacked,3,,,,,
player,201509170kan,den,MannPe00,pass_sacked_yds,18,,,,,
player,201509170kan,den,MannPe00,pass_long,22,,,,,
player,201509170kan,den,MannPe00,pass_rating,86.9,,,,,
player,201509170kan,den,MannPe00,rush_att,0,,,,,
player,201509170kan,den,MannPe00,rush_yds,0,,,,,
player,201509170kan,den,MannPe00,rush_td,0,,,,,
player,201509170kan,den,MannPe00,rush_long,0,,,,,
player,201509170kan,den,MannPe00,targets,0,,,,,
player,201509170kan,den,MannPe00,rec,0,,,,,
player,201509170kan,den,MannPe00,rec_yds,0,,,,,
player,201509170kan,den,MannPe00,rec_td,0,,,,,
player,201509170kan,den,MannPe00,rec_long,0,,,,,
player,201509170kan,den,MannPe00,fumbles,0,,,,,
player,201509170kan,den,MannPe00,fumbles_lost,0,,,,,
player,201509170kan,den,HillRo00,pass_cmp,0,,,,,
player,201509170kan,den,HillRo00,pass_att,0,,,,,
player,201509170kan,den,HillRo00,pass_yds,0,,,,,
player,201509170kan,den,HillRo00,pass_td,0,,,,,
player,201509170kan,den,HillRo00,pass_int,0,,,,,
player,201509170kan,den,HillRo00,pass_sacked,0,,,,,
player,201509170kan,den,HillRo00,pass_sacked_yds,0,,,,,
player,201509170kan,den,HillRo00,pass_long,0,,,,,
player,201509170kan,den,HillRo00,pass_rating,,,,,,
player,201509170kan,den,HillRo00,rush_att,9,,,,,
player,201509170kan,den,HillRo00,rush_yds,34,,,,,
player,201509170kan,den,HillRo00,rush_td,0,,,,,
player,201509170kan,den,HillRo00,rush_long,16,,,,,
player,201509170kan,den,HillRo00,targets,1,,,,,
player,201509170kan,den,HillRo00,rec,0,,,,,
player,201509170kan,den,HillRo00,rec_yds,0,,,,,
player,201509170kan,den,HillRo00,rec_td,0,,,,,
player,201509170kan,den,HillRo00,rec_long,0,,,,,
player,201509170kan,den,HillRo00,fumbles,0,,,,,
player,201509170kan,den,HillRo00,fumbles_lost,0,,,,,
player,201509170kan,den,AndeC.00,pass_cmp,0,,,,,
player,201509170kan,den,AndeC.00,pass_att,0,,,,,
player,201509170kan,den,AndeC.00,pass_yds,0,,,,,
player,201509170kan,den,AndeC.00,pass_td,0,,,,,
player,201509170kan,den,AndeC.00,pass_int,0,,,,,
player,201509170kan,den,AndeC.00,pass_sacked,0,,,,,
player,201509170kan,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201509170kan,den,AndeC.00,pass_long,0,,,,,
player,201509170kan,den,AndeC.00,pass_rating,,,,,,
player,201509170kan,den,AndeC.00,rush_att,12,,,,,
