game,2015,15,20151220,201512200sdg,mia,"Miami Dolphins",14,sdg,"San Diego Chargers",30
team,201512200sdg,mia,First Downs,13,,,,,,
team,201512200sdg,sdg,First Downs,26,,,,,,
team,201512200sdg,mia,Rush-Yds-TDs,19-44-2,,,,,,
team,201512200sdg,sdg,Rush-Yds-TDs,36-140-1,,,,,,
team,201512200sdg,mia,Cmp-Att-Yd-TD-INT,20-34-216-0-0,,,,,,
team,201512200sdg,sdg,Cmp-Att-Yd-TD-INT,26-36-311-3-2,,,,,,
team,201512200sdg,mia,Sacked-Yards,3-29,,,,,,
team,201512200sdg,sdg,Sacked-Yards,1-9,,,,,,
team,201512200sdg,mia,Net Pass Yards,187,,,,,,
team,201512200sdg,sdg,Net Pass Yards,302,,,,,,
team,201512200sdg,mia,Total Yards,231,,,,,,
team,201512200sdg,sdg,Total Yards,442,,,,,,
team,201512200sdg,mia,Fumbles-Lost,2-1,,,,,,
team,201512200sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201512200sdg,mia,Turnovers,1,,,,,,
team,201512200sdg,sdg,Turnovers,2,,,,,,
team,201512200sdg,mia,Penalties-Yards,9-72,,,,,,
team,201512200sdg,sdg,Penalties-Yards,7-48,,,,,,
team,201512200sdg,mia,Third Down Conv.,2-14,,,,,,
team,201512200sdg,sdg,Third Down Conv.,9-14,,,,,,
team,201512200sdg,mia,Fourth Down Conv.,3-3,,,,,,
team,201512200sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201512200sdg,mia,Time of Possession,21:07,,,,,,
team,201512200sdg,sdg,Time of Possession,38:53,,,,,,
player,201512200sdg,mia,TannRy00,pass_cmp,20,,,,,
player,201512200sdg,mia,TannRy00,pass_att,34,,,,,
player,201512200sdg,mia,TannRy00,pass_yds,216,,,,,
player,201512200sdg,mia,TannRy00,pass_td,0,,,,,
player,201512200sdg,mia,TannRy00,pass_int,0,,,,,
player,201512200sdg,mia,TannRy00,pass_sacked,3,,,,,
player,201512200sdg,mia,TannRy00,pass_sacked_yds,29,,,,,
player,201512200sdg,mia,TannRy00,pass_long,35,,,,,
player,201512200sdg,mia,TannRy00,pass_rating,77.6,,,,,
player,201512200sdg,mia,TannRy00,rush_att,3,,,,,
player,201512200sdg,mia,TannRy00,rush_yds,4,,,,,
player,201512200sdg,mia,TannRy00,rush_td,1,,,,,
player,201512200sdg,mia,TannRy00,rush_long,2,,,,,
player,201512200sdg,mia,TannRy00,targets,0,,,,,
