game,2015,7,20151025,201510250car,phi,"Philadelphia Eagles",16,car,"Carolina Panthers",27
team,201510250car,phi,First Downs,20,,,,,,
team,201510250car,car,First Downs,21,,,,,,
team,201510250car,phi,Rush-Yds-TDs,30-177-1,,,,,,
team,201510250car,car,Rush-Yds-TDs,33-204-2,,,,,,
team,201510250car,phi,Cmp-Att-Yd-TD-INT,26-46-205-0-1,,,,,,
team,201510250car,car,Cmp-Att-Yd-TD-INT,14-24-197-1-3,,,,,,
team,201510250car,phi,Sacked-Yards,5-33,,,,,,
team,201510250car,car,Sacked-Yards,1-7,,,,,,
team,201510250car,phi,Net Pass Yards,172,,,,,,
team,201510250car,car,Net Pass Yards,190,,,,,,
team,201510250car,phi,Total Yards,349,,,,,,
team,201510250car,car,Total Yards,394,,,,,,
team,201510250car,phi,Fumbles-Lost,1-0,,,,,,
team,201510250car,car,Fumbles-Lost,0-0,,,,,,
team,201510250car,phi,Turnovers,1,,,,,,
team,201510250car,car,Turnovers,3,,,,,,
team,201510250car,phi,Penalties-Yards,7-46,,,,,,
team,201510250car,car,Penalties-Yards,5-43,,,,,,
team,201510250car,phi,Third Down Conv.,7-18,,,,,,
team,201510250car,car,Third Down Conv.,2-9,,,,,,
team,201510250car,phi,Fourth Down Conv.,1-2,,,,,,
team,201510250car,car,Fourth Down Conv.,0-0,,,,,,
team,201510250car,phi,Time of Possession,31:06,,,,,,
team,201510250car,car,Time of Possession,28:54,,,,,,
player,201510250car,phi,BradSa00,pass_cmp,26,,,,,
player,201510250car,phi,BradSa00,pass_att,46,,,,,
player,201510250car,phi,BradSa00,pass_yds,205,,,,,
player,201510250car,phi,BradSa00,pass_td,0,,,,,
player,201510250car,phi,BradSa00,pass_int,1,,,,,
player,201510250car,phi,BradSa00,pass_sacked,5,,,,,
player,201510250car,phi,BradSa00,pass_sacked_yds,33,,,,,
player,201510250car,phi,BradSa00,pass_long,24,,,,,
player,201510250car,phi,BradSa00,pass_rating,58.7,,,,,
player,201510250car,phi,BradSa00,rush_att,3,,,,,
player,201510250car,phi,BradSa00,rush_yds,6,,,,,
player,201510250car,phi,BradSa00,rush_td,0,,,,,
player,201510250car,phi,BradSa00,rush_long,2,,,,,
player,201510250car,phi,BradSa00,targets,0,,,,,
player,201510250car,phi,BradSa00,rec,0,,,,,
player,201510250car,phi,BradSa00,rec_yds,0,,,,,
player,201510250car,phi,BradSa00,rec_td,0,,,,,
player,201510250car,phi,BradSa00,rec_long,0,,,,,
player,201510250car,phi,BradSa00,fumbles,1,,,,,
player,201510250car,phi,BradSa00,fumbles_lost,0,,,,,
player,201510250car,phi,MathRy00,pass_cmp,0,,,,,
player,201510250car,phi,MathRy00,pass_att,0,,,,,
player,201510250car,phi,MathRy00,pass_yds,0,,,,,
player,201510250car,phi,MathRy00,pass_td,0,,,,,
player,201510250car,phi,MathRy00,pass_int,0,,,,,
player,201510250car,phi,MathRy00,pass_sacked,0,,,,,
player,201510250car,phi,MathRy00,pass_sacked_yds,0,,,,,
player,201510250car,phi,MathRy00,pass_long,0,,,,,
player,201510250car,phi,MathRy00,pass_rating,,,,,,
player,201510250car,phi,MathRy00,rush_att,6,,,,,
player,201510250car,phi,MathRy00,rush_yds,97,,,,,
player,201510250car,phi,MathRy00,rush_td,1,,,,,
player,201510250car,phi,MathRy00,rush_long,63,,,,,
player,201510250car,phi,MathRy00,targets,3,,,,,
player,201510250car,phi,MathRy00,rec,3,,,,,
player,201510250car,phi,MathRy00,rec_yds,24,,,,,
player,201510250car,phi,MathRy00,rec_td,0,,,,,
player,201510250car,phi,MathRy00,rec_long,20,,,,,
player,201510250car,phi,MathRy00,fumbles,0,,,,,
player,201510250car,phi,MathRy00,fumbles_lost,0,,,,,
player,201510250car,phi,MurrDe00,pass_cmp,0,,,,,
player,201510250car,phi,MurrDe00,pass_att,0,,,,,
player,201510250car,phi,MurrDe00,pass_yds,0,,,,,
player,201510250car,phi,MurrDe00,pass_td,0,,,,,
player,201510250car,phi,MurrDe00,pass_int,0,,,,,
player,201510250car,phi,MurrDe00,pass_sacked,0,,,,,
player,201510250car,phi,MurrDe00,pass_sacked_yds,0,,,,,
player,201510250car,phi,MurrDe00,pass_long,0,,,,,
player,201510250car,phi,MurrDe00,pass_rating,,,,,,
player,201510250car,phi,MurrDe00,rush_att,18,,,,,
player,201510250car,phi,MurrDe00,rush_yds,65,,,,,
player,201510250car,phi,MurrDe00,rush_td,0,,,,,
player,201510250car,phi,MurrDe00,rush_long,11,,,,,
player,201510250car,phi,MurrDe00,targets,4,,,,,
player,201510250car,phi,MurrDe00,rec,2,,,,,
player,201510250car,phi,MurrDe00,rec_yds,5,,,,,
player,201510250car,phi,MurrDe00,rec_td,0,,,,,
player,201510250car,phi,MurrDe00,rec_long,3,,,,,
player,201510250car,phi,MurrDe00,fumbles,0,,,,,
player,201510250car,phi,MurrDe00,fumbles_lost,0,,,,,
player,201510250car,phi,SproDa00,pass_cmp,0,,,,,
player,201510250car,phi,SproDa00,pass_att,0,,,,,
player,201510250car,phi,SproDa00,pass_yds,0,,,,,
player,201510250car,phi,SproDa00,pass_td,0,,,,,
player,201510250car,phi,SproDa00,pass_int,0,,,,,
player,201510250car,phi,SproDa00,pass_sacked,0,,,,,
player,201510250car,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201510250car,phi,SproDa00,pass_long,0,,,,,
player,201510250car,phi,SproDa00,pass_rating,,,,,,
player,201510250car,phi,SproDa00,rush_att,3,,,,,
player,201510250car,phi,SproDa00,rush_yds,9,,,,,
player,201510250car,phi,SproDa00,rush_td,0,,,,,
player,201510250car,phi,SproDa00,rush_long,6,,,,,
player,201510250car,phi,SproDa00,targets,10,,,,,
player,201510250car,phi,SproDa00,rec,5,,,,,
player,201510250car,phi,SproDa00,rec_yds,31,,,,,
