game,2015,13,20151206,201512060nwe,phi,"Philadelphia Eagles",35,nwe,"New England Patriots",28
player,201512060nwe,phi,MurrDe00,rec_td,0,,,,,
player,201512060nwe,phi,MurrDe00,rec_long,0,,,,,
player,201512060nwe,phi,MurrDe00,fumbles,0,,,,,
player,201512060nwe,phi,MurrDe00,fumbles_lost,0,,,,,
player,201512060nwe,phi,MattJo00,pass_cmp,0,,,,,
player,201512060nwe,phi,MattJo00,pass_att,0,,,,,
player,201512060nwe,phi,MattJo00,pass_yds,0,,,,,
player,201512060nwe,phi,MattJo00,pass_td,0,,,,,
player,201512060nwe,phi,MattJo00,pass_int,0,,,,,
player,201512060nwe,phi,MattJo00,pass_sacked,0,,,,,
player,201512060nwe,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,MattJo00,pass_long,0,,,,,
player,201512060nwe,phi,MattJo00,pass_rating,,,,,,
player,201512060nwe,phi,MattJo00,rush_att,0,,,,,
player,201512060nwe,phi,MattJo00,rush_yds,0,,,,,
player,201512060nwe,phi,MattJo00,rush_td,0,,,,,
player,201512060nwe,phi,MattJo00,rush_long,0,,,,,
player,201512060nwe,phi,MattJo00,targets,6,,,,,
player,201512060nwe,phi,MattJo00,rec,3,,,,,
player,201512060nwe,phi,MattJo00,rec_yds,36,,,,,
player,201512060nwe,phi,MattJo00,rec_td,1,,,,,
player,201512060nwe,phi,MattJo00,rec_long,20,,,,,
player,201512060nwe,phi,MattJo00,fumbles,1,,,,,
player,201512060nwe,phi,MattJo00,fumbles_lost,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_cmp,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_att,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_yds,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_td,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_int,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_sacked,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_long,0,,,,,
player,201512060nwe,phi,CeleBr00,pass_rating,,,,,,
player,201512060nwe,phi,CeleBr00,rush_att,0,,,,,
player,201512060nwe,phi,CeleBr00,rush_yds,0,,,,,
player,201512060nwe,phi,CeleBr00,rush_td,0,,,,,
player,201512060nwe,phi,CeleBr00,rush_long,0,,,,,
player,201512060nwe,phi,CeleBr00,targets,1,,,,,
player,201512060nwe,phi,CeleBr00,rec,1,,,,,
player,201512060nwe,phi,CeleBr00,rec_yds,16,,,,,
player,201512060nwe,phi,CeleBr00,rec_td,0,,,,,
player,201512060nwe,phi,CeleBr00,rec_long,16,,,,,
player,201512060nwe,phi,CeleBr00,fumbles,0,,,,,
player,201512060nwe,phi,CeleBr00,fumbles_lost,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_cmp,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_att,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_yds,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_td,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_int,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_sacked,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_long,0,,,,,
player,201512060nwe,phi,CoopRi00,pass_rating,,,,,,
player,201512060nwe,phi,CoopRi00,rush_att,0,,,,,
player,201512060nwe,phi,CoopRi00,rush_yds,0,,,,,
player,201512060nwe,phi,CoopRi00,rush_td,0,,,,,
player,201512060nwe,phi,CoopRi00,rush_long,0,,,,,
player,201512060nwe,phi,CoopRi00,targets,1,,,,,
player,201512060nwe,phi,CoopRi00,rec,1,,,,,
player,201512060nwe,phi,CoopRi00,rec_yds,14,,,,,
player,201512060nwe,phi,CoopRi00,rec_td,0,,,,,
player,201512060nwe,phi,CoopRi00,rec_long,14,,,,,
player,201512060nwe,phi,CoopRi00,fumbles,0,,,,,
player,201512060nwe,phi,CoopRi00,fumbles_lost,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_cmp,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_att,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_yds,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_td,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_int,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_sacked,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_long,0,,,,,
player,201512060nwe,phi,ErtzZa00,pass_rating,,,,,,
player,201512060nwe,phi,ErtzZa00,rush_att,0,,,,,
player,201512060nwe,phi,ErtzZa00,rush_yds,0,,,,,
player,201512060nwe,phi,ErtzZa00,rush_td,0,,,,,
player,201512060nwe,phi,ErtzZa00,rush_long,0,,,,,
player,201512060nwe,phi,ErtzZa00,targets,4,,,,,
player,201512060nwe,phi,ErtzZa00,rec,2,,,,,
player,201512060nwe,phi,ErtzZa00,rec_yds,9,,,,,
player,201512060nwe,phi,ErtzZa00,rec_td,1,,,,,
player,201512060nwe,phi,ErtzZa00,rec_long,5,,,,,
player,201512060nwe,phi,ErtzZa00,fumbles,0,,,,,
player,201512060nwe,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_cmp,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_att,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_yds,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_td,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_int,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_sacked,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_sacked_yds,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_long,0,,,,,
player,201512060nwe,phi,KrauJo00,pass_rating,,,,,,
player,201512060nwe,phi,KrauJo00,rush_att,0,,,,,
player,201512060nwe,phi,KrauJo00,rush_yds,0,,,,,
player,201512060nwe,phi,KrauJo00,rush_td,0,,,,,
player,201512060nwe,phi,KrauJo00,rush_long,0,,,,,
player,201512060nwe,phi,KrauJo00,targets,2,,,,,
player,201512060nwe,phi,KrauJo00,rec,1,,,,,
player,201512060nwe,phi,KrauJo00,rec_yds,4,,,,,
player,201512060nwe,phi,KrauJo00,rec_td,0,,,,,
