game,2015,12,20151129,201511290was,nyg,"New York Giants",14,was,"Washington Redskins",20
team,201511290was,nyg,First Downs,17,,,,,,
team,201511290was,was,First Downs,18,,,,,,
team,201511290was,nyg,Rush-Yds-TDs,13-33-0,,,,,,
team,201511290was,was,Rush-Yds-TDs,37-105-1,,,,,,
team,201511290was,nyg,Cmp-Att-Yd-TD-INT,26-51-321-2-3,,,,,,
team,201511290was,was,Cmp-Att-Yd-TD-INT,20-29-302-1-0,,,,,,
team,201511290was,nyg,Sacked-Yards,3-22,,,,,,
team,201511290was,was,Sacked-Yards,0-0,,,,,,
team,201511290was,nyg,Net Pass Yards,299,,,,,,
team,201511290was,was,Net Pass Yards,302,,,,,,
team,201511290was,nyg,Total Yards,332,,,,,,
team,201511290was,was,Total Yards,407,,,,,,
team,201511290was,nyg,Fumbles-Lost,3-0,,,,,,
team,201511290was,was,Fumbles-Lost,1-0,,,,,,
team,201511290was,nyg,Turnovers,3,,,,,,
team,201511290was,was,Turnovers,0,,,,,,
team,201511290was,nyg,Penalties-Yards,4-35,,,,,,
team,201511290was,was,Penalties-Yards,7-80,,,,,,
team,201511290was,nyg,Third Down Conv.,3-15,,,,,,
team,201511290was,was,Third Down Conv.,4-15,,,,,,
team,201511290was,nyg,Fourth Down Conv.,2-2,,,,,,
team,201511290was,was,Fourth Down Conv.,1-2,,,,,,
team,201511290was,nyg,Time of Possession,24:00,,,,,,
team,201511290was,was,Time of Possession,36:00,,,,,,
player,201511290was,nyg,MannEl00,pass_cmp,26,,,,,
player,201511290was,nyg,MannEl00,pass_att,51,,,,,
player,201511290was,nyg,MannEl00,pass_yds,321,,,,,
player,201511290was,nyg,MannEl00,pass_td,2,,,,,
player,201511290was,nyg,MannEl00,pass_int,3,,,,,
player,201511290was,nyg,MannEl00,pass_sacked,3,,,,,
player,201511290was,nyg,MannEl00,pass_sacked_yds,22,,,,,
player,201511290was,nyg,MannEl00,pass_long,40,,,,,
player,201511290was,nyg,MannEl00,pass_rating,59.4,,,,,
player,201511290was,nyg,MannEl00,rush_att,0,,,,,
player,201511290was,nyg,MannEl00,rush_yds,0,,,,,
player,201511290was,nyg,MannEl00,rush_td,0,,,,,
player,201511290was,nyg,MannEl00,rush_long,0,,,,,
player,201511290was,nyg,MannEl00,targets,0,,,,,
player,201511290was,nyg,MannEl00,rec,0,,,,,
player,201511290was,nyg,MannEl00,rec_yds,0,,,,,
player,201511290was,nyg,MannEl00,rec_td,0,,,,,
player,201511290was,nyg,MannEl00,rec_long,0,,,,,
player,201511290was,nyg,MannEl00,fumbles,2,,,,,
player,201511290was,nyg,MannEl00,fumbles_lost,0,,,,,
player,201511290was,nyg,VereSh00,pass_cmp,0,,,,,
player,201511290was,nyg,VereSh00,pass_att,0,,,,,
player,201511290was,nyg,VereSh00,pass_yds,0,,,,,
player,201511290was,nyg,VereSh00,pass_td,0,,,,,
player,201511290was,nyg,VereSh00,pass_int,0,,,,,
player,201511290was,nyg,VereSh00,pass_sacked,0,,,,,
player,201511290was,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201511290was,nyg,VereSh00,pass_long,0,,,,,
player,201511290was,nyg,VereSh00,pass_rating,,,,,,
player,201511290was,nyg,VereSh00,rush_att,2,,,,,
player,201511290was,nyg,VereSh00,rush_yds,15,,,,,
player,201511290was,nyg,VereSh00,rush_td,0,,,,,
player,201511290was,nyg,VereSh00,rush_long,8,,,,,
player,201511290was,nyg,VereSh00,targets,5,,,,,
player,201511290was,nyg,VereSh00,rec,4,,,,,
player,201511290was,nyg,VereSh00,rec_yds,21,,,,,
player,201511290was,nyg,VereSh00,rec_td,0,,,,,
player,201511290was,nyg,VereSh00,rec_long,9,,,,,
player,201511290was,nyg,VereSh00,fumbles,0,,,,,
player,201511290was,nyg,VereSh00,fumbles_lost,0,,,,,
player,201511290was,nyg,JennRa00,pass_cmp,0,,,,,
player,201511290was,nyg,JennRa00,pass_att,0,,,,,
player,201511290was,nyg,JennRa00,pass_yds,0,,,,,
player,201511290was,nyg,JennRa00,pass_td,0,,,,,
player,201511290was,nyg,JennRa00,pass_int,0,,,,,
player,201511290was,nyg,JennRa00,pass_sacked,0,,,,,
player,201511290was,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201511290was,nyg,JennRa00,pass_long,0,,,,,
player,201511290was,nyg,JennRa00,pass_rating,,,,,,
player,201511290was,nyg,JennRa00,rush_att,6,,,,,
player,201511290was,nyg,JennRa00,rush_yds,14,,,,,
player,201511290was,nyg,JennRa00,rush_td,0,,,,,
player,201511290was,nyg,JennRa00,rush_long,5,,,,,
player,201511290was,nyg,JennRa00,targets,3,,,,,
player,201511290was,nyg,JennRa00,rec,2,,,,,
player,201511290was,nyg,JennRa00,rec_yds,14,,,,,
player,201511290was,nyg,JennRa00,rec_td,0,,,,,
player,201511290was,nyg,JennRa00,rec_long,9,,,,,
player,201511290was,nyg,JennRa00,fumbles,0,,,,,
player,201511290was,nyg,JennRa00,fumbles_lost,0,,,,,
player,201511290was,nyg,DarkOr00,pass_cmp,0,,,,,
player,201511290was,nyg,DarkOr00,pass_att,0,,,,,
player,201511290was,nyg,DarkOr00,pass_yds,0,,,,,
player,201511290was,nyg,DarkOr00,pass_td,0,,,,,
player,201511290was,nyg,DarkOr00,pass_int,0,,,,,
player,201511290was,nyg,DarkOr00,pass_sacked,0,,,,,
player,201511290was,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201511290was,nyg,DarkOr00,pass_long,0,,,,,
player,201511290was,nyg,DarkOr00,pass_rating,,,,,,
player,201511290was,nyg,DarkOr00,rush_att,2,,,,,
player,201511290was,nyg,DarkOr00,rush_yds,2,,,,,
player,201511290was,nyg,DarkOr00,rush_td,0,,,,,
player,201511290was,nyg,DarkOr00,rush_long,1,,,,,
player,201511290was,nyg,DarkOr00,targets,0,,,,,
player,201511290was,nyg,DarkOr00,rec,0,,,,,
player,201511290was,nyg,DarkOr00,rec_yds,0,,,,,
player,201511290was,nyg,DarkOr00,rec_td,0,,,,,
player,201511290was,nyg,DarkOr00,rec_long,0,,,,,
player,201511290was,nyg,DarkOr00,fumbles,0,,,,,
player,201511290was,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201511290was,nyg,HarrDw00,pass_cmp,0,,,,,
player,201511290was,nyg,HarrDw00,pass_att,0,,,,,
player,201511290was,nyg,HarrDw00,pass_yds,0,,,,,
player,201511290was,nyg,HarrDw00,pass_td,0,,,,,
player,201511290was,nyg,HarrDw00,pass_int,0,,,,,
player,201511290was,nyg,HarrDw00,pass_sacked,0,,,,,
player,201511290was,nyg,HarrDw00,pass_sacked_yds,0,,,,,
player,201511290was,nyg,HarrDw00,pass_long,0,,,,,
player,201511290was,nyg,HarrDw00,pass_rating,,,,,,
player,201511290was,nyg,HarrDw00,rush_att,1,,,,,
player,201511290was,nyg,HarrDw00,rush_yds,1,,,,,
player,201511290was,nyg,HarrDw00,rush_td,0,,,,,
player,201511290was,nyg,HarrDw00,rush_long,1,,,,,
player,201511290was,nyg,HarrDw00,targets,5,,,,,
