game,2015,15,20151220,201512200nwe,oti,"Tennessee Titans",16,nwe,"New England Patriots",33
team,201512200nwe,oti,First Downs,15,,,,,,
team,201512200nwe,nwe,First Downs,17,,,,,,
team,201512200nwe,oti,Rush-Yds-TDs,21-59-0,,,,,,
team,201512200nwe,nwe,Rush-Yds-TDs,26-93-0,,,,,,
team,201512200nwe,oti,Cmp-Att-Yd-TD-INT,23-34-274-2-2,,,,,,
team,201512200nwe,nwe,Cmp-Att-Yd-TD-INT,23-35-267-2-0,,,,,,
team,201512200nwe,oti,Sacked-Yards,5-51,,,,,,
team,201512200nwe,nwe,Sacked-Yards,2-14,,,,,,
team,201512200nwe,oti,Net Pass Yards,223,,,,,,
team,201512200nwe,nwe,Net Pass Yards,253,,,,,,
team,201512200nwe,oti,Total Yards,282,,,,,,
team,201512200nwe,nwe,Total Yards,346,,,,,,
team,201512200nwe,oti,Fumbles-Lost,2-1,,,,,,
team,201512200nwe,nwe,Fumbles-Lost,1-1,,,,,,
team,201512200nwe,oti,Turnovers,3,,,,,,
team,201512200nwe,nwe,Turnovers,1,,,,,,
team,201512200nwe,oti,Penalties-Yards,3-29,,,,,,
team,201512200nwe,nwe,Penalties-Yards,5-35,,,,,,
team,201512200nwe,oti,Third Down Conv.,3-12,,,,,,
team,201512200nwe,nwe,Third Down Conv.,7-16,,,,,,
team,201512200nwe,oti,Fourth Down Conv.,0-1,,,,,,
team,201512200nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201512200nwe,oti,Time of Possession,30:23,,,,,,
team,201512200nwe,nwe,Time of Possession,29:37,,,,,,
player,201512200nwe,oti,MettZa00,pass_cmp,20,,,,,
player,201512200nwe,oti,MettZa00,pass_att,28,,,,,
player,201512200nwe,oti,MettZa00,pass_yds,242,,,,,
player,201512200nwe,oti,MettZa00,pass_td,2,,,,,
player,201512200nwe,oti,MettZa00,pass_int,2,,,,,
player,201512200nwe,oti,MettZa00,pass_sacked,2,,,,,
player,201512200nwe,oti,MettZa00,pass_sacked_yds,19,,,,,
player,201512200nwe,oti,MettZa00,pass_long,57,,,,,
player,201512200nwe,oti,MettZa00,pass_rating,91.7,,,,,
player,201512200nwe,oti,MettZa00,rush_att,2,,,,,
player,201512200nwe,oti,MettZa00,rush_yds,5,,,,,
player,201512200nwe,oti,MettZa00,rush_td,0,,,,,
player,201512200nwe,oti,MettZa00,rush_long,5,,,,,
player,201512200nwe,oti,MettZa00,targets,0,,,,,
player,201512200nwe,oti,MettZa00,rec,0,,,,,
player,201512200nwe,oti,MettZa00,rec_yds,0,,,,,
player,201512200nwe,oti,MettZa00,rec_td,0,,,,,
player,201512200nwe,oti,MettZa00,rec_long,0,,,,,
player,201512200nwe,oti,MettZa00,fumbles,1,,,,,
player,201512200nwe,oti,MettZa00,fumbles_lost,0,,,,,
player,201512200nwe,oti,MariMa01,pass_cmp,3,,,,,
player,201512200nwe,oti,MariMa01,pass_att,6,,,,,
player,201512200nwe,oti,MariMa01,pass_yds,32,,,,,
player,201512200nwe,oti,MariMa01,pass_td,0,,,,,
player,201512200nwe,oti,MariMa01,pass_int,0,,,,,
player,201512200nwe,oti,MariMa01,pass_sacked,3,,,,,
player,201512200nwe,oti,MariMa01,pass_sacked_yds,32,,,,,
player,201512200nwe,oti,MariMa01,pass_long,19,,,,,
player,201512200nwe,oti,MariMa01,pass_rating,66.0,,,,,
player,201512200nwe,oti,MariMa01,rush_att,0,,,,,
player,201512200nwe,oti,MariMa01,rush_yds,0,,,,,
player,201512200nwe,oti,MariMa01,rush_td,0,,,,,
player,201512200nwe,oti,MariMa01,rush_long,0,,,,,
player,201512200nwe,oti,MariMa01,targets,0,,,,,
player,201512200nwe,oti,MariMa01,rec,0,,,,,
player,201512200nwe,oti,MariMa01,rec_yds,0,,,,,
player,201512200nwe,oti,MariMa01,rec_td,0,,,,,
player,201512200nwe,oti,MariMa01,rec_long,0,,,,,
player,201512200nwe,oti,MariMa01,fumbles,1,,,,,
player,201512200nwe,oti,MariMa01,fumbles_lost,1,,,,,
player,201512200nwe,oti,AndrAn00,pass_cmp,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_att,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_yds,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_td,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_int,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_sacked,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_sacked_yds,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_long,0,,,,,
player,201512200nwe,oti,AndrAn00,pass_rating,,,,,,
player,201512200nwe,oti,AndrAn00,rush_att,14,,,,,
player,201512200nwe,oti,AndrAn00,rush_yds,45,,,,,
player,201512200nwe,oti,AndrAn00,rush_td,0,,,,,
