game,2015,15,20151220,201512200phi,crd,"Arizona Cardinals",40,phi,"Philadelphia Eagles",17
team,201512200phi,crd,First Downs,28,,,,,,
team,201512200phi,phi,First Downs,19,,,,,,
team,201512200phi,crd,Rush-Yds-TDs,39-230-3,,,,,,
team,201512200phi,phi,Rush-Yds-TDs,20-74-0,,,,,,
team,201512200phi,crd,Cmp-Att-Yd-TD-INT,20-33-274-1-0,,,,,,
team,201512200phi,phi,Cmp-Att-Yd-TD-INT,28-41-361-2-2,,,,,,
team,201512200phi,crd,Sacked-Yards,2-11,,,,,,
team,201512200phi,phi,Sacked-Yards,2-11,,,,,,
team,201512200phi,crd,Net Pass Yards,263,,,,,,
team,201512200phi,phi,Net Pass Yards,350,,,,,,
team,201512200phi,crd,Total Yards,493,,,,,,
team,201512200phi,phi,Total Yards,424,,,,,,
team,201512200phi,crd,Fumbles-Lost,1-0,,,,,,
team,201512200phi,phi,Fumbles-Lost,2-2,,,,,,
team,201512200phi,crd,Turnovers,0,,,,,,
team,201512200phi,phi,Turnovers,4,,,,,,
team,201512200phi,crd,Penalties-Yards,1-10,,,,,,
team,201512200phi,phi,Penalties-Yards,5-38,,,,,,
team,201512200phi,crd,Third Down Conv.,8-14,,,,,,
team,201512200phi,phi,Third Down Conv.,6-12,,,,,,
team,201512200phi,crd,Fourth Down Conv.,0-0,,,,,,
team,201512200phi,phi,Fourth Down Conv.,0-2,,,,,,
team,201512200phi,crd,Time of Possession,37:28,,,,,,
team,201512200phi,phi,Time of Possession,22:32,,,,,,
player,201512200phi,crd,PalmCa00,pass_cmp,20,,,,,
player,201512200phi,crd,PalmCa00,pass_att,32,,,,,
player,201512200phi,crd,PalmCa00,pass_yds,274,,,,,
player,201512200phi,crd,PalmCa00,pass_td,1,,,,,
player,201512200phi,crd,PalmCa00,pass_int,0,,,,,
player,201512200phi,crd,PalmCa00,pass_sacked,2,,,,,
player,201512200phi,crd,PalmCa00,pass_sacked_yds,11,,,,,
player,201512200phi,crd,PalmCa00,pass_long,36,,,,,
player,201512200phi,crd,PalmCa00,pass_rating,100.3,,,,,
player,201512200phi,crd,PalmCa00,rush_att,0,,,,,
player,201512200phi,crd,PalmCa00,rush_yds,0,,,,,
player,201512200phi,crd,PalmCa00,rush_td,0,,,,,
