game,2015,17,20160103,201601030clt,oti,"Tennessee Titans",24,clt,"Indianapolis Colts",30
player,201601030clt,oti,SankBi00,pass_cmp,0,,,,,
player,201601030clt,oti,SankBi00,pass_att,0,,,,,
player,201601030clt,oti,SankBi00,pass_yds,0,,,,,
player,201601030clt,oti,SankBi00,pass_td,0,,,,,
player,201601030clt,oti,SankBi00,pass_int,0,,,,,
player,201601030clt,oti,SankBi00,pass_sacked,0,,,,,
player,201601030clt,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201601030clt,oti,SankBi00,pass_long,0,,,,,
player,201601030clt,oti,SankBi00,pass_rating,,,,,,
player,201601030clt,oti,SankBi00,rush_att,4,,,,,
player,201601030clt,oti,SankBi00,rush_yds,16,,,,,
player,201601030clt,oti,SankBi00,rush_td,0,,,,,
player,201601030clt,oti,SankBi00,rush_long,5,,,,,
player,201601030clt,oti,SankBi00,targets,0,,,,,
player,201601030clt,oti,SankBi00,rec,0,,,,,
player,201601030clt,oti,SankBi00,rec_yds,0,,,,,
player,201601030clt,oti,SankBi00,rec_td,0,,,,,
player,201601030clt,oti,SankBi00,rec_long,0,,,,,
player,201601030clt,oti,SankBi00,fumbles,0,,,,,
player,201601030clt,oti,SankBi00,fumbles_lost,0,,,,,
player,201601030clt,oti,McBrTr00,pass_cmp,0,,,,,
player,201601030clt,oti,McBrTr00,pass_att,0,,,,,
player,201601030clt,oti,McBrTr00,pass_yds,0,,,,,
player,201601030clt,oti,McBrTr00,pass_td,0,,,,,
player,201601030clt,oti,McBrTr00,pass_int,0,,,,,
player,201601030clt,oti,McBrTr00,pass_sacked,0,,,,,
player,201601030clt,oti,McBrTr00,pass_sacked_yds,0,,,,,
player,201601030clt,oti,McBrTr00,pass_long,0,,,,,
player,201601030clt,oti,McBrTr00,pass_rating,,,,,,
player,201601030clt,oti,McBrTr00,rush_att,1,,,,,
player,201601030clt,oti,McBrTr00,rush_yds,8,,,,,
player,201601030clt,oti,McBrTr00,rush_td,0,,,,,
player,201601030clt,oti,McBrTr00,rush_long,8,,,,,
player,201601030clt,oti,McBrTr00,targets,1,,,,,
player,201601030clt,oti,McBrTr00,rec,0,,,,,
player,201601030clt,oti,McBrTr00,rec_yds,0,,,,,
player,201601030clt,oti,McBrTr00,rec_td,0,,,,,
player,201601030clt,oti,McBrTr00,rec_long,0,,,,,
player,201601030clt,oti,McBrTr00,fumbles,0,,,,,
player,201601030clt,oti,McBrTr00,fumbles_lost,0,,,,,
player,201601030clt,oti,GreeDo00,pass_cmp,0,,,,,
player,201601030clt,oti,GreeDo00,pass_att,0,,,,,
player,201601030clt,oti,GreeDo00,pass_yds,0,,,,,
