game,2015,15,20151220,201512200nyg,car,"Carolina Panthers",38,nyg,"New York Giants",35
team,201512200nyg,car,First Downs,28,,,,,,
team,201512200nyg,nyg,First Downs,21,,,,,,
team,201512200nyg,car,Rush-Yds-TDs,29-171-0,,,,,,
team,201512200nyg,nyg,Rush-Yds-TDs,27-161-1,,,,,,
team,201512200nyg,car,Cmp-Att-Yd-TD-INT,25-45-340-5-0,,,,,,
team,201512200nyg,nyg,Cmp-Att-Yd-TD-INT,29-46-245-4-1,,,,,,
team,201512200nyg,car,Sacked-Yards,3-31,,,,,,
team,201512200nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201512200nyg,car,Net Pass Yards,309,,,,,,
team,201512200nyg,nyg,Net Pass Yards,245,,,,,,
team,201512200nyg,car,Total Yards,480,,,,,,
team,201512200nyg,nyg,Total Yards,406,,,,,,
team,201512200nyg,car,Fumbles-Lost,1-1,,,,,,
team,201512200nyg,nyg,Fumbles-Lost,2-1,,,,,,
team,201512200nyg,car,Turnovers,1,,,,,,
team,201512200nyg,nyg,Turnovers,2,,,,,,
team,201512200nyg,car,Penalties-Yards,7-88,,,,,,
team,201512200nyg,nyg,Penalties-Yards,7-47,,,,,,
team,201512200nyg,car,Third Down Conv.,9-17,,,,,,
team,201512200nyg,nyg,Third Down Conv.,6-15,,,,,,
team,201512200nyg,car,Fourth Down Conv.,0-0,,,,,,
team,201512200nyg,nyg,Fourth Down Conv.,2-2,,,,,,
team,201512200nyg,car,Time of Possession,30:52,,,,,,
team,201512200nyg,nyg,Time of Possession,29:08,,,,,,
player,201512200nyg,car,NewtCa00,pass_cmp,25,,,,,
player,201512200nyg,car,NewtCa00,pass_att,45,,,,,
player,201512200nyg,car,NewtCa00,pass_yds,340,,,,,
player,201512200nyg,car,NewtCa00,pass_td,5,,,,,
player,201512200nyg,car,NewtCa00,pass_int,0,,,,,
player,201512200nyg,car,NewtCa00,pass_sacked,3,,,,,
player,201512200nyg,car,NewtCa00,pass_sacked_yds,31,,,,,
player,201512200nyg,car,NewtCa00,pass_long,37,,,,,
player,201512200nyg,car,NewtCa00,pass_rating,116.9,,,,,
player,201512200nyg,car,NewtCa00,rush_att,8,,,,,
player,201512200nyg,car,NewtCa00,rush_yds,100,,,,,
player,201512200nyg,car,NewtCa00,rush_td,0,,,,,
player,201512200nyg,car,NewtCa00,rush_long,47,,,,,
player,201512200nyg,car,NewtCa00,targets,0,,,,,
player,201512200nyg,car,NewtCa00,rec,0,,,,,
player,201512200nyg,car,NewtCa00,rec_yds,0,,,,,
player,201512200nyg,car,NewtCa00,rec_td,0,,,,,
player,201512200nyg,car,NewtCa00,rec_long,0,,,,,
player,201512200nyg,car,NewtCa00,fumbles,1,,,,,
player,201512200nyg,car,NewtCa00,fumbles_lost,1,,,,,
player,201512200nyg,car,ArtiCa00,pass_cmp,0,,,,,
player,201512200nyg,car,ArtiCa00,pass_att,0,,,,,
player,201512200nyg,car,ArtiCa00,pass_yds,0,,,,,
player,201512200nyg,car,ArtiCa00,pass_td,0,,,,,
player,201512200nyg,car,ArtiCa00,pass_int,0,,,,,
player,201512200nyg,car,ArtiCa00,pass_sacked,0,,,,,
