game,2015,7,20151025,201510250oti,atl,"Atlanta Falcons",10,oti,"Tennessee Titans",7
team,201510250oti,atl,First Downs,21,,,,,,
team,201510250oti,oti,First Downs,15,,,,,,
team,201510250oti,atl,Rush-Yds-TDs,31-127-0,,,,,,
team,201510250oti,oti,Rush-Yds-TDs,16-77-0,,,,,,
team,201510250oti,atl,Cmp-Att-Yd-TD-INT,22-38-251-1-2,,,,,,
team,201510250oti,oti,Cmp-Att-Yd-TD-INT,22-35-187-1-2,,,,,,
team,201510250oti,atl,Sacked-Yards,0-0,,,,,,
team,201510250oti,oti,Sacked-Yards,1-8,,,,,,
team,201510250oti,atl,Net Pass Yards,251,,,,,,
team,201510250oti,oti,Net Pass Yards,179,,,,,,
team,201510250oti,atl,Total Yards,378,,,,,,
team,201510250oti,oti,Total Yards,256,,,,,,
team,201510250oti,atl,Fumbles-Lost,1-0,,,,,,
team,201510250oti,oti,Fumbles-Lost,1-0,,,,,,
team,201510250oti,atl,Turnovers,2,,,,,,
team,201510250oti,oti,Turnovers,2,,,,,,
team,201510250oti,atl,Penalties-Yards,6-53,,,,,,
team,201510250oti,oti,Penalties-Yards,5-45,,,,,,
team,201510250oti,atl,Third Down Conv.,5-14,,,,,,
team,201510250oti,oti,Third Down Conv.,1-9,,,,,,
team,201510250oti,atl,Fourth Down Conv.,0-2,,,,,,
team,201510250oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201510250oti,atl,Time of Possession,34:45,,,,,,
team,201510250oti,oti,Time of Possession,25:15,,,,,,
player,201510250oti,atl,RyanMa00,pass_cmp,22,,,,,
player,201510250oti,atl,RyanMa00,pass_att,38,,,,,
player,201510250oti,atl,RyanMa00,pass_yds,251,,,,,
player,201510250oti,atl,RyanMa00,pass_td,1,,,,,
player,201510250oti,atl,RyanMa00,pass_int,2,,,,,
player,201510250oti,atl,RyanMa00,pass_sacked,0,,,,,
player,201510250oti,atl,RyanMa00,pass_sacked_yds,0,,,,,
player,201510250oti,atl,RyanMa00,pass_long,24,,,,,
player,201510250oti,atl,RyanMa00,pass_rating,64.7,,,,,
player,201510250oti,atl,RyanMa00,rush_att,2,,,,,
player,201510250oti,atl,RyanMa00,rush_yds,-3,,,,,
player,201510250oti,atl,RyanMa00,rush_td,0,,,,,
player,201510250oti,atl,RyanMa00,rush_long,-1,,,,,
player,201510250oti,atl,RyanMa00,targets,0,,,,,
player,201510250oti,atl,RyanMa00,rec,0,,,,,
player,201510250oti,atl,RyanMa00,rec_yds,0,,,,,
player,201510250oti,atl,RyanMa00,rec_td,0,,,,,
player,201510250oti,atl,RyanMa00,rec_long,0,,,,,
player,201510250oti,atl,RyanMa00,fumbles,0,,,,,
player,201510250oti,atl,RyanMa00,fumbles_lost,0,,,,,
player,201510250oti,atl,FreeDe00,pass_cmp,0,,,,,
player,201510250oti,atl,FreeDe00,pass_att,0,,,,,
player,201510250oti,atl,FreeDe00,pass_yds,0,,,,,
player,201510250oti,atl,FreeDe00,pass_td,0,,,,,
player,201510250oti,atl,FreeDe00,pass_int,0,,,,,
player,201510250oti,atl,FreeDe00,pass_sacked,0,,,,,
player,201510250oti,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201510250oti,atl,FreeDe00,pass_long,0,,,,,
player,201510250oti,atl,FreeDe00,pass_rating,,,,,,
player,201510250oti,atl,FreeDe00,rush_att,25,,,,,
player,201510250oti,atl,FreeDe00,rush_yds,116,,,,,
player,201510250oti,atl,FreeDe00,rush_td,0,,,,,
player,201510250oti,atl,FreeDe00,rush_long,19,,,,,
player,201510250oti,atl,FreeDe00,targets,3,,,,,
player,201510250oti,atl,FreeDe00,rec,2,,,,,
player,201510250oti,atl,FreeDe00,rec_yds,14,,,,,
player,201510250oti,atl,FreeDe00,rec_td,0,,,,,
player,201510250oti,atl,FreeDe00,rec_long,8,,,,,
player,201510250oti,atl,FreeDe00,fumbles,0,,,,,
player,201510250oti,atl,FreeDe00,fumbles_lost,0,,,,,
player,201510250oti,atl,ColeTe01,pass_cmp,0,,,,,
player,201510250oti,atl,ColeTe01,pass_att,0,,,,,
player,201510250oti,atl,ColeTe01,pass_yds,0,,,,,
player,201510250oti,atl,ColeTe01,pass_td,0,,,,,
player,201510250oti,atl,ColeTe01,pass_int,0,,,,,
player,201510250oti,atl,ColeTe01,pass_sacked,0,,,,,
player,201510250oti,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201510250oti,atl,ColeTe01,pass_long,0,,,,,
player,201510250oti,atl,ColeTe01,pass_rating,,,,,,
player,201510250oti,atl,ColeTe01,rush_att,3,,,,,
player,201510250oti,atl,ColeTe01,rush_yds,14,,,,,
player,201510250oti,atl,ColeTe01,rush_td,0,,,,,
player,201510250oti,atl,ColeTe01,rush_long,10,,,,,
