game,2015,12,20151130,201511300cle,rav,"Baltimore Ravens",33,cle,"Cleveland Browns",27
team,201511300cle,rav,First Downs,16,,,,,,
team,201511300cle,cle,First Downs,21,,,,,,
team,201511300cle,rav,Rush-Yds-TDs,23-104-0,,,,,,
team,201511300cle,cle,Rush-Yds-TDs,18-63-0,,,,,,
team,201511300cle,rav,Cmp-Att-Yd-TD-INT,20-34-232-2-2,,,,,,
team,201511300cle,cle,Cmp-Att-Yd-TD-INT,28-48-289-2-0,,,,,,
team,201511300cle,rav,Sacked-Yards,0-0,,,,,,
team,201511300cle,cle,Sacked-Yards,2-14,,,,,,
team,201511300cle,rav,Net Pass Yards,232,,,,,,
team,201511300cle,cle,Net Pass Yards,275,,,,,,
team,201511300cle,rav,Total Yards,336,,,,,,
team,201511300cle,cle,Total Yards,338,,,,,,
team,201511300cle,rav,Fumbles-Lost,0-0,,,,,,
team,201511300cle,cle,Fumbles-Lost,0-0,,,,,,
team,201511300cle,rav,Turnovers,2,,,,,,
team,201511300cle,cle,Turnovers,0,,,,,,
team,201511300cle,rav,Penalties-Yards,7-50,,,,,,
team,201511300cle,cle,Penalties-Yards,2-15,,,,,,
team,201511300cle,rav,Third Down Conv.,2-11,,,,,,
team,201511300cle,cle,Third Down Conv.,4-15,,,,,,
team,201511300cle,rav,Fourth Down Conv.,2-2,,,,,,
team,201511300cle,cle,Fourth Down Conv.,2-2,,,,,,
team,201511300cle,rav,Time of Possession,29:30,,,,,,
team,201511300cle,cle,Time of Possession,30:30,,,,,,
player,201511300cle,rav,SchaMa00,pass_cmp,20,,,,,
player,201511300cle,rav,SchaMa00,pass_att,34,,,,,
player,201511300cle,rav,SchaMa00,pass_yds,232,,,,,
player,201511300cle,rav,SchaMa00,pass_td,2,,,,,
player,201511300cle,rav,SchaMa00,pass_int,2,,,,,
player,201511300cle,rav,SchaMa00,pass_sacked,0,,,,,
player,201511300cle,rav,SchaMa00,pass_sacked_yds,0,,,,,
player,201511300cle,rav,SchaMa00,pass_long,48,,,,,
player,201511300cle,rav,SchaMa00,pass_rating,74.6,,,,,
player,201511300cle,rav,SchaMa00,rush_att,3,,,,,
player,201511300cle,rav,SchaMa00,rush_yds,10,,,,,
player,201511300cle,rav,SchaMa00,rush_td,0,,,,,
player,201511300cle,rav,SchaMa00,rush_long,7,,,,,
player,201511300cle,rav,SchaMa00,targets,0,,,,,
player,201511300cle,rav,SchaMa00,rec,0,,,,,
player,201511300cle,rav,SchaMa00,rec_yds,0,,,,,
player,201511300cle,rav,SchaMa00,rec_td,0,,,,,
player,201511300cle,rav,SchaMa00,rec_long,0,,,,,
player,201511300cle,rav,SchaMa00,fumbles,0,,,,,
player,201511300cle,rav,SchaMa00,fumbles_lost,0,,,,,
player,201511300cle,rav,AlleJa01,pass_cmp,0,,,,,
player,201511300cle,rav,AlleJa01,pass_att,0,,,,,
player,201511300cle,rav,AlleJa01,pass_yds,0,,,,,
player,201511300cle,rav,AlleJa01,pass_td,0,,,,,
