game,2015,2,20150920,201509200car,htx,"Houston Texans",17,car,"Carolina Panthers",24
team,201509200car,htx,First Downs,21,,,,,,
team,201509200car,car,First Downs,25,,,,,,
team,201509200car,htx,Rush-Yds-TDs,23-61-1,,,,,,
team,201509200car,car,Rush-Yds-TDs,33-172-1,,,,,,
team,201509200car,htx,Cmp-Att-Yd-TD-INT,27-58-244-1-1,,,,,,
team,201509200car,car,Cmp-Att-Yd-TD-INT,18-37-195-2-1,,,,,,
team,201509200car,htx,Sacked-Yards,1-5,,,,,,
team,201509200car,car,Sacked-Yards,2-17,,,,,,
team,201509200car,htx,Net Pass Yards,239,,,,,,
team,201509200car,car,Net Pass Yards,178,,,,,,
team,201509200car,htx,Total Yards,300,,,,,,
team,201509200car,car,Total Yards,350,,,,,,
team,201509200car,htx,Fumbles-Lost,1-0,,,,,,
team,201509200car,car,Fumbles-Lost,0-0,,,,,,
team,201509200car,htx,Turnovers,1,,,,,,
team,201509200car,car,Turnovers,1,,,,,,
team,201509200car,htx,Penalties-Yards,10-70,,,,,,
team,201509200car,car,Penalties-Yards,10-92,,,,,,
team,201509200car,htx,Third Down Conv.,5-19,,,,,,
team,201509200car,car,Third Down Conv.,4-13,,,,,,
team,201509200car,htx,Fourth Down Conv.,2-4,,,,,,
team,201509200car,car,Fourth Down Conv.,0-0,,,,,,
team,201509200car,htx,Time of Possession,27:31,,,,,,
team,201509200car,car,Time of Possession,32:29,,,,,,
player,201509200car,htx,MallRy00,pass_cmp,27,,,,,
player,201509200car,htx,MallRy00,pass_att,58,,,,,
player,201509200car,htx,MallRy00,pass_yds,244,,,,,
player,201509200car,htx,MallRy00,pass_td,1,,,,,
player,201509200car,htx,MallRy00,pass_int,1,,,,,
player,201509200car,htx,MallRy00,pass_sacked,1,,,,,
player,201509200car,htx,MallRy00,pass_sacked_yds,5,,,,,
player,201509200car,htx,MallRy00,pass_long,48,,,,,
player,201509200car,htx,MallRy00,pass_rating,57.0,,,,,
player,201509200car,htx,MallRy00,rush_att,1,,,,,
player,201509200car,htx,MallRy00,rush_yds,6,,,,,
player,201509200car,htx,MallRy00,rush_td,1,,,,,
player,201509200car,htx,MallRy00,rush_long,6,,,,,
player,201509200car,htx,MallRy00,targets,0,,,,,
player,201509200car,htx,MallRy00,rec,0,,,,,
player,201509200car,htx,MallRy00,rec_yds,0,,,,,
player,201509200car,htx,MallRy00,rec_td,0,,,,,
player,201509200car,htx,MallRy00,rec_long,0,,,,,
player,201509200car,htx,MallRy00,fumbles,0,,,,,
player,201509200car,htx,MallRy00,fumbles_lost,0,,,,,
player,201509200car,htx,PolkCh00,pass_cmp,0,,,,,
player,201509200car,htx,PolkCh00,pass_att,0,,,,,
player,201509200car,htx,PolkCh00,pass_yds,0,,,,,
player,201509200car,htx,PolkCh00,pass_td,0,,,,,
player,201509200car,htx,PolkCh00,pass_int,0,,,,,
player,201509200car,htx,PolkCh00,pass_sacked,0,,,,,
player,201509200car,htx,PolkCh00,pass_sacked_yds,0,,,,,
player,201509200car,htx,PolkCh00,pass_long,0,,,,,
player,201509200car,htx,PolkCh00,pass_rating,,,,,,
player,201509200car,htx,PolkCh00,rush_att,14,,,,,
player,201509200car,htx,PolkCh00,rush_yds,38,,,,,
player,201509200car,htx,PolkCh00,rush_td,0,,,,,
player,201509200car,htx,PolkCh00,rush_long,13,,,,,
player,201509200car,htx,PolkCh00,targets,8,,,,,
player,201509200car,htx,PolkCh00,rec,2,,,,,
player,201509200car,htx,PolkCh00,rec_yds,9,,,,,
player,201509200car,htx,PolkCh00,rec_td,0,,,,,
player,201509200car,htx,PolkCh00,rec_long,6,,,,,
player,201509200car,htx,PolkCh00,fumbles,0,,,,,
player,201509200car,htx,PolkCh00,fumbles_lost,0,,,,,
player,201509200car,htx,GrimJo01,pass_cmp,0,,,,,
player,201509200car,htx,GrimJo01,pass_att,0,,,,,
player,201509200car,htx,GrimJo01,pass_yds,0,,,,,
player,201509200car,htx,GrimJo01,pass_td,0,,,,,
player,201509200car,htx,GrimJo01,pass_int,0,,,,,
player,201509200car,htx,GrimJo01,pass_sacked,0,,,,,
player,201509200car,htx,GrimJo01,pass_sacked_yds,0,,,,,
player,201509200car,htx,GrimJo01,pass_long,0,,,,,
player,201509200car,htx,GrimJo01,pass_rating,,,,,,
player,201509200car,htx,GrimJo01,rush_att,2,,,,,
player,201509200car,htx,GrimJo01,rush_yds,7,,,,,
player,201509200car,htx,GrimJo01,rush_td,0,,,,,
player,201509200car,htx,GrimJo01,rush_long,4,,,,,
player,201509200car,htx,GrimJo01,targets,7,,,,,
player,201509200car,htx,GrimJo01,rec,6,,,,,
player,201509200car,htx,GrimJo01,rec_yds,40,,,,,
player,201509200car,htx,GrimJo01,rec_td,0,,,,,
player,201509200car,htx,GrimJo01,rec_long,14,,,,,
player,201509200car,htx,GrimJo01,fumbles,0,,,,,
player,201509200car,htx,GrimJo01,fumbles_lost,0,,,,,
player,201509200car,htx,BlueAl00,pass_cmp,0,,,,,
player,201509200car,htx,BlueAl00,pass_att,0,,,,,
player,201509200car,htx,BlueAl00,pass_yds,0,,,,,
player,201509200car,htx,BlueAl00,pass_td,0,,,,,
player,201509200car,htx,BlueAl00,pass_int,0,,,,,
player,201509200car,htx,BlueAl00,pass_sacked,0,,,,,
player,201509200car,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201509200car,htx,BlueAl00,pass_long,0,,,,,
player,201509200car,htx,BlueAl00,pass_rating,,,,,,
player,201509200car,htx,BlueAl00,rush_att,5,,,,,
player,201509200car,htx,BlueAl00,rush_yds,6,,,,,
player,201509200car,htx,BlueAl00,rush_td,0,,,,,
player,201509200car,htx,BlueAl00,rush_long,4,,,,,
player,201509200car,htx,BlueAl00,targets,1,,,,,
player,201509200car,htx,BlueAl00,rec,1,,,,,
player,201509200car,htx,BlueAl00,rec_yds,4,,,,,
player,201509200car,htx,BlueAl00,rec_td,0,,,,,
player,201509200car,htx,BlueAl00,rec_long,4,,,,,
player,201509200car,htx,BlueAl00,fumbles,0,,,,,
player,201509200car,htx,BlueAl00,fumbles_lost,0,,,,,
player,201509200car,htx,ProsJa00,pass_cmp,0,,,,,
player,201509200car,htx,ProsJa00,pass_att,0,,,,,
player,201509200car,htx,ProsJa00,pass_yds,0,,,,,
