game,2015,8,20151101,201511010kan,det,"Detroit Lions",10,kan,"Kansas City Chiefs",45
team,201511010kan,det,First Downs,16,,,,,,
team,201511010kan,kan,First Downs,24,,,,,,
team,201511010kan,det,Rush-Yds-TDs,14-81-0,,,,,,
team,201511010kan,kan,Rush-Yds-TDs,32-206-4,,,,,,
team,201511010kan,det,Cmp-Att-Yd-TD-INT,23-38-227-1-2,,,,,,
team,201511010kan,kan,Cmp-Att-Yd-TD-INT,20-28-149-2-0,,,,,,
team,201511010kan,det,Sacked-Yards,6-32,,,,,,
team,201511010kan,kan,Sacked-Yards,3-15,,,,,,
team,201511010kan,det,Net Pass Yards,195,,,,,,
team,201511010kan,kan,Net Pass Yards,134,,,,,,
team,201511010kan,det,Total Yards,276,,,,,,
team,201511010kan,kan,Total Yards,340,,,,,,
team,201511010kan,det,Fumbles-Lost,0-0,,,,,,
team,201511010kan,kan,Fumbles-Lost,0-0,,,,,,
team,201511010kan,det,Turnovers,2,,,,,,
team,201511010kan,kan,Turnovers,0,,,,,,
team,201511010kan,det,Penalties-Yards,8-81,,,,,,
team,201511010kan,kan,Penalties-Yards,3-20,,,,,,
team,201511010kan,det,Third Down Conv.,2-12,,,,,,
team,201511010kan,kan,Third Down Conv.,8-13,,,,,,
team,201511010kan,det,Fourth Down Conv.,1-2,,,,,,
team,201511010kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201511010kan,det,Time of Possession,25:46,,,,,,
team,201511010kan,kan,Time of Possession,34:14,,,,,,
player,201511010kan,det,StafMa00,pass_cmp,22,,,,,
player,201511010kan,det,StafMa00,pass_att,36,,,,,
player,201511010kan,det,StafMa00,pass_yds,217,,,,,
player,201511010kan,det,StafMa00,pass_td,1,,,,,
player,201511010kan,det,StafMa00,pass_int,2,,,,,
player,201511010kan,det,StafMa00,pass_sacked,6,,,,,
player,201511010kan,det,StafMa00,pass_sacked_yds,32,,,,,
player,201511010kan,det,StafMa00,pass_long,30,,,,,
player,201511010kan,det,StafMa00,pass_rating,64.2,,,,,
player,201511010kan,det,StafMa00,rush_att,1,,,,,
player,201511010kan,det,StafMa00,rush_yds,5,,,,,
player,201511010kan,det,StafMa00,rush_td,0,,,,,
player,201511010kan,det,StafMa00,rush_long,5,,,,,
player,201511010kan,det,StafMa00,targets,0,,,,,
player,201511010kan,det,StafMa00,rec,0,,,,,
player,201511010kan,det,StafMa00,rec_yds,0,,,,,
player,201511010kan,det,StafMa00,rec_td,0,,,,,
player,201511010kan,det,StafMa00,rec_long,0,,,,,
player,201511010kan,det,StafMa00,fumbles,0,,,,,
player,201511010kan,det,StafMa00,fumbles_lost,0,,,,,
player,201511010kan,det,OrloDa00,pass_cmp,1,,,,,
player,201511010kan,det,OrloDa00,pass_att,2,,,,,
player,201511010kan,det,OrloDa00,pass_yds,10,,,,,
player,201511010kan,det,OrloDa00,pass_td,0,,,,,
player,201511010kan,det,OrloDa00,pass_int,0,,,,,
player,201511010kan,det,OrloDa00,pass_sacked,0,,,,,
player,201511010kan,det,OrloDa00,pass_sacked_yds,0,,,,,
player,201511010kan,det,OrloDa00,pass_long,10,,,,,
player,201511010kan,det,OrloDa00,pass_rating,64.6,,,,,
player,201511010kan,det,OrloDa00,rush_att,0,,,,,
player,201511010kan,det,OrloDa00,rush_yds,0,,,,,
player,201511010kan,det,OrloDa00,rush_td,0,,,,,
player,201511010kan,det,OrloDa00,rush_long,0,,,,,
player,201511010kan,det,OrloDa00,targets,0,,,,,
player,201511010kan,det,OrloDa00,rec,0,,,,,
player,201511010kan,det,OrloDa00,rec_yds,0,,,,,
player,201511010kan,det,OrloDa00,rec_td,0,,,,,
player,201511010kan,det,OrloDa00,rec_long,0,,,,,
player,201511010kan,det,OrloDa00,fumbles,0,,,,,
player,201511010kan,det,OrloDa00,fumbles_lost,0,,,,,
player,201511010kan,det,BellJo01,pass_cmp,0,,,,,
player,201511010kan,det,BellJo01,pass_att,0,,,,,
player,201511010kan,det,BellJo01,pass_yds,0,,,,,
player,201511010kan,det,BellJo01,pass_td,0,,,,,
player,201511010kan,det,BellJo01,pass_int,0,,,,,
player,201511010kan,det,BellJo01,pass_sacked,0,,,,,
player,201511010kan,det,BellJo01,pass_sacked_yds,0,,,,,
player,201511010kan,det,BellJo01,pass_long,0,,,,,
player,201511010kan,det,BellJo01,pass_rating,,,,,,
player,201511010kan,det,BellJo01,rush_att,7,,,,,
player,201511010kan,det,BellJo01,rush_yds,56,,,,,
player,201511010kan,det,BellJo01,rush_td,0,,,,,
player,201511010kan,det,BellJo01,rush_long,32,,,,,
