game,2015,9,20151109,201511090sdg,chi,"Chicago Bears",22,sdg,"San Diego Chargers",19
player,201511090sdg,chi,BennMa00,rec_long,17,,,,,
player,201511090sdg,chi,BennMa00,fumbles,0,,,,,
player,201511090sdg,chi,BennMa00,fumbles_lost,0,,,,,
player,201511090sdg,chi,MillZa02,pass_cmp,0,,,,,
player,201511090sdg,chi,MillZa02,pass_att,0,,,,,
player,201511090sdg,chi,MillZa02,pass_yds,0,,,,,
player,201511090sdg,chi,MillZa02,pass_td,0,,,,,
player,201511090sdg,chi,MillZa02,pass_int,0,,,,,
player,201511090sdg,chi,MillZa02,pass_sacked,0,,,,,
player,201511090sdg,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,MillZa02,pass_long,0,,,,,
player,201511090sdg,chi,MillZa02,pass_rating,,,,,,
player,201511090sdg,chi,MillZa02,rush_att,0,,,,,
player,201511090sdg,chi,MillZa02,rush_yds,0,,,,,
player,201511090sdg,chi,MillZa02,rush_td,0,,,,,
player,201511090sdg,chi,MillZa02,rush_long,0,,,,,
player,201511090sdg,chi,MillZa02,targets,2,,,,,
player,201511090sdg,chi,MillZa02,rec,2,,,,,
player,201511090sdg,chi,MillZa02,rec_yds,23,,,,,
player,201511090sdg,chi,MillZa02,rec_td,1,,,,,
player,201511090sdg,chi,MillZa02,rec_long,25,,,,,
player,201511090sdg,chi,MillZa02,fumbles,0,,,,,
player,201511090sdg,chi,MillZa02,fumbles_lost,0,,,,,
player,201511090sdg,chi,MariMa00,pass_cmp,0,,,,,
player,201511090sdg,chi,MariMa00,pass_att,0,,,,,
player,201511090sdg,chi,MariMa00,pass_yds,0,,,,,
player,201511090sdg,chi,MariMa00,pass_td,0,,,,,
player,201511090sdg,chi,MariMa00,pass_int,0,,,,,
player,201511090sdg,chi,MariMa00,pass_sacked,0,,,,,
player,201511090sdg,chi,MariMa00,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,MariMa00,pass_long,0,,,,,
player,201511090sdg,chi,MariMa00,pass_rating,,,,,,
player,201511090sdg,chi,MariMa00,rush_att,0,,,,,
player,201511090sdg,chi,MariMa00,rush_yds,0,,,,,
player,201511090sdg,chi,MariMa00,rush_td,0,,,,,
player,201511090sdg,chi,MariMa00,rush_long,0,,,,,
player,201511090sdg,chi,MariMa00,targets,3,,,,,
player,201511090sdg,chi,MariMa00,rec,2,,,,,
player,201511090sdg,chi,MariMa00,rec_yds,23,,,,,
player,201511090sdg,chi,MariMa00,rec_td,0,,,,,
player,201511090sdg,chi,MariMa00,rec_long,13,,,,,
player,201511090sdg,chi,MariMa00,fumbles,0,,,,,
player,201511090sdg,chi,MariMa00,fumbles_lost,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_cmp,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_att,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_yds,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_td,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_int,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_sacked,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_long,0,,,,,
player,201511090sdg,chi,WilsMa02,pass_rating,,,,,,
player,201511090sdg,chi,WilsMa02,rush_att,0,,,,,
player,201511090sdg,chi,WilsMa02,rush_yds,0,,,,,
player,201511090sdg,chi,WilsMa02,rush_td,0,,,,,
player,201511090sdg,chi,WilsMa02,rush_long,0,,,,,
player,201511090sdg,chi,WilsMa02,targets,3,,,,,
player,201511090sdg,chi,WilsMa02,rec,1,,,,,
player,201511090sdg,chi,WilsMa02,rec_yds,15,,,,,
player,201511090sdg,chi,WilsMa02,rec_td,0,,,,,
player,201511090sdg,chi,WilsMa02,rec_long,15,,,,,
player,201511090sdg,chi,WilsMa02,fumbles,0,,,,,
player,201511090sdg,chi,WilsMa02,fumbles_lost,0,,,,,
player,201511090sdg,chi,BellJo02,pass_cmp,0,,,,,
player,201511090sdg,chi,BellJo02,pass_att,0,,,,,
player,201511090sdg,chi,BellJo02,pass_yds,0,,,,,
player,201511090sdg,chi,BellJo02,pass_td,0,,,,,
player,201511090sdg,chi,BellJo02,pass_int,0,,,,,
player,201511090sdg,chi,BellJo02,pass_sacked,0,,,,,
player,201511090sdg,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,BellJo02,pass_long,0,,,,,
player,201511090sdg,chi,BellJo02,pass_rating,,,,,,
player,201511090sdg,chi,BellJo02,rush_att,0,,,,,
player,201511090sdg,chi,BellJo02,rush_yds,0,,,,,
player,201511090sdg,chi,BellJo02,rush_td,0,,,,,
player,201511090sdg,chi,BellJo02,rush_long,0,,,,,
player,201511090sdg,chi,BellJo02,targets,1,,,,,
player,201511090sdg,chi,BellJo02,rec,1,,,,,
player,201511090sdg,chi,BellJo02,rec_yds,6,,,,,
player,201511090sdg,chi,BellJo02,rec_td,0,,,,,
player,201511090sdg,chi,BellJo02,rec_long,6,,,,,
player,201511090sdg,chi,BellJo02,fumbles,0,,,,,
player,201511090sdg,chi,BellJo02,fumbles_lost,0,,,,,
player,201511090sdg,sdg,RivePh00,pass_cmp,26,,,,,
player,201511090sdg,sdg,RivePh00,pass_att,42,,,,,
player,201511090sdg,sdg,RivePh00,pass_yds,280,,,,,
player,201511090sdg,sdg,RivePh00,pass_td,1,,,,,
player,201511090sdg,sdg,RivePh00,pass_int,0,,,,,
player,201511090sdg,sdg,RivePh00,pass_sacked,2,,,,,
player,201511090sdg,sdg,RivePh00,pass_sacked_yds,18,,,,,
player,201511090sdg,sdg,RivePh00,pass_long,40,,,,,
player,201511090sdg,sdg,RivePh00,pass_rating,89.4,,,,,
player,201511090sdg,sdg,RivePh00,rush_att,0,,,,,
player,201511090sdg,sdg,RivePh00,rush_yds,0,,,,,
player,201511090sdg,sdg,RivePh00,rush_td,0,,,,,
player,201511090sdg,sdg,RivePh00,rush_long,0,,,,,
player,201511090sdg,sdg,RivePh00,targets,0,,,,,
player,201511090sdg,sdg,RivePh00,rec,0,,,,,
player,201511090sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201511090sdg,sdg,RivePh00,rec_td,0,,,,,
player,201511090sdg,sdg,RivePh00,rec_long,0,,,,,
player,201511090sdg,sdg,RivePh00,fumbles,0,,,,,
player,201511090sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_cmp,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_att,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_yds,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_td,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_int,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_sacked,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_long,0,,,,,
player,201511090sdg,sdg,WoodDa02,pass_rating,,,,,,
player,201511090sdg,sdg,WoodDa02,rush_att,6,,,,,
player,201511090sdg,sdg,WoodDa02,rush_yds,33,,,,,
player,201511090sdg,sdg,WoodDa02,rush_td,0,,,,,
player,201511090sdg,sdg,WoodDa02,rush_long,15,,,,,
player,201511090sdg,sdg,WoodDa02,targets,10,,,,,
player,201511090sdg,sdg,WoodDa02,rec,6,,,,,
player,201511090sdg,sdg,WoodDa02,rec_yds,78,,,,,
player,201511090sdg,sdg,WoodDa02,rec_td,1,,,,,
player,201511090sdg,sdg,WoodDa02,rec_long,16,,,,,
player,201511090sdg,sdg,WoodDa02,fumbles,0,,,,,
player,201511090sdg,sdg,WoodDa02,fumbles_lost,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_cmp,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_att,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_yds,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_td,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_int,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_sacked,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_long,0,,,,,
player,201511090sdg,sdg,GordMe00,pass_rating,,,,,,
player,201511090sdg,sdg,GordMe00,rush_att,11,,,,,
player,201511090sdg,sdg,GordMe00,rush_yds,31,,,,,
player,201511090sdg,sdg,GordMe00,rush_td,0,,,,,
player,201511090sdg,sdg,GordMe00,rush_long,5,,,,,
player,201511090sdg,sdg,GordMe00,targets,3,,,,,
player,201511090sdg,sdg,GordMe00,rec,3,,,,,
player,201511090sdg,sdg,GordMe00,rec_yds,25,,,,,
player,201511090sdg,sdg,GordMe00,rec_td,0,,,,,
player,201511090sdg,sdg,GordMe00,rec_long,15,,,,,
player,201511090sdg,sdg,GordMe00,fumbles,0,,,,,
player,201511090sdg,sdg,GordMe00,fumbles_lost,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_cmp,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_att,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_yds,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_td,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_int,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_sacked,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_long,0,,,,,
player,201511090sdg,sdg,BrowDo00,pass_rating,,,,,,
player,201511090sdg,sdg,BrowDo00,rush_att,2,,,,,
player,201511090sdg,sdg,BrowDo00,rush_yds,13,,,,,
player,201511090sdg,sdg,BrowDo00,rush_td,0,,,,,
player,201511090sdg,sdg,BrowDo00,rush_long,10,,,,,
player,201511090sdg,sdg,BrowDo00,targets,0,,,,,
player,201511090sdg,sdg,BrowDo00,rec,0,,,,,
player,201511090sdg,sdg,BrowDo00,rec_yds,0,,,,,
player,201511090sdg,sdg,BrowDo00,rec_td,0,,,,,
player,201511090sdg,sdg,BrowDo00,rec_long,0,,,,,
player,201511090sdg,sdg,BrowDo00,fumbles,0,,,,,
player,201511090sdg,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_att,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_td,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_int,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_long,0,,,,,
player,201511090sdg,sdg,GateAn00,pass_rating,,,,,,
player,201511090sdg,sdg,GateAn00,rush_att,0,,,,,
player,201511090sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201511090sdg,sdg,GateAn00,rush_td,0,,,,,
player,201511090sdg,sdg,GateAn00,rush_long,0,,,,,
player,201511090sdg,sdg,GateAn00,targets,11,,,,,
player,201511090sdg,sdg,GateAn00,rec,6,,,,,
player,201511090sdg,sdg,GateAn00,rec_yds,69,,,,,
player,201511090sdg,sdg,GateAn00,rec_td,0,,,,,
player,201511090sdg,sdg,GateAn00,rec_long,40,,,,,
player,201511090sdg,sdg,GateAn00,fumbles,0,,,,,
player,201511090sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_cmp,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_att,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_yds,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_td,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_int,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_sacked,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_long,0,,,,,
player,201511090sdg,sdg,JohnSt00,pass_rating,,,,,,
player,201511090sdg,sdg,JohnSt00,rush_att,0,,,,,
player,201511090sdg,sdg,JohnSt00,rush_yds,0,,,,,
player,201511090sdg,sdg,JohnSt00,rush_td,0,,,,,
player,201511090sdg,sdg,JohnSt00,rush_long,0,,,,,
player,201511090sdg,sdg,JohnSt00,targets,10,,,,,
player,201511090sdg,sdg,JohnSt00,rec,7,,,,,
player,201511090sdg,sdg,JohnSt00,rec_yds,68,,,,,
player,201511090sdg,sdg,JohnSt00,rec_td,0,,,,,
player,201511090sdg,sdg,JohnSt00,rec_long,16,,,,,
player,201511090sdg,sdg,JohnSt00,fumbles,0,,,,,
player,201511090sdg,sdg,JohnSt00,fumbles_lost,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_cmp,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_att,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_yds,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_td,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_int,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_sacked,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_long,0,,,,,
player,201511090sdg,sdg,InmaDo00,pass_rating,,,,,,
player,201511090sdg,sdg,InmaDo00,rush_att,0,,,,,
player,201511090sdg,sdg,InmaDo00,rush_yds,0,,,,,
player,201511090sdg,sdg,InmaDo00,rush_td,0,,,,,
player,201511090sdg,sdg,InmaDo00,rush_long,0,,,,,
player,201511090sdg,sdg,InmaDo00,targets,5,,,,,
player,201511090sdg,sdg,InmaDo00,rec,3,,,,,
player,201511090sdg,sdg,InmaDo00,rec_yds,28,,,,,
player,201511090sdg,sdg,InmaDo00,rec_td,0,,,,,
player,201511090sdg,sdg,InmaDo00,rec_long,14,,,,,
player,201511090sdg,sdg,InmaDo00,fumbles,1,,,,,
player,201511090sdg,sdg,InmaDo00,fumbles_lost,1,,,,,
player,201511090sdg,sdg,HernJa00,pass_cmp,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_att,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_yds,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_td,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_int,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_sacked,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_long,0,,,,,
player,201511090sdg,sdg,HernJa00,pass_rating,,,,,,
player,201511090sdg,sdg,HernJa00,rush_att,0,,,,,
player,201511090sdg,sdg,HernJa00,rush_yds,0,,,,,
player,201511090sdg,sdg,HernJa00,rush_td,0,,,,,
player,201511090sdg,sdg,HernJa00,rush_long,0,,,,,
player,201511090sdg,sdg,HernJa00,targets,2,,,,,
player,201511090sdg,sdg,HernJa00,rec,1,,,,,
player,201511090sdg,sdg,HernJa00,rec_yds,12,,,,,
player,201511090sdg,sdg,HernJa00,rec_td,0,,,,,
player,201511090sdg,sdg,HernJa00,rec_long,12,,,,,
player,201511090sdg,sdg,HernJa00,fumbles,0,,,,,
player,201511090sdg,sdg,HernJa00,fumbles_lost,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201511090sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201511090sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201511090sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201511090sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201511090sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201511090sdg,sdg,FloyMa00,targets,1,,,,,
player,201511090sdg,sdg,FloyMa00,rec,0,,,,,
player,201511090sdg,sdg,FloyMa00,rec_yds,0,,,,,
player,201511090sdg,sdg,FloyMa00,rec_td,0,,,,,
player,201511090sdg,sdg,FloyMa00,rec_long,0,,,,,
player,201511090sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201511090sdg,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201511090sdg,chi,HousLa99,def_int,0,,,,,
player,201511090sdg,chi,HousLa99,def_int_yds,0,,,,,
player,201511090sdg,chi,HousLa99,def_int_td,0,,,,,
player,201511090sdg,chi,HousLa99,def_int_long,0,,,,,
player,201511090sdg,chi,HousLa99,pass_defended,0,,,,,
player,201511090sdg,chi,HousLa99,sacks,2.0,,,,,
player,201511090sdg,chi,HousLa99,tackles_combined,2,,,,,
player,201511090sdg,chi,HousLa99,tackles_solo,2,,,,,
player,201511090sdg,chi,HousLa99,tackles_assists,0,,,,,
player,201511090sdg,chi,HousLa99,tackles_loss,2,,,,,
player,201511090sdg,chi,HousLa99,qb_hits,4,,,,,
player,201511090sdg,chi,HousLa99,fumbles_rec,0,,,,,
player,201511090sdg,chi,HousLa99,fumbles_rec_yds,0,,,,,
player,201511090sdg,chi,HousLa99,fumbles_rec_td,0,,,,,
player,201511090sdg,chi,HousLa99,fumbles_forced,0,,,,,
player,201511090sdg,chi,AndeJo01,def_int,0,,,,,
player,201511090sdg,chi,AndeJo01,def_int_yds,0,,,,,
player,201511090sdg,chi,AndeJo01,def_int_td,0,,,,,
player,201511090sdg,chi,AndeJo01,def_int_long,0,,,,,
player,201511090sdg,chi,AndeJo01,pass_defended,0,,,,,
player,201511090sdg,chi,AndeJo01,sacks,0.0,,,,,
player,201511090sdg,chi,AndeJo01,tackles_combined,12,,,,,
player,201511090sdg,chi,AndeJo01,tackles_solo,11,,,,,
player,201511090sdg,chi,AndeJo01,tackles_assists,1,,,,,
player,201511090sdg,chi,AndeJo01,tackles_loss,0,,,,,
player,201511090sdg,chi,AndeJo01,qb_hits,0,,,,,
player,201511090sdg,chi,AndeJo01,fumbles_rec,0,,,,,
player,201511090sdg,chi,AndeJo01,fumbles_rec_yds,0,,,,,
player,201511090sdg,chi,AndeJo01,fumbles_rec_td,0,,,,,
player,201511090sdg,chi,AndeJo01,fumbles_forced,0,,,,,
player,201511090sdg,chi,JoneCh05,def_int,0,,,,,
player,201511090sdg,chi,JoneCh05,def_int_yds,0,,,,,
player,201511090sdg,chi,JoneCh05,def_int_td,0,,,,,
player,201511090sdg,chi,JoneCh05,def_int_long,0,,,,,
player,201511090sdg,chi,JoneCh05,pass_defended,1,,,,,
