game,2015,9,20151109,201511090sdg,chi,"Chicago Bears",22,sdg,"San Diego Chargers",19
team,201511090sdg,chi,First Downs,25,,,,,,
team,201511090sdg,sdg,First Downs,19,,,,,,
team,201511090sdg,chi,Rush-Yds-TDs,29-109-1,,,,,,
team,201511090sdg,sdg,Rush-Yds-TDs,19-77-0,,,,,,
team,201511090sdg,chi,Cmp-Att-Yd-TD-INT,27-40-345-2-1,,,,,,
team,201511090sdg,sdg,Cmp-Att-Yd-TD-INT,26-42-280-1-0,,,,,,
team,201511090sdg,chi,Sacked-Yards,1-8,,,,,,
team,201511090sdg,sdg,Sacked-Yards,2-18,,,,,,
team,201511090sdg,chi,Net Pass Yards,337,,,,,,
team,201511090sdg,sdg,Net Pass Yards,262,,,,,,
team,201511090sdg,chi,Total Yards,446,,,,,,
team,201511090sdg,sdg,Total Yards,339,,,,,,
team,201511090sdg,chi,Fumbles-Lost,1-1,,,,,,
team,201511090sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201511090sdg,chi,Turnovers,2,,,,,,
team,201511090sdg,sdg,Turnovers,1,,,,,,
team,201511090sdg,chi,Penalties-Yards,6-55,,,,,,
team,201511090sdg,sdg,Penalties-Yards,8-54,,,,,,
team,201511090sdg,chi,Third Down Conv.,9-15,,,,,,
team,201511090sdg,sdg,Third Down Conv.,7-13,,,,,,
team,201511090sdg,chi,Fourth Down Conv.,0-0,,,,,,
team,201511090sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201511090sdg,chi,Time of Possession,33:35,,,,,,
team,201511090sdg,sdg,Time of Possession,26:25,,,,,,
player,201511090sdg,chi,CutlJa00,pass_cmp,27,,,,,
player,201511090sdg,chi,CutlJa00,pass_att,40,,,,,
player,201511090sdg,chi,CutlJa00,pass_yds,345,,,,,
player,201511090sdg,chi,CutlJa00,pass_td,2,,,,,
player,201511090sdg,chi,CutlJa00,pass_int,1,,,,,
player,201511090sdg,chi,CutlJa00,pass_sacked,1,,,,,
player,201511090sdg,chi,CutlJa00,pass_sacked_yds,8,,,,,
player,201511090sdg,chi,CutlJa00,pass_long,47,,,,,
player,201511090sdg,chi,CutlJa00,pass_rating,100.5,,,,,
player,201511090sdg,chi,CutlJa00,rush_att,3,,,,,
player,201511090sdg,chi,CutlJa00,rush_yds,-2,,,,,
player,201511090sdg,chi,CutlJa00,rush_td,0,,,,,
player,201511090sdg,chi,CutlJa00,rush_long,0,,,,,
player,201511090sdg,chi,CutlJa00,targets,0,,,,,
player,201511090sdg,chi,CutlJa00,rec,0,,,,,
player,201511090sdg,chi,CutlJa00,rec_yds,0,,,,,
player,201511090sdg,chi,CutlJa00,rec_td,0,,,,,
player,201511090sdg,chi,CutlJa00,rec_long,0,,,,,
player,201511090sdg,chi,CutlJa00,fumbles,1,,,,,
player,201511090sdg,chi,CutlJa00,fumbles_lost,1,,,,,
player,201511090sdg,chi,LangJe00,pass_cmp,0,,,,,
player,201511090sdg,chi,LangJe00,pass_att,0,,,,,
player,201511090sdg,chi,LangJe00,pass_yds,0,,,,,
player,201511090sdg,chi,LangJe00,pass_td,0,,,,,
player,201511090sdg,chi,LangJe00,pass_int,0,,,,,
player,201511090sdg,chi,LangJe00,pass_sacked,0,,,,,
player,201511090sdg,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,LangJe00,pass_long,0,,,,,
player,201511090sdg,chi,LangJe00,pass_rating,,,,,,
player,201511090sdg,chi,LangJe00,rush_att,18,,,,,
player,201511090sdg,chi,LangJe00,rush_yds,72,,,,,
player,201511090sdg,chi,LangJe00,rush_td,1,,,,,
player,201511090sdg,chi,LangJe00,rush_long,16,,,,,
player,201511090sdg,chi,LangJe00,targets,4,,,,,
player,201511090sdg,chi,LangJe00,rec,3,,,,,
player,201511090sdg,chi,LangJe00,rec_yds,70,,,,,
player,201511090sdg,chi,LangJe00,rec_td,0,,,,,
player,201511090sdg,chi,LangJe00,rec_long,31,,,,,
player,201511090sdg,chi,LangJe00,fumbles,0,,,,,
player,201511090sdg,chi,LangJe00,fumbles_lost,0,,,,,
player,201511090sdg,chi,CareKa00,pass_cmp,0,,,,,
player,201511090sdg,chi,CareKa00,pass_att,0,,,,,
player,201511090sdg,chi,CareKa00,pass_yds,0,,,,,
player,201511090sdg,chi,CareKa00,pass_td,0,,,,,
player,201511090sdg,chi,CareKa00,pass_int,0,,,,,
player,201511090sdg,chi,CareKa00,pass_sacked,0,,,,,
player,201511090sdg,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,CareKa00,pass_long,0,,,,,
player,201511090sdg,chi,CareKa00,pass_rating,,,,,,
player,201511090sdg,chi,CareKa00,rush_att,7,,,,,
player,201511090sdg,chi,CareKa00,rush_yds,28,,,,,
player,201511090sdg,chi,CareKa00,rush_td,0,,,,,
player,201511090sdg,chi,CareKa00,rush_long,8,,,,,
player,201511090sdg,chi,CareKa00,targets,0,,,,,
player,201511090sdg,chi,CareKa00,rec,0,,,,,
player,201511090sdg,chi,CareKa00,rec_yds,0,,,,,
player,201511090sdg,chi,CareKa00,rec_td,0,,,,,
player,201511090sdg,chi,CareKa00,rec_long,0,,,,,
player,201511090sdg,chi,CareKa00,fumbles,0,,,,,
player,201511090sdg,chi,CareKa00,fumbles_lost,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_cmp,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_att,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_yds,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_td,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_int,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_sacked,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_long,0,,,,,
player,201511090sdg,chi,SmitAn01,pass_rating,,,,,,
player,201511090sdg,chi,SmitAn01,rush_att,1,,,,,
player,201511090sdg,chi,SmitAn01,rush_yds,11,,,,,
player,201511090sdg,chi,SmitAn01,rush_td,0,,,,,
player,201511090sdg,chi,SmitAn01,rush_long,11,,,,,
player,201511090sdg,chi,SmitAn01,targets,0,,,,,
player,201511090sdg,chi,SmitAn01,rec,0,,,,,
player,201511090sdg,chi,SmitAn01,rec_yds,0,,,,,
player,201511090sdg,chi,SmitAn01,rec_td,0,,,,,
player,201511090sdg,chi,SmitAn01,rec_long,0,,,,,
player,201511090sdg,chi,SmitAn01,fumbles,0,,,,,
player,201511090sdg,chi,SmitAn01,fumbles_lost,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_cmp,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_att,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_yds,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_td,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_int,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_sacked,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_long,0,,,,,
player,201511090sdg,chi,JeffAl00,pass_rating,,,,,,
player,201511090sdg,chi,JeffAl00,rush_att,0,,,,,
player,201511090sdg,chi,JeffAl00,rush_yds,0,,,,,
player,201511090sdg,chi,JeffAl00,rush_td,0,,,,,
player,201511090sdg,chi,JeffAl00,rush_long,0,,,,,
player,201511090sdg,chi,JeffAl00,targets,16,,,,,
player,201511090sdg,chi,JeffAl00,rec,10,,,,,
player,201511090sdg,chi,JeffAl00,rec_yds,151,,,,,
player,201511090sdg,chi,JeffAl00,rec_td,0,,,,,
player,201511090sdg,chi,JeffAl00,rec_long,47,,,,,
player,201511090sdg,chi,JeffAl00,fumbles,0,,,,,
player,201511090sdg,chi,JeffAl00,fumbles_lost,0,,,,,
player,201511090sdg,chi,BennMa00,pass_cmp,0,,,,,
player,201511090sdg,chi,BennMa00,pass_att,0,,,,,
player,201511090sdg,chi,BennMa00,pass_yds,0,,,,,
player,201511090sdg,chi,BennMa00,pass_td,0,,,,,
player,201511090sdg,chi,BennMa00,pass_int,0,,,,,
player,201511090sdg,chi,BennMa00,pass_sacked,0,,,,,
player,201511090sdg,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201511090sdg,chi,BennMa00,pass_long,0,,,,,
player,201511090sdg,chi,BennMa00,pass_rating,,,,,,
player,201511090sdg,chi,BennMa00,rush_att,0,,,,,
player,201511090sdg,chi,BennMa00,rush_yds,0,,,,,
player,201511090sdg,chi,BennMa00,rush_td,0,,,,,
player,201511090sdg,chi,BennMa00,rush_long,0,,,,,
player,201511090sdg,chi,BennMa00,targets,9,,,,,
player,201511090sdg,chi,BennMa00,rec,8,,,,,
player,201511090sdg,chi,BennMa00,rec_yds,57,,,,,
player,201511090sdg,chi,BennMa00,rec_td,1,,,,,
