game,2015,4,20151004,201510040chi,rai,"Oakland Raiders",20,chi,"Chicago Bears",22
team,201510040chi,rai,First Downs,16,,,,,,
team,201510040chi,chi,First Downs,23,,,,,,
team,201510040chi,rai,Rush-Yds-TDs,22-70-0,,,,,,
team,201510040chi,chi,Rush-Yds-TDs,29-98-0,,,,,,
team,201510040chi,rai,Cmp-Att-Yd-TD-INT,20-33-196-2-1,,,,,,
team,201510040chi,chi,Cmp-Att-Yd-TD-INT,28-43-281-2-1,,,,,,
team,201510040chi,rai,Sacked-Yards,2-23,,,,,,
team,201510040chi,chi,Sacked-Yards,3-8,,,,,,
team,201510040chi,rai,Net Pass Yards,173,,,,,,
team,201510040chi,chi,Net Pass Yards,273,,,,,,
team,201510040chi,rai,Total Yards,243,,,,,,
team,201510040chi,chi,Total Yards,371,,,,,,
team,201510040chi,rai,Fumbles-Lost,1-1,,,,,,
team,201510040chi,chi,Fumbles-Lost,3-2,,,,,,
team,201510040chi,rai,Turnovers,2,,,,,,
team,201510040chi,chi,Turnovers,3,,,,,,
team,201510040chi,rai,Penalties-Yards,5-47,,,,,,
team,201510040chi,chi,Penalties-Yards,7-48,,,,,,
team,201510040chi,rai,Third Down Conv.,6-13,,,,,,
team,201510040chi,chi,Third Down Conv.,10-17,,,,,,
team,201510040chi,rai,Fourth Down Conv.,0-0,,,,,,
team,201510040chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201510040chi,rai,Time of Possession,26:38,,,,,,
team,201510040chi,chi,Time of Possession,33:22,,,,,,
player,201510040chi,rai,CarrDe02,pass_cmp,20,,,,,
player,201510040chi,rai,CarrDe02,pass_att,33,,,,,
player,201510040chi,rai,CarrDe02,pass_yds,196,,,,,
player,201510040chi,rai,CarrDe02,pass_td,2,,,,,
player,201510040chi,rai,CarrDe02,pass_int,1,,,,,
player,201510040chi,rai,CarrDe02,pass_sacked,2,,,,,
player,201510040chi,rai,CarrDe02,pass_sacked_yds,23,,,,,
player,201510040chi,rai,CarrDe02,pass_long,26,,,,,
player,201510040chi,rai,CarrDe02,pass_rating,84.9,,,,,
player,201510040chi,rai,CarrDe02,rush_att,1,,,,,
player,201510040chi,rai,CarrDe02,rush_yds,0,,,,,
player,201510040chi,rai,CarrDe02,rush_td,0,,,,,
player,201510040chi,rai,CarrDe02,rush_long,0,,,,,
player,201510040chi,rai,CarrDe02,targets,0,,,,,
player,201510040chi,rai,CarrDe02,rec,0,,,,,
player,201510040chi,rai,CarrDe02,rec_yds,0,,,,,
player,201510040chi,rai,CarrDe02,rec_td,0,,,,,
player,201510040chi,rai,CarrDe02,rec_long,0,,,,,
player,201510040chi,rai,CarrDe02,fumbles,1,,,,,
player,201510040chi,rai,CarrDe02,fumbles_lost,1,,,,,
player,201510040chi,rai,MurrLa00,pass_cmp,0,,,,,
player,201510040chi,rai,MurrLa00,pass_att,0,,,,,
player,201510040chi,rai,MurrLa00,pass_yds,0,,,,,
player,201510040chi,rai,MurrLa00,pass_td,0,,,,,
player,201510040chi,rai,MurrLa00,pass_int,0,,,,,
player,201510040chi,rai,MurrLa00,pass_sacked,,,,,,
player,201510040chi,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201510040chi,rai,MurrLa00,pass_long,0,,,,,
player,201510040chi,rai,MurrLa00,pass_rating,,,,,,
player,201510040chi,rai,MurrLa00,rush_att,15,,,,,
player,201510040chi,rai,MurrLa00,rush_yds,49,,,,,
player,201510040chi,rai,MurrLa00,rush_td,0,,,,,
player,201510040chi,rai,MurrLa00,rush_long,8,,,,,
player,201510040chi,rai,MurrLa00,targets,5,,,,,
player,201510040chi,rai,MurrLa00,rec,3,,,,,
player,201510040chi,rai,MurrLa00,rec_yds,12,,,,,
player,201510040chi,rai,MurrLa00,rec_td,0,,,,,
player,201510040chi,rai,MurrLa00,rec_long,11,,,,,
player,201510040chi,rai,MurrLa00,fumbles,0,,,,,
player,201510040chi,rai,MurrLa00,fumbles_lost,0,,,,,
player,201510040chi,rai,HeluRo00,pass_cmp,0,,,,,
player,201510040chi,rai,HeluRo00,pass_att,0,,,,,
player,201510040chi,rai,HeluRo00,pass_yds,0,,,,,
player,201510040chi,rai,HeluRo00,pass_td,0,,,,,
player,201510040chi,rai,HeluRo00,pass_int,0,,,,,
player,201510040chi,rai,HeluRo00,pass_sacked,,,,,,
player,201510040chi,rai,HeluRo00,pass_sacked_yds,0,,,,,
player,201510040chi,rai,HeluRo00,pass_long,0,,,,,
player,201510040chi,rai,HeluRo00,pass_rating,,,,,,
player,201510040chi,rai,HeluRo00,rush_att,5,,,,,
player,201510040chi,rai,HeluRo00,rush_yds,22,,,,,
player,201510040chi,rai,HeluRo00,rush_td,0,,,,,
player,201510040chi,rai,HeluRo00,rush_long,12,,,,,
player,201510040chi,rai,HeluRo00,targets,2,,,,,
player,201510040chi,rai,HeluRo00,rec,2,,,,,
player,201510040chi,rai,HeluRo00,rec_yds,13,,,,,
player,201510040chi,rai,HeluRo00,rec_td,1,,,,,
player,201510040chi,rai,HeluRo00,rec_long,9,,,,,
player,201510040chi,rai,HeluRo00,fumbles,0,,,,,
player,201510040chi,rai,HeluRo00,fumbles_lost,0,,,,,
player,201510040chi,rai,CrabMi00,pass_cmp,0,,,,,
player,201510040chi,rai,CrabMi00,pass_att,0,,,,,
player,201510040chi,rai,CrabMi00,pass_yds,0,,,,,
player,201510040chi,rai,CrabMi00,pass_td,0,,,,,
player,201510040chi,rai,CrabMi00,pass_int,0,,,,,
player,201510040chi,rai,CrabMi00,pass_sacked,,,,,,
player,201510040chi,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201510040chi,rai,CrabMi00,pass_long,0,,,,,
player,201510040chi,rai,CrabMi00,pass_rating,,,,,,
player,201510040chi,rai,CrabMi00,rush_att,0,,,,,
player,201510040chi,rai,CrabMi00,rush_yds,0,,,,,
player,201510040chi,rai,CrabMi00,rush_td,0,,,,,
player,201510040chi,rai,CrabMi00,rush_long,0,,,,,
player,201510040chi,rai,CrabMi00,targets,6,,,,,
player,201510040chi,rai,CrabMi00,rec,5,,,,,
player,201510040chi,rai,CrabMi00,rec_yds,80,,,,,
