game,2015,11,20151122,201511220atl,clt,"Indianapolis Colts",24,atl,"Atlanta Falcons",21
player,201511220atl,clt,JohnAn02,pass_sacked_yds,0,,,,,
player,201511220atl,clt,JohnAn02,pass_long,0,,,,,
player,201511220atl,clt,JohnAn02,pass_rating,,,,,,
player,201511220atl,clt,JohnAn02,rush_att,0,,,,,
player,201511220atl,clt,JohnAn02,rush_yds,0,,,,,
player,201511220atl,clt,JohnAn02,rush_td,0,,,,,
player,201511220atl,clt,JohnAn02,rush_long,0,,,,,
player,201511220atl,clt,JohnAn02,targets,2,,,,,
player,201511220atl,clt,JohnAn02,rec,1,,,,,
player,201511220atl,clt,JohnAn02,rec_yds,13,,,,,
player,201511220atl,clt,JohnAn02,rec_td,0,,,,,
player,201511220atl,clt,JohnAn02,rec_long,13,,,,,
player,201511220atl,clt,JohnAn02,fumbles,0,,,,,
player,201511220atl,clt,JohnAn02,fumbles_lost,0,,,,,
player,201511220atl,clt,AlleDw00,pass_cmp,0,,,,,
player,201511220atl,clt,AlleDw00,pass_att,0,,,,,
player,201511220atl,clt,AlleDw00,pass_yds,0,,,,,
player,201511220atl,clt,AlleDw00,pass_td,0,,,,,
player,201511220atl,clt,AlleDw00,pass_int,0,,,,,
player,201511220atl,clt,AlleDw00,pass_sacked,0,,,,,
player,201511220atl,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201511220atl,clt,AlleDw00,pass_long,0,,,,,
player,201511220atl,clt,AlleDw00,pass_rating,,,,,,
player,201511220atl,clt,AlleDw00,rush_att,0,,,,,
player,201511220atl,clt,AlleDw00,rush_yds,0,,,,,
player,201511220atl,clt,AlleDw00,rush_td,0,,,,,
player,201511220atl,clt,AlleDw00,rush_long,0,,,,,
player,201511220atl,clt,AlleDw00,targets,1,,,,,
player,201511220atl,clt,AlleDw00,rec,1,,,,,
player,201511220atl,clt,AlleDw00,rec_yds,7,,,,,
player,201511220atl,clt,AlleDw00,rec_td,0,,,,,
player,201511220atl,clt,AlleDw00,rec_long,7,,,,,
player,201511220atl,clt,AlleDw00,fumbles,0,,,,,
player,201511220atl,clt,AlleDw00,fumbles_lost,0,,,,,
player,201511220atl,clt,ReitJo00,pass_cmp,0,,,,,
player,201511220atl,clt,ReitJo00,pass_att,0,,,,,
player,201511220atl,clt,ReitJo00,pass_yds,0,,,,,
player,201511220atl,clt,ReitJo00,pass_td,0,,,,,
player,201511220atl,clt,ReitJo00,pass_int,0,,,,,
player,201511220atl,clt,ReitJo00,pass_sacked,0,,,,,
player,201511220atl,clt,ReitJo00,pass_sacked_yds,0,,,,,
player,201511220atl,clt,ReitJo00,pass_long,0,,,,,
player,201511220atl,clt,ReitJo00,pass_rating,,,,,,
player,201511220atl,clt,ReitJo00,rush_att,1,,,,,
player,201511220atl,clt,ReitJo00,rush_yds,0,,,,,
player,201511220atl,clt,ReitJo00,rush_td,0,,,,,
player,201511220atl,clt,ReitJo00,rush_long,0,,,,,
player,201511220atl,clt,ReitJo00,targets,0,,,,,
player,201511220atl,clt,ReitJo00,rec,0,,,,,
player,201511220atl,clt,ReitJo00,rec_yds,0,,,,,
player,201511220atl,clt,ReitJo00,rec_td,0,,,,,
player,201511220atl,clt,ReitJo00,rec_long,0,,,,,
player,201511220atl,clt,ReitJo00,fumbles,0,,,,,
player,201511220atl,clt,ReitJo00,fumbles_lost,0,,,,,
player,201511220atl,atl,RyanMa00,pass_cmp,25,,,,,
player,201511220atl,atl,RyanMa00,pass_att,46,,,,,
player,201511220atl,atl,RyanMa00,pass_yds,280,,,,,
player,201511220atl,atl,RyanMa00,pass_td,3,,,,,
player,201511220atl,atl,RyanMa00,pass_int,3,,,,,
player,201511220atl,atl,RyanMa00,pass_sacked,1,,,,,
player,201511220atl,atl,RyanMa00,pass_sacked_yds,5,,,,,
player,201511220atl,atl,RyanMa00,pass_long,36,,,,,
player,201511220atl,atl,RyanMa00,pass_rating,67.3,,,,,
player,201511220atl,atl,RyanMa00,rush_att,2,,,,,
player,201511220atl,atl,RyanMa00,rush_yds,7,,,,,
player,201511220atl,atl,RyanMa00,rush_td,0,,,,,
player,201511220atl,atl,RyanMa00,rush_long,6,,,,,
player,201511220atl,atl,RyanMa00,targets,0,,,,,
player,201511220atl,atl,RyanMa00,rec,0,,,,,
player,201511220atl,atl,RyanMa00,rec_yds,0,,,,,
player,201511220atl,atl,RyanMa00,rec_td,0,,,,,
player,201511220atl,atl,RyanMa00,rec_long,0,,,,,
player,201511220atl,atl,RyanMa00,fumbles,0,,,,,
player,201511220atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201511220atl,atl,ColeTe01,pass_cmp,0,,,,,
player,201511220atl,atl,ColeTe01,pass_att,0,,,,,
player,201511220atl,atl,ColeTe01,pass_yds,0,,,,,
player,201511220atl,atl,ColeTe01,pass_td,0,,,,,
player,201511220atl,atl,ColeTe01,pass_int,0,,,,,
player,201511220atl,atl,ColeTe01,pass_sacked,0,,,,,
player,201511220atl,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201511220atl,atl,ColeTe01,pass_long,0,,,,,
player,201511220atl,atl,ColeTe01,pass_rating,,,,,,
player,201511220atl,atl,ColeTe01,rush_att,17,,,,,
player,201511220atl,atl,ColeTe01,rush_yds,48,,,,,
player,201511220atl,atl,ColeTe01,rush_td,0,,,,,
player,201511220atl,atl,ColeTe01,rush_long,10,,,,,
player,201511220atl,atl,ColeTe01,targets,2,,,,,
player,201511220atl,atl,ColeTe01,rec,0,,,,,
player,201511220atl,atl,ColeTe01,rec_yds,0,,,,,
player,201511220atl,atl,ColeTe01,rec_td,0,,,,,
player,201511220atl,atl,ColeTe01,rec_long,0,,,,,
player,201511220atl,atl,ColeTe01,fumbles,1,,,,,
player,201511220atl,atl,ColeTe01,fumbles_lost,1,,,,,
player,201511220atl,atl,FreeDe00,pass_cmp,0,,,,,
player,201511220atl,atl,FreeDe00,pass_att,0,,,,,
player,201511220atl,atl,FreeDe00,pass_yds,0,,,,,
player,201511220atl,atl,FreeDe00,pass_td,0,,,,,
player,201511220atl,atl,FreeDe00,pass_int,0,,,,,
player,201511220atl,atl,FreeDe00,pass_sacked,0,,,,,
player,201511220atl,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201511220atl,atl,FreeDe00,pass_long,0,,,,,
player,201511220atl,atl,FreeDe00,pass_rating,,,,,,
player,201511220atl,atl,FreeDe00,rush_att,3,,,,,
player,201511220atl,atl,FreeDe00,rush_yds,43,,,,,
player,201511220atl,atl,FreeDe00,rush_td,0,,,,,
player,201511220atl,atl,FreeDe00,rush_long,39,,,,,
player,201511220atl,atl,FreeDe00,targets,0,,,,,
player,201511220atl,atl,FreeDe00,rec,0,,,,,
player,201511220atl,atl,FreeDe00,rec_yds,0,,,,,
player,201511220atl,atl,FreeDe00,rec_td,0,,,,,
player,201511220atl,atl,FreeDe00,rec_long,0,,,,,
player,201511220atl,atl,FreeDe00,fumbles,0,,,,,
