game,2015,11,20151122,201511220min,gnb,"Green Bay Packers",30,min,"Minnesota Vikings",13
team,201511220min,gnb,First Downs,19,,,,,,
team,201511220min,min,First Downs,16,,,,,,
team,201511220min,gnb,Rush-Yds-TDs,34-124-0,,,,,,
team,201511220min,min,Rush-Yds-TDs,18-94-1,,,,,,
team,201511220min,gnb,Cmp-Att-Yd-TD-INT,16-34-212-2-0,,,,,,
team,201511220min,min,Cmp-Att-Yd-TD-INT,25-38-296-1-0,,,,,,
team,201511220min,gnb,Sacked-Yards,2-16,,,,,,
team,201511220min,min,Sacked-Yards,6-48,,,,,,
team,201511220min,gnb,Net Pass Yards,196,,,,,,
team,201511220min,min,Net Pass Yards,248,,,,,,
team,201511220min,gnb,Total Yards,320,,,,,,
team,201511220min,min,Total Yards,342,,,,,,
team,201511220min,gnb,Fumbles-Lost,0-0,,,,,,
team,201511220min,min,Fumbles-Lost,1-1,,,,,,
team,201511220min,gnb,Turnovers,0,,,,,,
team,201511220min,min,Turnovers,1,,,,,,
team,201511220min,gnb,Penalties-Yards,4-19,,,,,,
team,201511220min,min,Penalties-Yards,8-110,,,,,,
team,201511220min,gnb,Third Down Conv.,6-16,,,,,,
team,201511220min,min,Third Down Conv.,5-13,,,,,,
team,201511220min,gnb,Fourth Down Conv.,0-0,,,,,,
team,201511220min,min,Fourth Down Conv.,0-2,,,,,,
team,201511220min,gnb,Time of Possession,30:22,,,,,,
team,201511220min,min,Time of Possession,29:38,,,,,,
player,201511220min,gnb,RodgAa00,pass_cmp,16,,,,,
player,201511220min,gnb,RodgAa00,pass_att,34,,,,,
player,201511220min,gnb,RodgAa00,pass_yds,212,,,,,
player,201511220min,gnb,RodgAa00,pass_td,2,,,,,
player,201511220min,gnb,RodgAa00,pass_int,0,,,,,
player,201511220min,gnb,RodgAa00,pass_sacked,2,,,,,
player,201511220min,gnb,RodgAa00,pass_sacked_yds,16,,,,,
player,201511220min,gnb,RodgAa00,pass_long,37,,,,,
player,201511220min,gnb,RodgAa00,pass_rating,86.9,,,,,
player,201511220min,gnb,RodgAa00,rush_att,3,,,,,
player,201511220min,gnb,RodgAa00,rush_yds,6,,,,,
player,201511220min,gnb,RodgAa00,rush_td,0,,,,,
player,201511220min,gnb,RodgAa00,rush_long,8,,,,,
player,201511220min,gnb,RodgAa00,targets,0,,,,,
player,201511220min,gnb,RodgAa00,rec,0,,,,,
player,201511220min,gnb,RodgAa00,rec_yds,0,,,,,
player,201511220min,gnb,RodgAa00,rec_td,0,,,,,
player,201511220min,gnb,RodgAa00,rec_long,0,,,,,
player,201511220min,gnb,RodgAa00,fumbles,0,,,,,
player,201511220min,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201511220min,gnb,LacyEd00,pass_cmp,0,,,,,
player,201511220min,gnb,LacyEd00,pass_att,0,,,,,
player,201511220min,gnb,LacyEd00,pass_yds,0,,,,,
player,201511220min,gnb,LacyEd00,pass_td,0,,,,,
player,201511220min,gnb,LacyEd00,pass_int,0,,,,,
player,201511220min,gnb,LacyEd00,pass_sacked,0,,,,,
player,201511220min,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201511220min,gnb,LacyEd00,pass_long,0,,,,,
player,201511220min,gnb,LacyEd00,pass_rating,,,,,,
