game,2015,14,20151213,201512130htx,nwe,"New England Patriots",27,htx,"Houston Texans",6
team,201512130htx,nwe,First Downs,18,,,,,,
team,201512130htx,htx,First Downs,7,,,,,,
team,201512130htx,nwe,Rush-Yds-TDs,31-116-1,,,,,,
team,201512130htx,htx,Rush-Yds-TDs,22-87-0,,,,,,
team,201512130htx,nwe,Cmp-Att-Yd-TD-INT,22-30-226-2-0,,,,,,
team,201512130htx,htx,Cmp-Att-Yd-TD-INT,12-24-159-0-0,,,,,,
team,201512130htx,nwe,Sacked-Yards,3-29,,,,,,
team,201512130htx,htx,Sacked-Yards,6-57,,,,,,
team,201512130htx,nwe,Net Pass Yards,197,,,,,,
team,201512130htx,htx,Net Pass Yards,102,,,,,,
team,201512130htx,nwe,Total Yards,313,,,,,,
team,201512130htx,htx,Total Yards,189,,,,,,
team,201512130htx,nwe,Fumbles-Lost,1-1,,,,,,
team,201512130htx,htx,Fumbles-Lost,2-1,,,,,,
team,201512130htx,nwe,Turnovers,1,,,,,,
team,201512130htx,htx,Turnovers,1,,,,,,
team,201512130htx,nwe,Penalties-Yards,6-46,,,,,,
team,201512130htx,htx,Penalties-Yards,4-36,,,,,,
team,201512130htx,nwe,Third Down Conv.,7-16,,,,,,
team,201512130htx,htx,Third Down Conv.,3-14,,,,,,
team,201512130htx,nwe,Fourth Down Conv.,0-0,,,,,,
team,201512130htx,htx,Fourth Down Conv.,0-2,,,,,,
team,201512130htx,nwe,Time of Possession,35:14,,,,,,
team,201512130htx,htx,Time of Possession,24:46,,,,,,
player,201512130htx,nwe,BradTo00,pass_cmp,22,,,,,
player,201512130htx,nwe,BradTo00,pass_att,30,,,,,
player,201512130htx,nwe,BradTo00,pass_yds,226,,,,,
player,201512130htx,nwe,BradTo00,pass_td,2,,,,,
player,201512130htx,nwe,BradTo00,pass_int,0,,,,,
player,201512130htx,nwe,BradTo00,pass_sacked,3,,,,,
player,201512130htx,nwe,BradTo00,pass_sacked_yds,29,,,,,
player,201512130htx,nwe,BradTo00,pass_long,45,,,,,
player,201512130htx,nwe,BradTo00,pass_rating,116.8,,,,,
player,201512130htx,nwe,BradTo00,rush_att,4,,,,,
player,201512130htx,nwe,BradTo00,rush_yds,10,,,,,
player,201512130htx,nwe,BradTo00,rush_td,0,,,,,
player,201512130htx,nwe,BradTo00,rush_long,13,,,,,
player,201512130htx,nwe,BradTo00,targets,0,,,,,
player,201512130htx,nwe,BradTo00,rec,0,,,,,
player,201512130htx,nwe,BradTo00,rec_yds,0,,,,,
player,201512130htx,nwe,BradTo00,rec_td,0,,,,,
player,201512130htx,nwe,BradTo00,rec_long,0,,,,,
player,201512130htx,nwe,BradTo00,fumbles,0,,,,,
player,201512130htx,nwe,BradTo00,fumbles_lost,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_cmp,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_att,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_yds,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_td,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_int,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_sacked,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_long,0,,,,,
player,201512130htx,nwe,BlouLe00,pass_rating,,,,,,
player,201512130htx,nwe,BlouLe00,rush_att,10,,,,,
player,201512130htx,nwe,BlouLe00,rush_yds,53,,,,,
player,201512130htx,nwe,BlouLe00,rush_td,0,,,,,
player,201512130htx,nwe,BlouLe00,rush_long,17,,,,,
player,201512130htx,nwe,BlouLe00,targets,0,,,,,
player,201512130htx,nwe,BlouLe00,rec,0,,,,,
player,201512130htx,nwe,BlouLe00,rec_yds,0,,,,,
player,201512130htx,nwe,BlouLe00,rec_td,0,,,,,
player,201512130htx,nwe,BlouLe00,rec_long,0,,,,,
player,201512130htx,nwe,BlouLe00,fumbles,0,,,,,
player,201512130htx,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201512130htx,nwe,BoldBr00,pass_cmp,0,,,,,
player,201512130htx,nwe,BoldBr00,pass_att,0,,,,,
player,201512130htx,nwe,BoldBr00,pass_yds,0,,,,,
