game,2015,10,20151115,201511150tam,dal,"Dallas Cowboys",6,tam,"Tampa Bay Buccaneers",10
team,201511150tam,dal,First Downs,12,,,,,,
team,201511150tam,tam,First Downs,23,,,,,,
team,201511150tam,dal,Rush-Yds-TDs,21-42-0,,,,,,
team,201511150tam,tam,Rush-Yds-TDs,26-84-1,,,,,,
team,201511150tam,dal,Cmp-Att-Yd-TD-INT,19-29-186-0-1,,,,,,
team,201511150tam,tam,Cmp-Att-Yd-TD-INT,22-39-264-0-2,,,,,,
team,201511150tam,dal,Sacked-Yards,3-12,,,,,,
team,201511150tam,tam,Sacked-Yards,2-18,,,,,,
team,201511150tam,dal,Net Pass Yards,174,,,,,,
team,201511150tam,tam,Net Pass Yards,246,,,,,,
team,201511150tam,dal,Total Yards,216,,,,,,
team,201511150tam,tam,Total Yards,330,,,,,,
team,201511150tam,dal,Fumbles-Lost,1-0,,,,,,
team,201511150tam,tam,Fumbles-Lost,1-0,,,,,,
team,201511150tam,dal,Turnovers,1,,,,,,
team,201511150tam,tam,Turnovers,2,,,,,,
team,201511150tam,dal,Penalties-Yards,6-68,,,,,,
team,201511150tam,tam,Penalties-Yards,7-62,,,,,,
team,201511150tam,dal,Third Down Conv.,4-13,,,,,,
team,201511150tam,tam,Third Down Conv.,4-11,,,,,,
team,201511150tam,dal,Fourth Down Conv.,0-0,,,,,,
team,201511150tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201511150tam,dal,Time of Possession,30:04,,,,,,
team,201511150tam,tam,Time of Possession,29:56,,,,,,
player,201511150tam,dal,CassMa00,pass_cmp,19,,,,,
player,201511150tam,dal,CassMa00,pass_att,29,,,,,
player,201511150tam,dal,CassMa00,pass_yds,186,,,,,
player,201511150tam,dal,CassMa00,pass_td,0,,,,,
player,201511150tam,dal,CassMa00,pass_int,1,,,,,
player,201511150tam,dal,CassMa00,pass_sacked,3,,,,,
player,201511150tam,dal,CassMa00,pass_sacked_yds,12,,,,,
player,201511150tam,dal,CassMa00,pass_long,24,,,,,
player,201511150tam,dal,CassMa00,pass_rating,69.0,,,,,
player,201511150tam,dal,CassMa00,rush_att,1,,,,,
player,201511150tam,dal,CassMa00,rush_yds,2,,,,,
player,201511150tam,dal,CassMa00,rush_td,0,,,,,
