game,2015,7,20151025,201510250was,tam,"Tampa Bay Buccaneers",30,was,"Washington Redskins",31
team,201510250was,tam,First Downs,21,,,,,,
team,201510250was,was,First Downs,27,,,,,,
team,201510250was,tam,Rush-Yds-TDs,30-190-0,,,,,,
team,201510250was,was,Rush-Yds-TDs,19-50-1,,,,,,
team,201510250was,tam,Cmp-Att-Yd-TD-INT,21-29-297-2-0,,,,,,
team,201510250was,was,Cmp-Att-Yd-TD-INT,33-40-317-3-0,,,,,,
team,201510250was,tam,Sacked-Yards,1-8,,,,,,
team,201510250was,was,Sacked-Yards,1-12,,,,,,
team,201510250was,tam,Net Pass Yards,289,,,,,,
team,201510250was,was,Net Pass Yards,305,,,,,,
team,201510250was,tam,Total Yards,479,,,,,,
team,201510250was,was,Total Yards,355,,,,,,
team,201510250was,tam,Fumbles-Lost,2-1,,,,,,
team,201510250was,was,Fumbles-Lost,1-1,,,,,,
team,201510250was,tam,Turnovers,1,,,,,,
team,201510250was,was,Turnovers,1,,,,,,
team,201510250was,tam,Penalties-Yards,16-142,,,,,,
team,201510250was,was,Penalties-Yards,4-20,,,,,,
team,201510250was,tam,Third Down Conv.,7-12,,,,,,
team,201510250was,was,Third Down Conv.,5-11,,,,,,
team,201510250was,tam,Fourth Down Conv.,0-0,,,,,,
team,201510250was,was,Fourth Down Conv.,0-0,,,,,,
team,201510250was,tam,Time of Possession,31:18,,,,,,
team,201510250was,was,Time of Possession,28:42,,,,,,
player,201510250was,tam,WinsJa00,pass_cmp,21,,,,,
player,201510250was,tam,WinsJa00,pass_att,29,,,,,
player,201510250was,tam,WinsJa00,pass_yds,297,,,,,
player,201510250was,tam,WinsJa00,pass_td,2,,,,,
player,201510250was,tam,WinsJa00,pass_int,0,,,,,
player,201510250was,tam,WinsJa00,pass_sacked,1,,,,,
player,201510250was,tam,WinsJa00,pass_sacked_yds,8,,,,,
player,201510250was,tam,WinsJa00,pass_long,40,,,,,
player,201510250was,tam,WinsJa00,pass_rating,128.1,,,,,
player,201510250was,tam,WinsJa00,rush_att,1,,,,,
player,201510250was,tam,WinsJa00,rush_yds,5,,,,,
player,201510250was,tam,WinsJa00,rush_td,0,,,,,
