game,2015,12,20151129,201511290clt,tam,"Tampa Bay Buccaneers",12,clt,"Indianapolis Colts",25
player,201511290clt,tam,EvanMi00,pass_cmp,0,,,,,
player,201511290clt,tam,EvanMi00,pass_att,0,,,,,
player,201511290clt,tam,EvanMi00,pass_yds,0,,,,,
player,201511290clt,tam,EvanMi00,pass_td,0,,,,,
player,201511290clt,tam,EvanMi00,pass_int,0,,,,,
player,201511290clt,tam,EvanMi00,pass_sacked,0,,,,,
player,201511290clt,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201511290clt,tam,EvanMi00,pass_long,0,,,,,
player,201511290clt,tam,EvanMi00,pass_rating,,,,,,
player,201511290clt,tam,EvanMi00,rush_att,0,,,,,
player,201511290clt,tam,EvanMi00,rush_yds,0,,,,,
player,201511290clt,tam,EvanMi00,rush_td,0,,,,,
player,201511290clt,tam,EvanMi00,rush_long,0,,,,,
player,201511290clt,tam,EvanMi00,targets,10,,,,,
player,201511290clt,tam,EvanMi00,rec,5,,,,,
player,201511290clt,tam,EvanMi00,rec_yds,64,,,,,
player,201511290clt,tam,EvanMi00,rec_td,0,,,,,
player,201511290clt,tam,EvanMi00,rec_long,17,,,,,
player,201511290clt,tam,EvanMi00,fumbles,0,,,,,
player,201511290clt,tam,EvanMi00,fumbles_lost,0,,,,,
player,201511290clt,tam,BratCa00,pass_cmp,0,,,,,
player,201511290clt,tam,BratCa00,pass_att,0,,,,,
player,201511290clt,tam,BratCa00,pass_yds,0,,,,,
player,201511290clt,tam,BratCa00,pass_td,0,,,,,
player,201511290clt,tam,BratCa00,pass_int,0,,,,,
player,201511290clt,tam,BratCa00,pass_sacked,0,,,,,
player,201511290clt,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201511290clt,tam,BratCa00,pass_long,0,,,,,
player,201511290clt,tam,BratCa00,pass_rating,,,,,,
player,201511290clt,tam,BratCa00,rush_att,0,,,,,
player,201511290clt,tam,BratCa00,rush_yds,0,,,,,
player,201511290clt,tam,BratCa00,rush_td,0,,,,,
player,201511290clt,tam,BratCa00,rush_long,0,,,,,
player,201511290clt,tam,BratCa00,targets,6,,,,,
player,201511290clt,tam,BratCa00,rec,5,,,,,
player,201511290clt,tam,BratCa00,rec_yds,53,,,,,
player,201511290clt,tam,BratCa00,rec_td,1,,,,,
player,201511290clt,tam,BratCa00,rec_long,20,,,,,
player,201511290clt,tam,BratCa00,fumbles,0,,,,,
player,201511290clt,tam,BratCa00,fumbles_lost,0,,,,,
player,201511290clt,tam,HumpAd00,pass_cmp,0,,,,,
player,201511290clt,tam,HumpAd00,pass_att,0,,,,,
player,201511290clt,tam,HumpAd00,pass_yds,0,,,,,
player,201511290clt,tam,HumpAd00,pass_td,0,,,,,
player,201511290clt,tam,HumpAd00,pass_int,0,,,,,
player,201511290clt,tam,HumpAd00,pass_sacked,0,,,,,
player,201511290clt,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201511290clt,tam,HumpAd00,pass_long,0,,,,,
player,201511290clt,tam,HumpAd00,pass_rating,,,,,,
player,201511290clt,tam,HumpAd00,rush_att,0,,,,,
player,201511290clt,tam,HumpAd00,rush_yds,0,,,,,
player,201511290clt,tam,HumpAd00,rush_td,0,,,,,
player,201511290clt,tam,HumpAd00,rush_long,0,,,,,
player,201511290clt,tam,HumpAd00,targets,3,,,,,
player,201511290clt,tam,HumpAd00,rec,2,,,,,
player,201511290clt,tam,HumpAd00,rec_yds,20,,,,,
player,201511290clt,tam,HumpAd00,rec_td,0,,,,,
player,201511290clt,tam,HumpAd00,rec_long,11,,,,,
player,201511290clt,tam,HumpAd00,fumbles,0,,,,,
player,201511290clt,tam,HumpAd00,fumbles_lost,0,,,,,
player,201511290clt,tam,StocLu00,pass_cmp,0,,,,,
player,201511290clt,tam,StocLu00,pass_att,0,,,,,
player,201511290clt,tam,StocLu00,pass_yds,0,,,,,
player,201511290clt,tam,StocLu00,pass_td,0,,,,,
player,201511290clt,tam,StocLu00,pass_int,0,,,,,
player,201511290clt,tam,StocLu00,pass_sacked,0,,,,,
player,201511290clt,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201511290clt,tam,StocLu00,pass_long,0,,,,,
player,201511290clt,tam,StocLu00,pass_rating,,,,,,
player,201511290clt,tam,StocLu00,rush_att,0,,,,,
player,201511290clt,tam,StocLu00,rush_yds,0,,,,,
player,201511290clt,tam,StocLu00,rush_td,0,,,,,
player,201511290clt,tam,StocLu00,rush_long,0,,,,,
player,201511290clt,tam,StocLu00,targets,1,,,,,
player,201511290clt,tam,StocLu00,rec,0,,,,,
player,201511290clt,tam,StocLu00,rec_yds,0,,,,,
player,201511290clt,tam,StocLu00,rec_td,0,,,,,
player,201511290clt,tam,StocLu00,rec_long,0,,,,,
player,201511290clt,tam,StocLu00,fumbles,0,,,,,
player,201511290clt,tam,StocLu00,fumbles_lost,0,,,,,
player,201511290clt,clt,HassMa00,pass_cmp,26,,,,,
player,201511290clt,clt,HassMa00,pass_att,42,,,,,
player,201511290clt,clt,HassMa00,pass_yds,315,,,,,
player,201511290clt,clt,HassMa00,pass_td,2,,,,,
player,201511290clt,clt,HassMa00,pass_int,0,,,,,
player,201511290clt,clt,HassMa00,pass_sacked,3,,,,,
