game,2015,13,20151206,201512060chi,sfo,"San Francisco 49ers",26,chi,"Chicago Bears",20
team,201512060chi,sfo,First Downs,13,,,,,,
team,201512060chi,chi,First Downs,20,,,,,,
team,201512060chi,sfo,Rush-Yds-TDs,23-121-2,,,,,,
team,201512060chi,chi,Rush-Yds-TDs,42-170-2,,,,,,
team,201512060chi,sfo,Cmp-Att-Yd-TD-INT,18-32-196-1-0,,,,,,
team,201512060chi,chi,Cmp-Att-Yd-TD-INT,18-31-202-0-1,,,,,,
team,201512060chi,sfo,Sacked-Yards,4-26,,,,,,
team,201512060chi,chi,Sacked-Yards,1-8,,,,,,
team,201512060chi,sfo,Net Pass Yards,170,,,,,,
team,201512060chi,chi,Net Pass Yards,194,,,,,,
team,201512060chi,sfo,Total Yards,291,,,,,,
team,201512060chi,chi,Total Yards,364,,,,,,
team,201512060chi,sfo,Fumbles-Lost,0-0,,,,,,
team,201512060chi,chi,Fumbles-Lost,1-0,,,,,,
team,201512060chi,sfo,Turnovers,0,,,,,,
team,201512060chi,chi,Turnovers,1,,,,,,
team,201512060chi,sfo,Penalties-Yards,6-50,,,,,,
team,201512060chi,chi,Penalties-Yards,8-72,,,,,,
team,201512060chi,sfo,Third Down Conv.,7-16,,,,,,
team,201512060chi,chi,Third Down Conv.,8-17,,,,,,
team,201512060chi,sfo,Fourth Down Conv.,0-0,,,,,,
team,201512060chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201512060chi,sfo,Time of Possession,24:46,,,,,,
team,201512060chi,chi,Time of Possession,37:24,,,,,,
player,201512060chi,sfo,GabbBl00,pass_cmp,18,,,,,
player,201512060chi,sfo,GabbBl00,pass_att,32,,,,,
player,201512060chi,sfo,GabbBl00,pass_yds,196,,,,,
player,201512060chi,sfo,GabbBl00,pass_td,1,,,,,
player,201512060chi,sfo,GabbBl00,pass_int,0,,,,,
player,201512060chi,sfo,GabbBl00,pass_sacked,4,,,,,
player,201512060chi,sfo,GabbBl00,pass_sacked_yds,26,,,,,
player,201512060chi,sfo,GabbBl00,pass_long,71,,,,,
player,201512060chi,sfo,GabbBl00,pass_rating,84.9,,,,,
player,201512060chi,sfo,GabbBl00,rush_att,6,,,,,
