game,2015,11,20151122,201511220phi,tam,"Tampa Bay Buccaneers",45,phi,"Philadelphia Eagles",17
team,201511220phi,tam,First Downs,25,,,,,,
team,201511220phi,phi,First Downs,21,,,,,,
team,201511220phi,tam,Rush-Yds-TDs,42-283-0,,,,,,
team,201511220phi,phi,Rush-Yds-TDs,28-136-0,,,,,,
team,201511220phi,tam,Cmp-Att-Yd-TD-INT,19-29-246-5-0,,,,,,
team,201511220phi,phi,Cmp-Att-Yd-TD-INT,26-41-261-2-3,,,,,,
team,201511220phi,tam,Sacked-Yards,1-8,,,,,,
team,201511220phi,phi,Sacked-Yards,3-14,,,,,,
team,201511220phi,tam,Net Pass Yards,238,,,,,,
team,201511220phi,phi,Net Pass Yards,247,,,,,,
team,201511220phi,tam,Total Yards,521,,,,,,
team,201511220phi,phi,Total Yards,383,,,,,,
team,201511220phi,tam,Fumbles-Lost,3-1,,,,,,
team,201511220phi,phi,Fumbles-Lost,1-1,,,,,,
team,201511220phi,tam,Turnovers,1,,,,,,
team,201511220phi,phi,Turnovers,4,,,,,,
team,201511220phi,tam,Penalties-Yards,9-82,,,,,,
team,201511220phi,phi,Penalties-Yards,5-25,,,,,,
team,201511220phi,tam,Third Down Conv.,10-16,,,,,,
team,201511220phi,phi,Third Down Conv.,7-15,,,,,,
team,201511220phi,tam,Fourth Down Conv.,1-1,,,,,,
team,201511220phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201511220phi,tam,Time of Possession,35:54,,,,,,
team,201511220phi,phi,Time of Possession,24:06,,,,,,
player,201511220phi,tam,WinsJa00,pass_cmp,19,,,,,
player,201511220phi,tam,WinsJa00,pass_att,29,,,,,
player,201511220phi,tam,WinsJa00,pass_yds,246,,,,,
player,201511220phi,tam,WinsJa00,pass_td,5,,,,,
player,201511220phi,tam,WinsJa00,pass_int,0,,,,,
player,201511220phi,tam,WinsJa00,pass_sacked,1,,,,,
player,201511220phi,tam,WinsJa00,pass_sacked_yds,8,,,,,
player,201511220phi,tam,WinsJa00,pass_long,27,,,,,
player,201511220phi,tam,WinsJa00,pass_rating,131.6,,,,,
player,201511220phi,tam,WinsJa00,rush_att,4,,,,,
player,201511220phi,tam,WinsJa00,rush_yds,0,,,,,
player,201511220phi,tam,WinsJa00,rush_td,0,,,,,
player,201511220phi,tam,WinsJa00,rush_long,3,,,,,
player,201511220phi,tam,WinsJa00,targets,0,,,,,
