game,2015,14,20151213,201512130gnb,dal,"Dallas Cowboys",7,gnb,"Green Bay Packers",28
team,201512130gnb,dal,First Downs,11,,,,,,
team,201512130gnb,gnb,First Downs,29,,,,,,
team,201512130gnb,dal,Rush-Yds-TDs,20-171-1,,,,,,
team,201512130gnb,gnb,Rush-Yds-TDs,44-230-2,,,,,,
team,201512130gnb,dal,Cmp-Att-Yd-TD-INT,13-29-114-0-1,,,,,,
team,201512130gnb,gnb,Cmp-Att-Yd-TD-INT,22-35-218-2-0,,,,,,
team,201512130gnb,dal,Sacked-Yards,2-15,,,,,,
team,201512130gnb,gnb,Sacked-Yards,2-13,,,,,,
team,201512130gnb,dal,Net Pass Yards,99,,,,,,
team,201512130gnb,gnb,Net Pass Yards,205,,,,,,
team,201512130gnb,dal,Total Yards,270,,,,,,
team,201512130gnb,gnb,Total Yards,435,,,,,,
team,201512130gnb,dal,Fumbles-Lost,0-0,,,,,,
team,201512130gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201512130gnb,dal,Turnovers,1,,,,,,
team,201512130gnb,gnb,Turnovers,0,,,,,,
team,201512130gnb,dal,Penalties-Yards,6-30,,,,,,
team,201512130gnb,gnb,Penalties-Yards,8-69,,,,,,
team,201512130gnb,dal,Third Down Conv.,1-11,,,,,,
team,201512130gnb,gnb,Third Down Conv.,7-14,,,,,,
team,201512130gnb,dal,Fourth Down Conv.,0-2,,,,,,
team,201512130gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201512130gnb,dal,Time of Possession,22:12,,,,,,
team,201512130gnb,gnb,Time of Possession,37:48,,,,,,
player,201512130gnb,dal,CassMa00,pass_cmp,13,,,,,
player,201512130gnb,dal,CassMa00,pass_att,29,,,,,
player,201512130gnb,dal,CassMa00,pass_yds,114,,,,,
player,201512130gnb,dal,CassMa00,pass_td,0,,,,,
player,201512130gnb,dal,CassMa00,pass_int,1,,,,,
player,201512130gnb,dal,CassMa00,pass_sacked,2,,,,,
player,201512130gnb,dal,CassMa00,pass_sacked_yds,15,,,,,
player,201512130gnb,dal,CassMa00,pass_long,19,,,,,
player,201512130gnb,dal,CassMa00,pass_rating,41.5,,,,,
player,201512130gnb,dal,CassMa00,rush_att,3,,,,,
player,201512130gnb,dal,CassMa00,rush_yds,6,,,,,
player,201512130gnb,dal,CassMa00,rush_td,0,,,,,
