game,2015,14,20151214,201512140mia,nyg,"New York Giants",31,mia,"Miami Dolphins",24
team,201512140mia,nyg,First Downs,25,,,,,,
team,201512140mia,mia,First Downs,16,,,,,,
team,201512140mia,nyg,Rush-Yds-TDs,31-92-0,,,,,,
team,201512140mia,mia,Rush-Yds-TDs,22-128-2,,,,,,
team,201512140mia,nyg,Cmp-Att-Yd-TD-INT,27-31-337-4-0,,,,,,
team,201512140mia,mia,Cmp-Att-Yd-TD-INT,25-41-236-1-0,,,,,,
team,201512140mia,nyg,Sacked-Yards,0-0,,,,,,
team,201512140mia,mia,Sacked-Yards,1-1,,,,,,
team,201512140mia,nyg,Net Pass Yards,337,,,,,,
team,201512140mia,mia,Net Pass Yards,235,,,,,,
team,201512140mia,nyg,Total Yards,429,,,,,,
team,201512140mia,mia,Total Yards,363,,,,,,
team,201512140mia,nyg,Fumbles-Lost,1-1,,,,,,
team,201512140mia,mia,Fumbles-Lost,2-1,,,,,,
team,201512140mia,nyg,Turnovers,1,,,,,,
team,201512140mia,mia,Turnovers,1,,,,,,
team,201512140mia,nyg,Penalties-Yards,3-25,,,,,,
team,201512140mia,mia,Penalties-Yards,12-123,,,,,,
team,201512140mia,nyg,Third Down Conv.,5-11,,,,,,
team,201512140mia,mia,Third Down Conv.,7-16,,,,,,
team,201512140mia,nyg,Fourth Down Conv.,0-0,,,,,,
team,201512140mia,mia,Fourth Down Conv.,1-2,,,,,,
team,201512140mia,nyg,Time of Possession,30:31,,,,,,
team,201512140mia,mia,Time of Possession,29:29,,,,,,
player,201512140mia,nyg,MannEl00,pass_cmp,27,,,,,
player,201512140mia,nyg,MannEl00,pass_att,31,,,,,
player,201512140mia,nyg,MannEl00,pass_yds,337,,,,,
player,201512140mia,nyg,MannEl00,pass_td,4,,,,,
player,201512140mia,nyg,MannEl00,pass_int,0,,,,,
player,201512140mia,nyg,MannEl00,pass_sacked,0,,,,,
player,201512140mia,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,MannEl00,pass_long,84,,,,,
player,201512140mia,nyg,MannEl00,pass_rating,151.5,,,,,
player,201512140mia,nyg,MannEl00,rush_att,3,,,,,
player,201512140mia,nyg,MannEl00,rush_yds,-2,,,,,
player,201512140mia,nyg,MannEl00,rush_td,0,,,,,
player,201512140mia,nyg,MannEl00,rush_long,0,,,,,
player,201512140mia,nyg,MannEl00,targets,0,,,,,
player,201512140mia,nyg,MannEl00,rec,0,,,,,
player,201512140mia,nyg,MannEl00,rec_yds,0,,,,,
player,201512140mia,nyg,MannEl00,rec_td,0,,,,,
player,201512140mia,nyg,MannEl00,rec_long,0,,,,,
player,201512140mia,nyg,MannEl00,fumbles,1,,,,,
player,201512140mia,nyg,MannEl00,fumbles_lost,1,,,,,
player,201512140mia,nyg,JennRa00,pass_cmp,0,,,,,
player,201512140mia,nyg,JennRa00,pass_att,0,,,,,
player,201512140mia,nyg,JennRa00,pass_yds,0,,,,,
player,201512140mia,nyg,JennRa00,pass_td,0,,,,,
player,201512140mia,nyg,JennRa00,pass_int,0,,,,,
player,201512140mia,nyg,JennRa00,pass_sacked,0,,,,,
player,201512140mia,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,JennRa00,pass_long,0,,,,,
player,201512140mia,nyg,JennRa00,pass_rating,,,,,,
player,201512140mia,nyg,JennRa00,rush_att,22,,,,,
player,201512140mia,nyg,JennRa00,rush_yds,81,,,,,
player,201512140mia,nyg,JennRa00,rush_td,0,,,,,
player,201512140mia,nyg,JennRa00,rush_long,21,,,,,
player,201512140mia,nyg,JennRa00,targets,2,,,,,
player,201512140mia,nyg,JennRa00,rec,2,,,,,
player,201512140mia,nyg,JennRa00,rec_yds,21,,,,,
player,201512140mia,nyg,JennRa00,rec_td,0,,,,,
player,201512140mia,nyg,JennRa00,rec_long,19,,,,,
player,201512140mia,nyg,JennRa00,fumbles,0,,,,,
player,201512140mia,nyg,JennRa00,fumbles_lost,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_cmp,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_att,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_yds,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_td,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_int,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_sacked,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_long,0,,,,,
player,201512140mia,nyg,DarkOr00,pass_rating,,,,,,
player,201512140mia,nyg,DarkOr00,rush_att,2,,,,,
player,201512140mia,nyg,DarkOr00,rush_yds,10,,,,,
player,201512140mia,nyg,DarkOr00,rush_td,0,,,,,
player,201512140mia,nyg,DarkOr00,rush_long,10,,,,,
player,201512140mia,nyg,DarkOr00,targets,1,,,,,
player,201512140mia,nyg,DarkOr00,rec,1,,,,,
player,201512140mia,nyg,DarkOr00,rec_yds,6,,,,,
player,201512140mia,nyg,DarkOr00,rec_td,0,,,,,
player,201512140mia,nyg,DarkOr00,rec_long,6,,,,,
player,201512140mia,nyg,DarkOr00,fumbles,0,,,,,
player,201512140mia,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201512140mia,nyg,WillAn00,pass_cmp,0,,,,,
player,201512140mia,nyg,WillAn00,pass_att,0,,,,,
player,201512140mia,nyg,WillAn00,pass_yds,0,,,,,
player,201512140mia,nyg,WillAn00,pass_td,0,,,,,
player,201512140mia,nyg,WillAn00,pass_int,0,,,,,
player,201512140mia,nyg,WillAn00,pass_sacked,0,,,,,
player,201512140mia,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,WillAn00,pass_long,0,,,,,
player,201512140mia,nyg,WillAn00,pass_rating,,,,,,
player,201512140mia,nyg,WillAn00,rush_att,3,,,,,
player,201512140mia,nyg,WillAn00,rush_yds,3,,,,,
player,201512140mia,nyg,WillAn00,rush_td,0,,,,,
player,201512140mia,nyg,WillAn00,rush_long,5,,,,,
player,201512140mia,nyg,WillAn00,targets,0,,,,,
player,201512140mia,nyg,WillAn00,rec,0,,,,,
player,201512140mia,nyg,WillAn00,rec_yds,0,,,,,
player,201512140mia,nyg,WillAn00,rec_td,0,,,,,
player,201512140mia,nyg,WillAn00,rec_long,0,,,,,
player,201512140mia,nyg,WillAn00,fumbles,0,,,,,
player,201512140mia,nyg,WillAn00,fumbles_lost,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_cmp,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_att,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_yds,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_td,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_int,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_sacked,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_long,0,,,,,
player,201512140mia,nyg,BeckOd00,pass_rating,,,,,,
player,201512140mia,nyg,BeckOd00,rush_att,0,,,,,
player,201512140mia,nyg,BeckOd00,rush_yds,0,,,,,
player,201512140mia,nyg,BeckOd00,rush_td,0,,,,,
player,201512140mia,nyg,BeckOd00,rush_long,0,,,,,
player,201512140mia,nyg,BeckOd00,targets,9,,,,,
player,201512140mia,nyg,BeckOd00,rec,7,,,,,
player,201512140mia,nyg,BeckOd00,rec_yds,166,,,,,
player,201512140mia,nyg,BeckOd00,rec_td,2,,,,,
player,201512140mia,nyg,BeckOd00,rec_long,84,,,,,
player,201512140mia,nyg,BeckOd00,fumbles,0,,,,,
player,201512140mia,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201512140mia,nyg,RandRu00,pass_cmp,0,,,,,
player,201512140mia,nyg,RandRu00,pass_att,0,,,,,
player,201512140mia,nyg,RandRu00,pass_yds,0,,,,,
player,201512140mia,nyg,RandRu00,pass_td,0,,,,,
player,201512140mia,nyg,RandRu00,pass_int,0,,,,,
player,201512140mia,nyg,RandRu00,pass_sacked,0,,,,,
player,201512140mia,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201512140mia,nyg,RandRu00,pass_long,0,,,,,
player,201512140mia,nyg,RandRu00,pass_rating,,,,,,
player,201512140mia,nyg,RandRu00,rush_att,0,,,,,
player,201512140mia,nyg,RandRu00,rush_yds,0,,,,,
player,201512140mia,nyg,RandRu00,rush_td,0,,,,,
player,201512140mia,nyg,RandRu00,rush_long,0,,,,,
player,201512140mia,nyg,RandRu00,targets,6,,,,,
player,201512140mia,nyg,RandRu00,rec,5,,,,,
player,201512140mia,nyg,RandRu00,rec_yds,58,,,,,
player,201512140mia,nyg,RandRu00,rec_td,1,,,,,
player,201512140mia,nyg,RandRu00,rec_long,22,,,,,
player,201512140mia,nyg,RandRu00,fumbles,0,,,,,
player,201512140mia,nyg,RandRu00,fumbles_lost,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_cmp,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_att,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_yds,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_td,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_int,0,,,,,
player,201512140mia,nyg,HarrDw00,pass_sacked,0,,,,,
