game,2015,9,20151108,201511080clt,den,"Denver Broncos",24,clt,"Indianapolis Colts",27
team,201511080clt,den,First Downs,16,,,,,,
team,201511080clt,clt,First Downs,27,,,,,,
team,201511080clt,den,Rush-Yds-TDs,14-35-0,,,,,,
team,201511080clt,clt,Rush-Yds-TDs,40-120-1,,,,,,
team,201511080clt,den,Cmp-Att-Yd-TD-INT,21-36-281-2-2,,,,,,
team,201511080clt,clt,Cmp-Att-Yd-TD-INT,21-36-252-2-0,,,,,,
team,201511080clt,den,Sacked-Yards,1-7,,,,,,
team,201511080clt,clt,Sacked-Yards,1-7,,,,,,
team,201511080clt,den,Net Pass Yards,274,,,,,,
team,201511080clt,clt,Net Pass Yards,245,,,,,,
team,201511080clt,den,Total Yards,309,,,,,,
team,201511080clt,clt,Total Yards,365,,,,,,
team,201511080clt,den,Fumbles-Lost,0-0,,,,,,
team,201511080clt,clt,Fumbles-Lost,0-0,,,,,,
team,201511080clt,den,Turnovers,2,,,,,,
team,201511080clt,clt,Turnovers,0,,,,,,
team,201511080clt,den,Penalties-Yards,8-56,,,,,,
team,201511080clt,clt,Penalties-Yards,4-30,,,,,,
team,201511080clt,den,Third Down Conv.,6-12,,,,,,
team,201511080clt,clt,Third Down Conv.,12-20,,,,,,
team,201511080clt,den,Fourth Down Conv.,0-0,,,,,,
team,201511080clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201511080clt,den,Time of Possession,21:21,,,,,,
team,201511080clt,clt,Time of Possession,38:39,,,,,,
player,201511080clt,den,MannPe00,pass_cmp,21,,,,,
player,201511080clt,den,MannPe00,pass_att,36,,,,,
player,201511080clt,den,MannPe00,pass_yds,281,,,,,
player,201511080clt,den,MannPe00,pass_td,2,,,,,
player,201511080clt,den,MannPe00,pass_int,2,,,,,
player,201511080clt,den,MannPe00,pass_sacked,1,,,,,
player,201511080clt,den,MannPe00,pass_sacked_yds,7,,,,,
player,201511080clt,den,MannPe00,pass_long,64,,,,,
player,201511080clt,den,MannPe00,pass_rating,78.6,,,,,
player,201511080clt,den,MannPe00,rush_att,0,,,,,
player,201511080clt,den,MannPe00,rush_yds,0,,,,,
player,201511080clt,den,MannPe00,rush_td,0,,,,,
player,201511080clt,den,MannPe00,rush_long,0,,,,,
player,201511080clt,den,MannPe00,targets,0,,,,,
player,201511080clt,den,MannPe00,rec,0,,,,,
