game,2015,5,20151011,201510110gnb,ram,"St. Louis Rams",10,gnb,"Green Bay Packers",24
team,201510110gnb,ram,First Downs,17,,,,,,
team,201510110gnb,gnb,First Downs,14,,,,,,
team,201510110gnb,ram,Rush-Yds-TDs,36-191-0,,,,,,
team,201510110gnb,gnb,Rush-Yds-TDs,27-86-0,,,,,,
team,201510110gnb,ram,Cmp-Att-Yd-TD-INT,12-31-161-1-4,,,,,,
team,201510110gnb,gnb,Cmp-Att-Yd-TD-INT,19-30-241-2-2,,,,,,
team,201510110gnb,ram,Sacked-Yards,3-18,,,,,,
team,201510110gnb,gnb,Sacked-Yards,2-5,,,,,,
team,201510110gnb,ram,Net Pass Yards,143,,,,,,
team,201510110gnb,gnb,Net Pass Yards,236,,,,,,
team,201510110gnb,ram,Total Yards,334,,,,,,
team,201510110gnb,gnb,Total Yards,322,,,,,,
team,201510110gnb,ram,Fumbles-Lost,1-0,,,,,,
team,201510110gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201510110gnb,ram,Turnovers,4,,,,,,
team,201510110gnb,gnb,Turnovers,3,,,,,,
team,201510110gnb,ram,Penalties-Yards,8-40,,,,,,
team,201510110gnb,gnb,Penalties-Yards,7-67,,,,,,
team,201510110gnb,ram,Third Down Conv.,5-18,,,,,,
team,201510110gnb,gnb,Third Down Conv.,4-13,,,,,,
team,201510110gnb,ram,Fourth Down Conv.,1-1,,,,,,
team,201510110gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201510110gnb,ram,Time of Possession,33:43,,,,,,
team,201510110gnb,gnb,Time of Possession,26:17,,,,,,
player,201510110gnb,ram,FoleNi00,pass_cmp,11,,,,,
player,201510110gnb,ram,FoleNi00,pass_att,30,,,,,
player,201510110gnb,ram,FoleNi00,pass_yds,141,,,,,
player,201510110gnb,ram,FoleNi00,pass_td,1,,,,,
player,201510110gnb,ram,FoleNi00,pass_int,4,,,,,
player,201510110gnb,ram,FoleNi00,pass_sacked,3,,,,,
player,201510110gnb,ram,FoleNi00,pass_sacked_yds,18,,,,,
player,201510110gnb,ram,FoleNi00,pass_long,68,,,,,
player,201510110gnb,ram,FoleNi00,pass_rating,23.7,,,,,
player,201510110gnb,ram,FoleNi00,rush_att,1,,,,,
player,201510110gnb,ram,FoleNi00,rush_yds,2,,,,,
player,201510110gnb,ram,FoleNi00,rush_td,0,,,,,
player,201510110gnb,ram,FoleNi00,rush_long,2,,,,,
player,201510110gnb,ram,FoleNi00,targets,0,,,,,
player,201510110gnb,ram,FoleNi00,rec,0,,,,,
player,201510110gnb,ram,FoleNi00,rec_yds,0,,,,,
player,201510110gnb,ram,FoleNi00,rec_td,0,,,,,
player,201510110gnb,ram,FoleNi00,rec_long,0,,,,,
player,201510110gnb,ram,FoleNi00,fumbles,1,,,,,
player,201510110gnb,ram,FoleNi00,fumbles_lost,0,,,,,
player,201510110gnb,ram,HekkJo00,pass_cmp,1,,,,,
player,201510110gnb,ram,HekkJo00,pass_att,1,,,,,
player,201510110gnb,ram,HekkJo00,pass_yds,20,,,,,
player,201510110gnb,ram,HekkJo00,pass_td,0,,,,,
player,201510110gnb,ram,HekkJo00,pass_int,0,,,,,
player,201510110gnb,ram,HekkJo00,pass_sacked,0,,,,,
player,201510110gnb,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201510110gnb,ram,HekkJo00,pass_long,20,,,,,
player,201510110gnb,ram,HekkJo00,pass_rating,118.7,,,,,
player,201510110gnb,ram,HekkJo00,rush_att,0,,,,,
player,201510110gnb,ram,HekkJo00,rush_yds,0,,,,,
player,201510110gnb,ram,HekkJo00,rush_td,0,,,,,
player,201510110gnb,ram,HekkJo00,rush_long,0,,,,,
player,201510110gnb,ram,HekkJo00,targets,0,,,,,
player,201510110gnb,ram,HekkJo00,rec,0,,,,,
player,201510110gnb,ram,HekkJo00,rec_yds,0,,,,,
player,201510110gnb,ram,HekkJo00,rec_td,0,,,,,
player,201510110gnb,ram,HekkJo00,rec_long,0,,,,,
player,201510110gnb,ram,HekkJo00,fumbles,0,,,,,
player,201510110gnb,ram,HekkJo00,fumbles_lost,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_cmp,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_att,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_yds,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_td,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_int,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_sacked,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_long,0,,,,,
player,201510110gnb,ram,GurlTo01,pass_rating,,,,,,
player,201510110gnb,ram,GurlTo01,rush_att,30,,,,,
player,201510110gnb,ram,GurlTo01,rush_yds,159,,,,,
player,201510110gnb,ram,GurlTo01,rush_td,0,,,,,
player,201510110gnb,ram,GurlTo01,rush_long,55,,,,,
player,201510110gnb,ram,GurlTo01,targets,0,,,,,
player,201510110gnb,ram,GurlTo01,rec,0,,,,,
player,201510110gnb,ram,GurlTo01,rec_yds,0,,,,,
player,201510110gnb,ram,GurlTo01,rec_td,0,,,,,
player,201510110gnb,ram,GurlTo01,rec_long,0,,,,,
player,201510110gnb,ram,GurlTo01,fumbles,0,,,,,
player,201510110gnb,ram,GurlTo01,fumbles_lost,0,,,,,
player,201510110gnb,ram,AustTa00,pass_cmp,0,,,,,
player,201510110gnb,ram,AustTa00,pass_att,0,,,,,
player,201510110gnb,ram,AustTa00,pass_yds,0,,,,,
player,201510110gnb,ram,AustTa00,pass_td,0,,,,,
player,201510110gnb,ram,AustTa00,pass_int,0,,,,,
player,201510110gnb,ram,AustTa00,pass_sacked,0,,,,,
