game,2015,13,20151206,201512060mia,rav,"Baltimore Ravens",13,mia,"Miami Dolphins",15
team,201512060mia,rav,First Downs,22,,,,,,
team,201512060mia,mia,First Downs,8,,,,,,
team,201512060mia,rav,Rush-Yds-TDs,26-94-0,,,,,,
team,201512060mia,mia,Rush-Yds-TDs,26-137-0,,,,,,
team,201512060mia,rav,Cmp-Att-Yd-TD-INT,32-46-308-1-2,,,,,,
team,201512060mia,mia,Cmp-Att-Yd-TD-INT,9-19-86-1-0,,,,,,
team,201512060mia,rav,Sacked-Yards,3-27,,,,,,
team,201512060mia,mia,Sacked-Yards,1-4,,,,,,
team,201512060mia,rav,Net Pass Yards,281,,,,,,
team,201512060mia,mia,Net Pass Yards,82,,,,,,
team,201512060mia,rav,Total Yards,375,,,,,,
team,201512060mia,mia,Total Yards,219,,,,,,
team,201512060mia,rav,Fumbles-Lost,0-0,,,,,,
team,201512060mia,mia,Fumbles-Lost,1-1,,,,,,
team,201512060mia,rav,Turnovers,2,,,,,,
team,201512060mia,mia,Turnovers,1,,,,,,
team,201512060mia,rav,Penalties-Yards,5-36,,,,,,
team,201512060mia,mia,Penalties-Yards,5-31,,,,,,
team,201512060mia,rav,Third Down Conv.,5-14,,,,,,
team,201512060mia,mia,Third Down Conv.,4-13,,,,,,
team,201512060mia,rav,Fourth Down Conv.,0-1,,,,,,
team,201512060mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201512060mia,rav,Time of Possession,38:09,,,,,,
team,201512060mia,mia,Time of Possession,21:51,,,,,,
player,201512060mia,rav,SchaMa00,pass_cmp,32,,,,,
player,201512060mia,rav,SchaMa00,pass_att,46,,,,,
player,201512060mia,rav,SchaMa00,pass_yds,308,,,,,
player,201512060mia,rav,SchaMa00,pass_td,1,,,,,
player,201512060mia,rav,SchaMa00,pass_int,2,,,,,
player,201512060mia,rav,SchaMa00,pass_sacked,3,,,,,
player,201512060mia,rav,SchaMa00,pass_sacked_yds,27,,,,,
player,201512060mia,rav,SchaMa00,pass_long,41,,,,,
player,201512060mia,rav,SchaMa00,pass_rating,77.1,,,,,
player,201512060mia,rav,SchaMa00,rush_att,1,,,,,
player,201512060mia,rav,SchaMa00,rush_yds,0,,,,,
player,201512060mia,rav,SchaMa00,rush_td,0,,,,,
player,201512060mia,rav,SchaMa00,rush_long,0,,,,,
player,201512060mia,rav,SchaMa00,targets,0,,,,,
player,201512060mia,rav,SchaMa00,rec,0,,,,,
player,201512060mia,rav,SchaMa00,rec_yds,0,,,,,
player,201512060mia,rav,SchaMa00,rec_td,0,,,,,
player,201512060mia,rav,SchaMa00,rec_long,0,,,,,
player,201512060mia,rav,SchaMa00,fumbles,0,,,,,
player,201512060mia,rav,SchaMa00,fumbles_lost,0,,,,,
player,201512060mia,rav,AlleJa01,pass_cmp,0,,,,,
player,201512060mia,rav,AlleJa01,pass_att,0,,,,,
player,201512060mia,rav,AlleJa01,pass_yds,0,,,,,
player,201512060mia,rav,AlleJa01,pass_td,0,,,,,
player,201512060mia,rav,AlleJa01,pass_int,0,,,,,
player,201512060mia,rav,AlleJa01,pass_sacked,0,,,,,
player,201512060mia,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201512060mia,rav,AlleJa01,pass_long,0,,,,,
player,201512060mia,rav,AlleJa01,pass_rating,,,,,,
player,201512060mia,rav,AlleJa01,rush_att,17,,,,,
player,201512060mia,rav,AlleJa01,rush_yds,63,,,,,
player,201512060mia,rav,AlleJa01,rush_td,0,,,,,
player,201512060mia,rav,AlleJa01,rush_long,16,,,,,
player,201512060mia,rav,AlleJa01,targets,13,,,,,
player,201512060mia,rav,AlleJa01,rec,12,,,,,
player,201512060mia,rav,AlleJa01,rec_yds,107,,,,,
player,201512060mia,rav,AlleJa01,rec_td,1,,,,,
player,201512060mia,rav,AlleJa01,rec_long,41,,,,,
player,201512060mia,rav,AlleJa01,fumbles,0,,,,,
player,201512060mia,rav,AlleJa01,fumbles_lost,0,,,,,
player,201512060mia,rav,WestTe00,pass_cmp,0,,,,,
player,201512060mia,rav,WestTe00,pass_att,0,,,,,
player,201512060mia,rav,WestTe00,pass_yds,0,,,,,
player,201512060mia,rav,WestTe00,pass_td,0,,,,,
player,201512060mia,rav,WestTe00,pass_int,0,,,,,
player,201512060mia,rav,WestTe00,pass_sacked,0,,,,,
player,201512060mia,rav,WestTe00,pass_sacked_yds,0,,,,,
player,201512060mia,rav,WestTe00,pass_long,0,,,,,
player,201512060mia,rav,WestTe00,pass_rating,,,,,,
player,201512060mia,rav,WestTe00,rush_att,8,,,,,
player,201512060mia,rav,WestTe00,rush_yds,31,,,,,
player,201512060mia,rav,WestTe00,rush_td,0,,,,,
player,201512060mia,rav,WestTe00,rush_long,8,,,,,
player,201512060mia,rav,WestTe00,targets,1,,,,,
player,201512060mia,rav,WestTe00,rec,1,,,,,
player,201512060mia,rav,WestTe00,rec_yds,5,,,,,
player,201512060mia,rav,WestTe00,rec_td,0,,,,,
player,201512060mia,rav,WestTe00,rec_long,5,,,,,
player,201512060mia,rav,WestTe00,fumbles,0,,,,,
player,201512060mia,rav,WestTe00,fumbles_lost,0,,,,,
player,201512060mia,rav,GiveCh00,pass_cmp,0,,,,,
player,201512060mia,rav,GiveCh00,pass_att,0,,,,,
player,201512060mia,rav,GiveCh00,pass_yds,0,,,,,
player,201512060mia,rav,GiveCh00,pass_td,0,,,,,
player,201512060mia,rav,GiveCh00,pass_int,0,,,,,
player,201512060mia,rav,GiveCh00,pass_sacked,0,,,,,
player,201512060mia,rav,GiveCh00,pass_sacked_yds,0,,,,,
player,201512060mia,rav,GiveCh00,pass_long,0,,,,,
player,201512060mia,rav,GiveCh00,pass_rating,,,,,,
player,201512060mia,rav,GiveCh00,rush_att,0,,,,,
player,201512060mia,rav,GiveCh00,rush_yds,0,,,,,
player,201512060mia,rav,GiveCh00,rush_td,0,,,,,
player,201512060mia,rav,GiveCh00,rush_long,0,,,,,
player,201512060mia,rav,GiveCh00,targets,8,,,,,
player,201512060mia,rav,GiveCh00,rec,3,,,,,
player,201512060mia,rav,GiveCh00,rec_yds,68,,,,,
player,201512060mia,rav,GiveCh00,rec_td,0,,,,,
player,201512060mia,rav,GiveCh00,rec_long,36,,,,,
player,201512060mia,rav,GiveCh00,fumbles,0,,,,,
player,201512060mia,rav,GiveCh00,fumbles_lost,0,,,,,
player,201512060mia,rav,AikeKa00,pass_cmp,0,,,,,
player,201512060mia,rav,AikeKa00,pass_att,0,,,,,
player,201512060mia,rav,AikeKa00,pass_yds,0,,,,,
player,201512060mia,rav,AikeKa00,pass_td,0,,,,,
player,201512060mia,rav,AikeKa00,pass_int,0,,,,,
player,201512060mia,rav,AikeKa00,pass_sacked,0,,,,,
player,201512060mia,rav,AikeKa00,pass_sacked_yds,0,,,,,
player,201512060mia,rav,AikeKa00,pass_long,0,,,,,
player,201512060mia,rav,AikeKa00,pass_rating,,,,,,
player,201512060mia,rav,AikeKa00,rush_att,0,,,,,
player,201512060mia,rav,AikeKa00,rush_yds,0,,,,,
player,201512060mia,rav,AikeKa00,rush_td,0,,,,,
player,201512060mia,rav,AikeKa00,rush_long,0,,,,,
player,201512060mia,rav,AikeKa00,targets,11,,,,,
player,201512060mia,rav,AikeKa00,rec,6,,,,,
player,201512060mia,rav,AikeKa00,rec_yds,48,,,,,
player,201512060mia,rav,AikeKa00,rec_td,0,,,,,
player,201512060mia,rav,AikeKa00,rec_long,11,,,,,
player,201512060mia,rav,AikeKa00,fumbles,0,,,,,
player,201512060mia,rav,AikeKa00,fumbles_lost,0,,,,,
player,201512060mia,rav,ButlJe01,pass_cmp,0,,,,,
player,201512060mia,rav,ButlJe01,pass_att,0,,,,,
player,201512060mia,rav,ButlJe01,pass_yds,0,,,,,
player,201512060mia,rav,ButlJe01,pass_td,0,,,,,
player,201512060mia,rav,ButlJe01,pass_int,0,,,,,
player,201512060mia,rav,ButlJe01,pass_sacked,0,,,,,
player,201512060mia,rav,ButlJe01,pass_sacked_yds,0,,,,,
player,201512060mia,rav,ButlJe01,pass_long,0,,,,,
player,201512060mia,rav,ButlJe01,pass_rating,,,,,,
player,201512060mia,rav,ButlJe01,rush_att,0,,,,,
player,201512060mia,rav,ButlJe01,rush_yds,0,,,,,
player,201512060mia,rav,ButlJe01,rush_td,0,,,,,
player,201512060mia,rav,ButlJe01,rush_long,0,,,,,
player,201512060mia,rav,ButlJe01,targets,5,,,,,
player,201512060mia,rav,ButlJe01,rec,4,,,,,
player,201512060mia,rav,ButlJe01,rec_yds,43,,,,,
player,201512060mia,rav,ButlJe01,rec_td,0,,,,,
player,201512060mia,rav,ButlJe01,rec_long,22,,,,,
player,201512060mia,rav,ButlJe01,fumbles,0,,,,,
player,201512060mia,rav,ButlJe01,fumbles_lost,0,,,,,
player,201512060mia,rav,BrowDa04,pass_cmp,0,,,,,
player,201512060mia,rav,BrowDa04,pass_att,0,,,,,
player,201512060mia,rav,BrowDa04,pass_yds,0,,,,,
player,201512060mia,rav,BrowDa04,pass_td,0,,,,,
player,201512060mia,rav,BrowDa04,pass_int,0,,,,,
player,201512060mia,rav,BrowDa04,pass_sacked,0,,,,,
player,201512060mia,rav,BrowDa04,pass_sacked_yds,0,,,,,
player,201512060mia,rav,BrowDa04,pass_long,0,,,,,
player,201512060mia,rav,BrowDa04,pass_rating,,,,,,
player,201512060mia,rav,BrowDa04,rush_att,0,,,,,
player,201512060mia,rav,BrowDa04,rush_yds,0,,,,,
player,201512060mia,rav,BrowDa04,rush_td,0,,,,,
player,201512060mia,rav,BrowDa04,rush_long,0,,,,,
player,201512060mia,rav,BrowDa04,targets,1,,,,,
player,201512060mia,rav,BrowDa04,rec,1,,,,,
player,201512060mia,rav,BrowDa04,rec_yds,17,,,,,
player,201512060mia,rav,BrowDa04,rec_td,0,,,,,
player,201512060mia,rav,BrowDa04,rec_long,17,,,,,
player,201512060mia,rav,BrowDa04,fumbles,0,,,,,
player,201512060mia,rav,BrowDa04,fumbles_lost,0,,,,,
player,201512060mia,rav,BoylNi00,pass_cmp,0,,,,,
player,201512060mia,rav,BoylNi00,pass_att,0,,,,,
player,201512060mia,rav,BoylNi00,pass_yds,0,,,,,
player,201512060mia,rav,BoylNi00,pass_td,0,,,,,
player,201512060mia,rav,BoylNi00,pass_int,0,,,,,
player,201512060mia,rav,BoylNi00,pass_sacked,0,,,,,
player,201512060mia,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201512060mia,rav,BoylNi00,pass_long,0,,,,,
player,201512060mia,rav,BoylNi00,pass_rating,,,,,,
player,201512060mia,rav,BoylNi00,rush_att,0,,,,,
player,201512060mia,rav,BoylNi00,rush_yds,0,,,,,
player,201512060mia,rav,BoylNi00,rush_td,0,,,,,
player,201512060mia,rav,BoylNi00,rush_long,0,,,,,
player,201512060mia,rav,BoylNi00,targets,4,,,,,
player,201512060mia,rav,BoylNi00,rec,3,,,,,
player,201512060mia,rav,BoylNi00,rec_yds,15,,,,,
player,201512060mia,rav,BoylNi00,rec_td,0,,,,,
player,201512060mia,rav,BoylNi00,rec_long,7,,,,,
player,201512060mia,rav,BoylNi00,fumbles,0,,,,,
player,201512060mia,rav,BoylNi00,fumbles_lost,0,,,,,
player,201512060mia,rav,GillCr00,pass_cmp,0,,,,,
player,201512060mia,rav,GillCr00,pass_att,0,,,,,
player,201512060mia,rav,GillCr00,pass_yds,0,,,,,
player,201512060mia,rav,GillCr00,pass_td,0,,,,,
player,201512060mia,rav,GillCr00,pass_int,0,,,,,
player,201512060mia,rav,GillCr00,pass_sacked,0,,,,,
player,201512060mia,rav,GillCr00,pass_sacked_yds,0,,,,,
player,201512060mia,rav,GillCr00,pass_long,0,,,,,
player,201512060mia,rav,GillCr00,pass_rating,,,,,,
player,201512060mia,rav,GillCr00,rush_att,0,,,,,
player,201512060mia,rav,GillCr00,rush_yds,0,,,,,
player,201512060mia,rav,GillCr00,rush_td,0,,,,,
player,201512060mia,rav,GillCr00,rush_long,0,,,,,
player,201512060mia,rav,GillCr00,targets,1,,,,,
player,201512060mia,rav,GillCr00,rec,1,,,,,
player,201512060mia,rav,GillCr00,rec_yds,7,,,,,
player,201512060mia,rav,GillCr00,rec_td,0,,,,,
player,201512060mia,rav,GillCr00,rec_long,7,,,,,
player,201512060mia,rav,GillCr00,fumbles,0,,,,,
player,201512060mia,rav,GillCr00,fumbles_lost,0,,,,,
player,201512060mia,rav,JuszKy00,pass_cmp,0,,,,,
player,201512060mia,rav,JuszKy00,pass_att,0,,,,,
player,201512060mia,rav,JuszKy00,pass_yds,0,,,,,
player,201512060mia,rav,JuszKy00,pass_td,0,,,,,
player,201512060mia,rav,JuszKy00,pass_int,0,,,,,
player,201512060mia,rav,JuszKy00,pass_sacked,0,,,,,
player,201512060mia,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201512060mia,rav,JuszKy00,pass_long,0,,,,,
player,201512060mia,rav,JuszKy00,pass_rating,,,,,,
