game,2015,12,20151129,201511290atl,min,"Minnesota Vikings",20,atl,"Atlanta Falcons",10
team,201511290atl,min,First Downs,24,,,,,,
team,201511290atl,atl,First Downs,22,,,,,,
team,201511290atl,min,Rush-Yds-TDs,39-191-2,,,,,,
team,201511290atl,atl,Rush-Yds-TDs,24-116-0,,,,,,
team,201511290atl,min,Cmp-Att-Yd-TD-INT,20-28-174-0-1,,,,,,
team,201511290atl,atl,Cmp-Att-Yd-TD-INT,22-31-230-1-2,,,,,,
team,201511290atl,min,Sacked-Yards,0-0,,,,,,
team,201511290atl,atl,Sacked-Yards,2-20,,,,,,
team,201511290atl,min,Net Pass Yards,174,,,,,,
team,201511290atl,atl,Net Pass Yards,210,,,,,,
team,201511290atl,min,Total Yards,365,,,,,,
team,201511290atl,atl,Total Yards,326,,,,,,
team,201511290atl,min,Fumbles-Lost,0-0,,,,,,
team,201511290atl,atl,Fumbles-Lost,2-1,,,,,,
team,201511290atl,min,Turnovers,1,,,,,,
team,201511290atl,atl,Turnovers,3,,,,,,
team,201511290atl,min,Penalties-Yards,9-53,,,,,,
team,201511290atl,atl,Penalties-Yards,6-78,,,,,,
team,201511290atl,min,Third Down Conv.,7-12,,,,,,
team,201511290atl,atl,Third Down Conv.,5-11,,,,,,
team,201511290atl,min,Fourth Down Conv.,0-0,,,,,,
team,201511290atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201511290atl,min,Time of Possession,33:28,,,,,,
team,201511290atl,atl,Time of Possession,26:32,,,,,,
player,201511290atl,min,BridTe00,pass_cmp,20,,,,,
player,201511290atl,min,BridTe00,pass_att,28,,,,,
player,201511290atl,min,BridTe00,pass_yds,174,,,,,
player,201511290atl,min,BridTe00,pass_td,0,,,,,
player,201511290atl,min,BridTe00,pass_int,1,,,,,
player,201511290atl,min,BridTe00,pass_sacked,0,,,,,
player,201511290atl,min,BridTe00,pass_sacked_yds,0,,,,,
player,201511290atl,min,BridTe00,pass_long,23,,,,,
player,201511290atl,min,BridTe00,pass_rating,72.6,,,,,
player,201511290atl,min,BridTe00,rush_att,4,,,,,
player,201511290atl,min,BridTe00,rush_yds,-3,,,,,
player,201511290atl,min,BridTe00,rush_td,0,,,,,
player,201511290atl,min,BridTe00,rush_long,1,,,,,
player,201511290atl,min,BridTe00,targets,0,,,,,
player,201511290atl,min,BridTe00,rec,0,,,,,
player,201511290atl,min,BridTe00,rec_yds,0,,,,,
player,201511290atl,min,BridTe00,rec_td,0,,,,,
player,201511290atl,min,BridTe00,rec_long,0,,,,,
player,201511290atl,min,BridTe00,fumbles,0,,,,,
player,201511290atl,min,BridTe00,fumbles_lost,0,,,,,
player,201511290atl,min,PeteAd01,pass_cmp,0,,,,,
player,201511290atl,min,PeteAd01,pass_att,0,,,,,
player,201511290atl,min,PeteAd01,pass_yds,0,,,,,
player,201511290atl,min,PeteAd01,pass_td,0,,,,,
player,201511290atl,min,PeteAd01,pass_int,0,,,,,
player,201511290atl,min,PeteAd01,pass_sacked,0,,,,,
player,201511290atl,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201511290atl,min,PeteAd01,pass_long,0,,,,,
