game,2015,5,20151011,201510110atl,was,"Washington Redskins",19,atl,"Atlanta Falcons",25
player,201510110atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201510110atl,atl,JoneJu02,pass_att,0,,,,,
player,201510110atl,atl,JoneJu02,pass_yds,0,,,,,
player,201510110atl,atl,JoneJu02,pass_td,0,,,,,
player,201510110atl,atl,JoneJu02,pass_int,0,,,,,
player,201510110atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201510110atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201510110atl,atl,JoneJu02,pass_long,0,,,,,
player,201510110atl,atl,JoneJu02,pass_rating,,,,,,
player,201510110atl,atl,JoneJu02,rush_att,0,,,,,
player,201510110atl,atl,JoneJu02,rush_yds,0,,,,,
player,201510110atl,atl,JoneJu02,rush_td,0,,,,,
player,201510110atl,atl,JoneJu02,rush_long,0,,,,,
player,201510110atl,atl,JoneJu02,targets,10,,,,,
player,201510110atl,atl,JoneJu02,rec,5,,,,,
player,201510110atl,atl,JoneJu02,rec_yds,67,,,,,
player,201510110atl,atl,JoneJu02,rec_td,0,,,,,
player,201510110atl,atl,JoneJu02,rec_long,20,,,,,
player,201510110atl,atl,JoneJu02,fumbles,1,,,,,
player,201510110atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201510110atl,atl,WhitRo00,pass_cmp,0,,,,,
player,201510110atl,atl,WhitRo00,pass_att,0,,,,,
player,201510110atl,atl,WhitRo00,pass_yds,0,,,,,
player,201510110atl,atl,WhitRo00,pass_td,0,,,,,
player,201510110atl,atl,WhitRo00,pass_int,0,,,,,
player,201510110atl,atl,WhitRo00,pass_sacked,0,,,,,
player,201510110atl,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201510110atl,atl,WhitRo00,pass_long,0,,,,,
player,201510110atl,atl,WhitRo00,pass_rating,,,,,,
player,201510110atl,atl,WhitRo00,rush_att,0,,,,,
player,201510110atl,atl,WhitRo00,rush_yds,0,,,,,
player,201510110atl,atl,WhitRo00,rush_td,0,,,,,
player,201510110atl,atl,WhitRo00,rush_long,0,,,,,
player,201510110atl,atl,WhitRo00,targets,4,,,,,
