game,2015,14,20151213,201512130rav,sea,"Seattle Seahawks",35,rav,"Baltimore Ravens",6
player,201512130rav,sea,SmitKe04,pass_yds,0,,,,,
player,201512130rav,sea,SmitKe04,pass_td,0,,,,,
player,201512130rav,sea,SmitKe04,pass_int,0,,,,,
player,201512130rav,sea,SmitKe04,pass_sacked,0,,,,,
player,201512130rav,sea,SmitKe04,pass_sacked_yds,0,,,,,
player,201512130rav,sea,SmitKe04,pass_long,0,,,,,
player,201512130rav,sea,SmitKe04,pass_rating,,,,,,
player,201512130rav,sea,SmitKe04,rush_att,0,,,,,
player,201512130rav,sea,SmitKe04,rush_yds,0,,,,,
player,201512130rav,sea,SmitKe04,rush_td,0,,,,,
player,201512130rav,sea,SmitKe04,rush_long,0,,,,,
player,201512130rav,sea,SmitKe04,targets,1,,,,,
player,201512130rav,sea,SmitKe04,rec,1,,,,,
player,201512130rav,sea,SmitKe04,rec_yds,5,,,,,
player,201512130rav,sea,SmitKe04,rec_td,0,,,,,
player,201512130rav,sea,SmitKe04,rec_long,5,,,,,
player,201512130rav,sea,SmitKe04,fumbles,0,,,,,
player,201512130rav,sea,SmitKe04,fumbles_lost,0,,,,,
player,201512130rav,rav,ClauJi00,pass_cmp,23,,,,,
player,201512130rav,rav,ClauJi00,pass_att,40,,,,,
player,201512130rav,rav,ClauJi00,pass_yds,274,,,,,
player,201512130rav,rav,ClauJi00,pass_td,0,,,,,
player,201512130rav,rav,ClauJi00,pass_int,1,,,,,
player,201512130rav,rav,ClauJi00,pass_sacked,1,,,,,
player,201512130rav,rav,ClauJi00,pass_sacked_yds,0,,,,,
player,201512130rav,rav,ClauJi00,pass_long,37,,,,,
player,201512130rav,rav,ClauJi00,pass_rating,68.1,,,,,
player,201512130rav,rav,ClauJi00,rush_att,1,,,,,
player,201512130rav,rav,ClauJi00,rush_yds,-2,,,,,
player,201512130rav,rav,ClauJi00,rush_td,0,,,,,
player,201512130rav,rav,ClauJi00,rush_long,-2,,,,,
player,201512130rav,rav,ClauJi00,targets,0,,,,,
player,201512130rav,rav,ClauJi00,rec,0,,,,,
player,201512130rav,rav,ClauJi00,rec_yds,0,,,,,
player,201512130rav,rav,ClauJi00,rec_td,0,,,,,
player,201512130rav,rav,ClauJi00,rec_long,0,,,,,
player,201512130rav,rav,ClauJi00,fumbles,0,,,,,
player,201512130rav,rav,ClauJi00,fumbles_lost,0,,,,,
player,201512130rav,rav,WestTe00,pass_cmp,0,,,,,
player,201512130rav,rav,WestTe00,pass_att,0,,,,,
player,201512130rav,rav,WestTe00,pass_yds,0,,,,,
player,201512130rav,rav,WestTe00,pass_td,0,,,,,
player,201512130rav,rav,WestTe00,pass_int,0,,,,,
player,201512130rav,rav,WestTe00,pass_sacked,0,,,,,
player,201512130rav,rav,WestTe00,pass_sacked_yds,0,,,,,
player,201512130rav,rav,WestTe00,pass_long,0,,,,,
player,201512130rav,rav,WestTe00,pass_rating,,,,,,
player,201512130rav,rav,WestTe00,rush_att,5,,,,,
player,201512130rav,rav,WestTe00,rush_yds,16,,,,,
player,201512130rav,rav,WestTe00,rush_td,0,,,,,
player,201512130rav,rav,WestTe00,rush_long,17,,,,,
player,201512130rav,rav,WestTe00,targets,0,,,,,
player,201512130rav,rav,WestTe00,rec,0,,,,,
player,201512130rav,rav,WestTe00,rec_yds,0,,,,,
player,201512130rav,rav,WestTe00,rec_td,0,,,,,
player,201512130rav,rav,WestTe00,rec_long,0,,,,,
player,201512130rav,rav,WestTe00,fumbles,0,,,,,
player,201512130rav,rav,WestTe00,fumbles_lost,0,,,,,
player,201512130rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201512130rav,rav,AlleJa01,pass_att,0,,,,,
player,201512130rav,rav,AlleJa01,pass_yds,0,,,,,
player,201512130rav,rav,AlleJa01,pass_td,0,,,,,
player,201512130rav,rav,AlleJa01,pass_int,0,,,,,
player,201512130rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201512130rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201512130rav,rav,AlleJa01,pass_long,0,,,,,
player,201512130rav,rav,AlleJa01,pass_rating,,,,,,
player,201512130rav,rav,AlleJa01,rush_att,8,,,,,
player,201512130rav,rav,AlleJa01,rush_yds,14,,,,,
player,201512130rav,rav,AlleJa01,rush_td,0,,,,,
player,201512130rav,rav,AlleJa01,rush_long,5,,,,,
player,201512130rav,rav,AlleJa01,targets,9,,,,,
player,201512130rav,rav,AlleJa01,rec,5,,,,,
