game,2015,5,20151012,201510120sdg,pit,"Pittsburgh Steelers",24,sdg,"San Diego Chargers",20
player,201510120sdg,sdg,GreeLa00,rush_td,0,,,,,
player,201510120sdg,sdg,GreeLa00,rush_long,0,,,,,
player,201510120sdg,sdg,GreeLa00,targets,5,,,,,
player,201510120sdg,sdg,GreeLa00,rec,5,,,,,
player,201510120sdg,sdg,GreeLa00,rec_yds,50,,,,,
player,201510120sdg,sdg,GreeLa00,rec_td,0,,,,,
player,201510120sdg,sdg,GreeLa00,rec_long,24,,,,,
player,201510120sdg,sdg,GreeLa00,fumbles,0,,,,,
player,201510120sdg,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201510120sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201510120sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201510120sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201510120sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201510120sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201510120sdg,sdg,FloyMa00,targets,4,,,,,
player,201510120sdg,sdg,FloyMa00,rec,3,,,,,
player,201510120sdg,sdg,FloyMa00,rec_yds,48,,,,,
player,201510120sdg,sdg,FloyMa00,rec_td,0,,,,,
player,201510120sdg,sdg,FloyMa00,rec_long,32,,,,,
player,201510120sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201510120sdg,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_cmp,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_att,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_yds,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_td,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_int,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_sacked,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_long,0,,,,,
player,201510120sdg,sdg,InmaDo00,pass_rating,,,,,,
player,201510120sdg,sdg,InmaDo00,rush_att,0,,,,,
player,201510120sdg,sdg,InmaDo00,rush_yds,0,,,,,
player,201510120sdg,sdg,InmaDo00,rush_td,0,,,,,
player,201510120sdg,sdg,InmaDo00,rush_long,0,,,,,
player,201510120sdg,sdg,InmaDo00,targets,2,,,,,
player,201510120sdg,sdg,InmaDo00,rec,0,,,,,
player,201510120sdg,sdg,InmaDo00,rec_yds,0,,,,,
player,201510120sdg,sdg,InmaDo00,rec_td,0,,,,,
player,201510120sdg,sdg,InmaDo00,rec_long,0,,,,,
player,201510120sdg,sdg,InmaDo00,fumbles,0,,,,,
player,201510120sdg,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201510120sdg,pit,BlakAn00,def_int,1,,,,,
player,201510120sdg,pit,BlakAn00,def_int_yds,70,,,,,
player,201510120sdg,pit,BlakAn00,def_int_td,1,,,,,
player,201510120sdg,pit,BlakAn00,def_int_long,70,,,,,
player,201510120sdg,pit,BlakAn00,pass_defended,1,,,,,
player,201510120sdg,pit,BlakAn00,sacks,0.0,,,,,
player,201510120sdg,pit,BlakAn00,tackles_combined,3,,,,,
player,201510120sdg,pit,BlakAn00,tackles_solo,2,,,,,
player,201510120sdg,pit,BlakAn00,tackles_assists,1,,,,,
player,201510120sdg,pit,BlakAn00,tackles_loss,1,,,,,
player,201510120sdg,pit,BlakAn00,qb_hits,0,,,,,
player,201510120sdg,pit,BlakAn00,fumbles_rec,0,,,,,
player,201510120sdg,pit,BlakAn00,fumbles_rec_yds,0,,,,,
player,201510120sdg,pit,BlakAn00,fumbles_rec_td,0,,,,,
player,201510120sdg,pit,BlakAn00,fumbles_forced,0,,,,,
player,201510120sdg,pit,JoneJa05,def_int,0,,,,,
player,201510120sdg,pit,JoneJa05,def_int_yds,0,,,,,
player,201510120sdg,pit,JoneJa05,def_int_td,0,,,,,
player,201510120sdg,pit,JoneJa05,def_int_long,0,,,,,
player,201510120sdg,pit,JoneJa05,pass_defended,0,,,,,
player,201510120sdg,pit,JoneJa05,sacks,1.0,,,,,
player,201510120sdg,pit,JoneJa05,tackles_combined,5,,,,,
player,201510120sdg,pit,JoneJa05,tackles_solo,4,,,,,
player,201510120sdg,pit,JoneJa05,tackles_assists,1,,,,,
player,201510120sdg,pit,JoneJa05,tackles_loss,1,,,,,
player,201510120sdg,pit,JoneJa05,qb_hits,1,,,,,
player,201510120sdg,pit,JoneJa05,fumbles_rec,0,,,,,
player,201510120sdg,pit,JoneJa05,fumbles_rec_yds,0,,,,,
player,201510120sdg,pit,JoneJa05,fumbles_rec_td,0,,,,,
player,201510120sdg,pit,JoneJa05,fumbles_forced,1,,,,,
player,201510120sdg,pit,DuprAl00,def_int,0,,,,,
player,201510120sdg,pit,DuprAl00,def_int_yds,0,,,,,
player,201510120sdg,pit,DuprAl00,def_int_td,0,,,,,
player,201510120sdg,pit,DuprAl00,def_int_long,0,,,,,
player,201510120sdg,pit,DuprAl00,pass_defended,0,,,,,
player,201510120sdg,pit,DuprAl00,sacks,1.0,,,,,
player,201510120sdg,pit,DuprAl00,tackles_combined,2,,,,,
player,201510120sdg,pit,DuprAl00,tackles_solo,2,,,,,
player,201510120sdg,pit,DuprAl00,tackles_assists,0,,,,,
player,201510120sdg,pit,DuprAl00,tackles_loss,1,,,,,
player,201510120sdg,pit,DuprAl00,qb_hits,1,,,,,
player,201510120sdg,pit,DuprAl00,fumbles_rec,0,,,,,
player,201510120sdg,pit,DuprAl00,fumbles_rec_yds,0,,,,,
player,201510120sdg,pit,DuprAl00,fumbles_rec_td,0,,,,,
player,201510120sdg,pit,DuprAl00,fumbles_forced,0,,,,,
player,201510120sdg,pit,SpenSe00,def_int,0,,,,,
player,201510120sdg,pit,SpenSe00,def_int_yds,0,,,,,
player,201510120sdg,pit,SpenSe00,def_int_td,0,,,,,
player,201510120sdg,pit,SpenSe00,def_int_long,0,,,,,
player,201510120sdg,pit,SpenSe00,pass_defended,0,,,,,
player,201510120sdg,pit,SpenSe00,sacks,0.0,,,,,
player,201510120sdg,pit,SpenSe00,tackles_combined,8,,,,,
player,201510120sdg,pit,SpenSe00,tackles_solo,8,,,,,
player,201510120sdg,pit,SpenSe00,tackles_assists,0,,,,,
player,201510120sdg,pit,SpenSe00,tackles_loss,0,,,,,
player,201510120sdg,pit,SpenSe00,qb_hits,0,,,,,
player,201510120sdg,pit,SpenSe00,fumbles_rec,0,,,,,
player,201510120sdg,pit,SpenSe00,fumbles_rec_yds,0,,,,,
player,201510120sdg,pit,SpenSe00,fumbles_rec_td,0,,,,,
player,201510120sdg,pit,SpenSe00,fumbles_forced,0,,,,,
player,201510120sdg,pit,TimmLa99,def_int,0,,,,,
player,201510120sdg,pit,TimmLa99,def_int_yds,0,,,,,
player,201510120sdg,pit,TimmLa99,def_int_td,0,,,,,
player,201510120sdg,pit,TimmLa99,def_int_long,0,,,,,
player,201510120sdg,pit,TimmLa99,pass_defended,1,,,,,
player,201510120sdg,pit,TimmLa99,sacks,0.0,,,,,
player,201510120sdg,pit,TimmLa99,tackles_combined,8,,,,,
player,201510120sdg,pit,TimmLa99,tackles_solo,4,,,,,
player,201510120sdg,pit,TimmLa99,tackles_assists,4,,,,,
player,201510120sdg,pit,TimmLa99,tackles_loss,2,,,,,
player,201510120sdg,pit,TimmLa99,qb_hits,0,,,,,
player,201510120sdg,pit,TimmLa99,fumbles_rec,0,,,,,
player,201510120sdg,pit,TimmLa99,fumbles_rec_yds,0,,,,,
player,201510120sdg,pit,TimmLa99,fumbles_rec_td,0,,,,,
