game,2015,15,20151217,201512170ram,tam,"Tampa Bay Buccaneers",23,ram,"St. Louis Rams",31
team,201512170ram,tam,First Downs,30,,,,,,
team,201512170ram,ram,First Downs,16,,,,,,
team,201512170ram,tam,Rush-Yds-TDs,27-146-0,,,,,,
team,201512170ram,ram,Rush-Yds-TDs,33-98-2,,,,,,
team,201512170ram,tam,Cmp-Att-Yd-TD-INT,29-50-363-2-1,,,,,,
team,201512170ram,ram,Cmp-Att-Yd-TD-INT,14-17-234-2-0,,,,,,
team,201512170ram,tam,Sacked-Yards,0-0,,,,,,
team,201512170ram,ram,Sacked-Yards,2-13,,,,,,
team,201512170ram,tam,Net Pass Yards,363,,,,,,
team,201512170ram,ram,Net Pass Yards,221,,,,,,
team,201512170ram,tam,Total Yards,509,,,,,,
team,201512170ram,ram,Total Yards,319,,,,,,
team,201512170ram,tam,Fumbles-Lost,2-1,,,,,,
team,201512170ram,ram,Fumbles-Lost,0-0,,,,,,
team,201512170ram,tam,Turnovers,2,,,,,,
team,201512170ram,ram,Turnovers,0,,,,,,
team,201512170ram,tam,Penalties-Yards,9-56,,,,,,
team,201512170ram,ram,Penalties-Yards,5-35,,,,,,
team,201512170ram,tam,Third Down Conv.,3-10,,,,,,
team,201512170ram,ram,Third Down Conv.,2-10,,,,,,
team,201512170ram,tam,Fourth Down Conv.,0-1,,,,,,
team,201512170ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201512170ram,tam,Time of Possession,31:20,,,,,,
team,201512170ram,ram,Time of Possession,28:40,,,,,,
player,201512170ram,tam,WinsJa00,pass_cmp,29,,,,,
player,201512170ram,tam,WinsJa00,pass_att,50,,,,,
player,201512170ram,tam,WinsJa00,pass_yds,363,,,,,
player,201512170ram,tam,WinsJa00,pass_td,2,,,,,
player,201512170ram,tam,WinsJa00,pass_int,1,,,,,
player,201512170ram,tam,WinsJa00,pass_sacked,0,,,,,
player,201512170ram,tam,WinsJa00,pass_sacked_yds,0,,,,,
player,201512170ram,tam,WinsJa00,pass_long,44,,,,,
player,201512170ram,tam,WinsJa00,pass_rating,85.7,,,,,
player,201512170ram,tam,WinsJa00,rush_att,2,,,,,
player,201512170ram,tam,WinsJa00,rush_yds,5,,,,,
player,201512170ram,tam,WinsJa00,rush_td,0,,,,,
player,201512170ram,tam,WinsJa00,rush_long,5,,,,,
player,201512170ram,tam,WinsJa00,targets,0,,,,,
player,201512170ram,tam,WinsJa00,rec,0,,,,,
player,201512170ram,tam,WinsJa00,rec_yds,0,,,,,
player,201512170ram,tam,WinsJa00,rec_td,0,,,,,
player,201512170ram,tam,WinsJa00,rec_long,0,,,,,
player,201512170ram,tam,WinsJa00,fumbles,1,,,,,
player,201512170ram,tam,WinsJa00,fumbles_lost,1,,,,,
player,201512170ram,tam,MartDo00,pass_cmp,0,,,,,
player,201512170ram,tam,MartDo00,pass_att,0,,,,,
player,201512170ram,tam,MartDo00,pass_yds,0,,,,,
player,201512170ram,tam,MartDo00,pass_td,0,,,,,
player,201512170ram,tam,MartDo00,pass_int,0,,,,,
player,201512170ram,tam,MartDo00,pass_sacked,0,,,,,
player,201512170ram,tam,MartDo00,pass_sacked_yds,0,,,,,
