game,2015,7,20151022,201510220sfo,sea,"Seattle Seahawks",20,sfo,"San Francisco 49ers",3
team,201510220sfo,sea,First Downs,21,,,,,,
team,201510220sfo,sfo,First Downs,8,,,,,,
team,201510220sfo,sea,Rush-Yds-TDs,41-176-1,,,,,,
team,201510220sfo,sfo,Rush-Yds-TDs,15-61-0,,,,,,
team,201510220sfo,sea,Cmp-Att-Yd-TD-INT,18-24-235-1-2,,,,,,
team,201510220sfo,sfo,Cmp-Att-Yd-TD-INT,13-24-124-0-0,,,,,,
team,201510220sfo,sea,Sacked-Yards,5-23,,,,,,
team,201510220sfo,sfo,Sacked-Yards,6-43,,,,,,
team,201510220sfo,sea,Net Pass Yards,212,,,,,,
team,201510220sfo,sfo,Net Pass Yards,81,,,,,,
team,201510220sfo,sea,Total Yards,388,,,,,,
team,201510220sfo,sfo,Total Yards,142,,,,,,
team,201510220sfo,sea,Fumbles-Lost,0-0,,,,,,
team,201510220sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201510220sfo,sea,Turnovers,2,,,,,,
team,201510220sfo,sfo,Turnovers,0,,,,,,
team,201510220sfo,sea,Penalties-Yards,6-50,,,,,,
team,201510220sfo,sfo,Penalties-Yards,4-33,,,,,,
team,201510220sfo,sea,Third Down Conv.,5-13,,,,,,
team,201510220sfo,sfo,Third Down Conv.,1-11,,,,,,
team,201510220sfo,sea,Fourth Down Conv.,1-1,,,,,,
team,201510220sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201510220sfo,sea,Time of Possession,38:05,,,,,,
team,201510220sfo,sfo,Time of Possession,21:55,,,,,,
player,201510220sfo,sea,WilsRu00,pass_cmp,18,,,,,
player,201510220sfo,sea,WilsRu00,pass_att,24,,,,,
player,201510220sfo,sea,WilsRu00,pass_yds,235,,,,,
player,201510220sfo,sea,WilsRu00,pass_td,1,,,,,
player,201510220sfo,sea,WilsRu00,pass_int,2,,,,,
player,201510220sfo,sea,WilsRu00,pass_sacked,5,,,,,
player,201510220sfo,sea,WilsRu00,pass_sacked_yds,23,,,,,
player,201510220sfo,sea,WilsRu00,pass_long,43,,,,,
player,201510220sfo,sea,WilsRu00,pass_rating,84.5,,,,,
player,201510220sfo,sea,WilsRu00,rush_att,7,,,,,
player,201510220sfo,sea,WilsRu00,rush_yds,20,,,,,
player,201510220sfo,sea,WilsRu00,rush_td,0,,,,,
player,201510220sfo,sea,WilsRu00,rush_long,9,,,,,
player,201510220sfo,sea,WilsRu00,targets,0,,,,,
player,201510220sfo,sea,WilsRu00,rec,0,,,,,
player,201510220sfo,sea,WilsRu00,rec_yds,0,,,,,
player,201510220sfo,sea,WilsRu00,rec_td,0,,,,,
player,201510220sfo,sea,WilsRu00,rec_long,0,,,,,
player,201510220sfo,sea,WilsRu00,fumbles,0,,,,,
player,201510220sfo,sea,WilsRu00,fumbles_lost,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_cmp,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_att,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_yds,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_td,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_int,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_sacked,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_long,0,,,,,
player,201510220sfo,sea,LyncMa00,pass_rating,,,,,,
player,201510220sfo,sea,LyncMa00,rush_att,27,,,,,
player,201510220sfo,sea,LyncMa00,rush_yds,122,,,,,
player,201510220sfo,sea,LyncMa00,rush_td,1,,,,,
player,201510220sfo,sea,LyncMa00,rush_long,17,,,,,
player,201510220sfo,sea,LyncMa00,targets,0,,,,,
player,201510220sfo,sea,LyncMa00,rec,0,,,,,
player,201510220sfo,sea,LyncMa00,rec_yds,0,,,,,
player,201510220sfo,sea,LyncMa00,rec_td,0,,,,,
player,201510220sfo,sea,LyncMa00,rec_long,0,,,,,
player,201510220sfo,sea,LyncMa00,fumbles,0,,,,,
player,201510220sfo,sea,LyncMa00,fumbles_lost,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_cmp,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_att,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_yds,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_td,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_int,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_sacked,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201510220sfo,sea,RawlTh00,pass_long,0,,,,,
