game,2015,1,20150913,201509130chi,gnb,"Green Bay Packers",31,chi,"Chicago Bears",23
team,201509130chi,gnb,First Downs,21,,,,,,
team,201509130chi,chi,First Downs,25,,,,,,
team,201509130chi,gnb,Rush-Yds-TDs,30-133-1,,,,,,
team,201509130chi,chi,Rush-Yds-TDs,33-189-1,,,,,,
team,201509130chi,gnb,Cmp-Att-Yd-TD-INT,18-23-189-3-0,,,,,,
team,201509130chi,chi,Cmp-Att-Yd-TD-INT,18-36-225-1-1,,,,,,
team,201509130chi,gnb,Sacked-Yards,0-0,,,,,,
team,201509130chi,chi,Sacked-Yards,2-12,,,,,,
team,201509130chi,gnb,Net Pass Yards,189,,,,,,
team,201509130chi,chi,Net Pass Yards,213,,,,,,
team,201509130chi,gnb,Total Yards,322,,,,,,
team,201509130chi,chi,Total Yards,402,,,,,,
team,201509130chi,gnb,Fumbles-Lost,0-0,,,,,,
team,201509130chi,chi,Fumbles-Lost,0-0,,,,,,
team,201509130chi,gnb,Turnovers,0,,,,,,
team,201509130chi,chi,Turnovers,1,,,,,,
team,201509130chi,gnb,Penalties-Yards,10-74,,,,,,
team,201509130chi,chi,Penalties-Yards,6-64,,,,,,
team,201509130chi,gnb,Third Down Conv.,6-10,,,,,,
team,201509130chi,chi,Third Down Conv.,11-17,,,,,,
team,201509130chi,gnb,Fourth Down Conv.,1-1,,,,,,
team,201509130chi,chi,Fourth Down Conv.,2-3,,,,,,
team,201509130chi,gnb,Time of Possession,28:08,,,,,,
team,201509130chi,chi,Time of Possession,31:52,,,,,,
player,201509130chi,gnb,RodgAa00,pass_cmp,18,,,,,
player,201509130chi,gnb,RodgAa00,pass_att,23,,,,,
player,201509130chi,gnb,RodgAa00,pass_yds,189,,,,,
player,201509130chi,gnb,RodgAa00,pass_td,3,,,,,
player,201509130chi,gnb,RodgAa00,pass_int,0,,,,,
player,201509130chi,gnb,RodgAa00,pass_sacked,0,,,,,
player,201509130chi,gnb,RodgAa00,pass_sacked_yds,0,,,,,
player,201509130chi,gnb,RodgAa00,pass_long,34,,,,,
player,201509130chi,gnb,RodgAa00,pass_rating,140.5,,,,,
player,201509130chi,gnb,RodgAa00,rush_att,8,,,,,
player,201509130chi,gnb,RodgAa00,rush_yds,35,,,,,
player,201509130chi,gnb,RodgAa00,rush_td,0,,,,,
player,201509130chi,gnb,RodgAa00,rush_long,15,,,,,
player,201509130chi,gnb,RodgAa00,targets,0,,,,,
player,201509130chi,gnb,RodgAa00,rec,0,,,,,
player,201509130chi,gnb,RodgAa00,rec_yds,0,,,,,
player,201509130chi,gnb,RodgAa00,rec_td,0,,,,,
player,201509130chi,gnb,RodgAa00,rec_long,0,,,,,
player,201509130chi,gnb,RodgAa00,fumbles,0,,,,,
player,201509130chi,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_cmp,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_att,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_yds,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_td,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_int,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_sacked,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_long,0,,,,,
player,201509130chi,gnb,LacyEd00,pass_rating,,,,,,
player,201509130chi,gnb,LacyEd00,rush_att,19,,,,,
player,201509130chi,gnb,LacyEd00,rush_yds,85,,,,,
