game,2015,3,20150927,201509270htx,tam,"Tampa Bay Buccaneers",9,htx,"Houston Texans",19
team,201509270htx,tam,First Downs,14,,,,,,
team,201509270htx,htx,First Downs,30,,,,,,
team,201509270htx,tam,Rush-Yds-TDs,20-57-0,,,,,,
team,201509270htx,htx,Rush-Yds-TDs,46-186-1,,,,,,
team,201509270htx,tam,Cmp-Att-Yd-TD-INT,17-36-261-1-1,,,,,,
team,201509270htx,htx,Cmp-Att-Yd-TD-INT,24-39-228-1-1,,,,,,
team,201509270htx,tam,Sacked-Yards,0-0,,,,,,
team,201509270htx,htx,Sacked-Yards,1-1,,,,,,
team,201509270htx,tam,Net Pass Yards,261,,,,,,
team,201509270htx,htx,Net Pass Yards,227,,,,,,
team,201509270htx,tam,Total Yards,318,,,,,,
team,201509270htx,htx,Total Yards,413,,,,,,
team,201509270htx,tam,Fumbles-Lost,2-0,,,,,,
team,201509270htx,htx,Fumbles-Lost,2-0,,,,,,
team,201509270htx,tam,Turnovers,1,,,,,,
team,201509270htx,htx,Turnovers,1,,,,,,
team,201509270htx,tam,Penalties-Yards,10-84,,,,,,
team,201509270htx,htx,Penalties-Yards,6-58,,,,,,
team,201509270htx,tam,Third Down Conv.,1-12,,,,,,
team,201509270htx,htx,Third Down Conv.,8-18,,,,,,
team,201509270htx,tam,Fourth Down Conv.,0-0,,,,,,
team,201509270htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201509270htx,tam,Time of Possession,23:44,,,,,,
team,201509270htx,htx,Time of Possession,36:16,,,,,,
player,201509270htx,tam,WinsJa00,pass_cmp,17,,,,,
player,201509270htx,tam,WinsJa00,pass_att,36,,,,,
player,201509270htx,tam,WinsJa00,pass_yds,261,,,,,
player,201509270htx,tam,WinsJa00,pass_td,1,,,,,
player,201509270htx,tam,WinsJa00,pass_int,1,,,,,
player,201509270htx,tam,WinsJa00,pass_sacked,0,,,,,
player,201509270htx,tam,WinsJa00,pass_sacked_yds,0,,,,,
player,201509270htx,tam,WinsJa00,pass_long,33,,,,,
player,201509270htx,tam,WinsJa00,pass_rating,69.3,,,,,
player,201509270htx,tam,WinsJa00,rush_att,0,,,,,
player,201509270htx,tam,WinsJa00,rush_yds,0,,,,,
player,201509270htx,tam,WinsJa00,rush_td,0,,,,,
player,201509270htx,tam,WinsJa00,rush_long,0,,,,,
player,201509270htx,tam,WinsJa00,targets,0,,,,,
