game,2015,14,20151213,201512130cle,sfo,"San Francisco 49ers",10,cle,"Cleveland Browns",24
team,201512130cle,sfo,First Downs,15,,,,,,
team,201512130cle,cle,First Downs,28,,,,,,
team,201512130cle,sfo,Rush-Yds-TDs,17-71-0,,,,,,
team,201512130cle,cle,Rush-Yds-TDs,41-230-2,,,,,,
team,201512130cle,sfo,Cmp-Att-Yd-TD-INT,18-28-194-1-0,,,,,,
team,201512130cle,cle,Cmp-Att-Yd-TD-INT,21-31-270-1-1,,,,,,
team,201512130cle,sfo,Sacked-Yards,9-44,,,,,,
team,201512130cle,cle,Sacked-Yards,2-19,,,,,,
team,201512130cle,sfo,Net Pass Yards,150,,,,,,
team,201512130cle,cle,Net Pass Yards,251,,,,,,
team,201512130cle,sfo,Total Yards,221,,,,,,
team,201512130cle,cle,Total Yards,481,,,,,,
team,201512130cle,sfo,Fumbles-Lost,1-0,,,,,,
team,201512130cle,cle,Fumbles-Lost,3-1,,,,,,
team,201512130cle,sfo,Turnovers,0,,,,,,
team,201512130cle,cle,Turnovers,2,,,,,,
team,201512130cle,sfo,Penalties-Yards,5-40,,,,,,
team,201512130cle,cle,Penalties-Yards,8-71,,,,,,
team,201512130cle,sfo,Third Down Conv.,2-13,,,,,,
team,201512130cle,cle,Third Down Conv.,6-12,,,,,,
team,201512130cle,sfo,Fourth Down Conv.,1-3,,,,,,
team,201512130cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201512130cle,sfo,Time of Possession,22:21,,,,,,
team,201512130cle,cle,Time of Possession,37:39,,,,,,
player,201512130cle,sfo,GabbBl00,pass_cmp,18,,,,,
player,201512130cle,sfo,GabbBl00,pass_att,28,,,,,
player,201512130cle,sfo,GabbBl00,pass_yds,194,,,,,
player,201512130cle,sfo,GabbBl00,pass_td,1,,,,,
player,201512130cle,sfo,GabbBl00,pass_int,0,,,,,
player,201512130cle,sfo,GabbBl00,pass_sacked,9,,,,,
player,201512130cle,sfo,GabbBl00,pass_sacked_yds,44,,,,,
player,201512130cle,sfo,GabbBl00,pass_long,24,,,,,
player,201512130cle,sfo,GabbBl00,pass_rating,96.4,,,,,
player,201512130cle,sfo,GabbBl00,rush_att,3,,,,,
player,201512130cle,sfo,GabbBl00,rush_yds,19,,,,,
player,201512130cle,sfo,GabbBl00,rush_td,0,,,,,
player,201512130cle,sfo,GabbBl00,rush_long,11,,,,,
player,201512130cle,sfo,GabbBl00,targets,0,,,,,
player,201512130cle,sfo,GabbBl00,rec,0,,,,,
player,201512130cle,sfo,GabbBl00,rec_yds,0,,,,,
player,201512130cle,sfo,GabbBl00,rec_td,0,,,,,
player,201512130cle,sfo,GabbBl00,rec_long,0,,,,,
player,201512130cle,sfo,GabbBl00,fumbles,1,,,,,
player,201512130cle,sfo,GabbBl00,fumbles_lost,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_cmp,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_att,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_yds,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_td,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_int,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_sacked,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_sacked_yds,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_long,0,,,,,
player,201512130cle,sfo,DrauSh00,pass_rating,,,,,,
player,201512130cle,sfo,DrauSh00,rush_att,11,,,,,
player,201512130cle,sfo,DrauSh00,rush_yds,43,,,,,
player,201512130cle,sfo,DrauSh00,rush_td,0,,,,,
player,201512130cle,sfo,DrauSh00,rush_long,15,,,,,
player,201512130cle,sfo,DrauSh00,targets,3,,,,,
player,201512130cle,sfo,DrauSh00,rec,2,,,,,
player,201512130cle,sfo,DrauSh00,rec_yds,8,,,,,
player,201512130cle,sfo,DrauSh00,rec_td,0,,,,,
player,201512130cle,sfo,DrauSh00,rec_long,7,,,,,
