game,2015,1,20150913,201509130den,rav,"Baltimore Ravens",13,den,"Denver Broncos",19
team,201509130den,rav,First Downs,11,,,,,,
team,201509130den,den,First Downs,16,,,,,,
team,201509130den,rav,Rush-Yds-TDs,23-73-0,,,,,,
team,201509130den,den,Rush-Yds-TDs,25-69-0,,,,,,
team,201509130den,rav,Cmp-Att-Yd-TD-INT,18-32-117-0-2,,,,,,
team,201509130den,den,Cmp-Att-Yd-TD-INT,24-40-175-0-1,,,,,,
team,201509130den,rav,Sacked-Yards,2-17,,,,,,
team,201509130den,den,Sacked-Yards,4-25,,,,,,
team,201509130den,rav,Net Pass Yards,100,,,,,,
team,201509130den,den,Net Pass Yards,150,,,,,,
team,201509130den,rav,Total Yards,173,,,,,,
team,201509130den,den,Total Yards,219,,,,,,
team,201509130den,rav,Fumbles-Lost,0-0,,,,,,
team,201509130den,den,Fumbles-Lost,0-0,,,,,,
team,201509130den,rav,Turnovers,2,,,,,,
team,201509130den,den,Turnovers,1,,,,,,
team,201509130den,rav,Penalties-Yards,3-15,,,,,,
team,201509130den,den,Penalties-Yards,8-45,,,,,,
team,201509130den,rav,Third Down Conv.,2-13,,,,,,
team,201509130den,den,Third Down Conv.,8-18,,,,,,
team,201509130den,rav,Fourth Down Conv.,1-1,,,,,,
team,201509130den,den,Fourth Down Conv.,0-0,,,,,,
team,201509130den,rav,Time of Possession,22:43,,,,,,
team,201509130den,den,Time of Possession,37:17,,,,,,
player,201509130den,rav,FlacJo00,pass_cmp,18,,,,,
player,201509130den,rav,FlacJo00,pass_att,32,,,,,
player,201509130den,rav,FlacJo00,pass_yds,117,,,,,
player,201509130den,rav,FlacJo00,pass_td,0,,,,,
player,201509130den,rav,FlacJo00,pass_int,2,,,,,
player,201509130den,rav,FlacJo00,pass_sacked,2,,,,,
player,201509130den,rav,FlacJo00,pass_sacked_yds,17,,,,,
player,201509130den,rav,FlacJo00,pass_long,22,,,,,
player,201509130den,rav,FlacJo00,pass_rating,38.2,,,,,
player,201509130den,rav,FlacJo00,rush_att,0,,,,,
player,201509130den,rav,FlacJo00,rush_yds,0,,,,,
player,201509130den,rav,FlacJo00,rush_td,0,,,,,
player,201509130den,rav,FlacJo00,rush_long,0,,,,,
player,201509130den,rav,FlacJo00,targets,0,,,,,
player,201509130den,rav,FlacJo00,rec,0,,,,,
player,201509130den,rav,FlacJo00,rec_yds,0,,,,,
player,201509130den,rav,FlacJo00,rec_td,0,,,,,
player,201509130den,rav,FlacJo00,rec_long,0,,,,,
player,201509130den,rav,FlacJo00,fumbles,0,,,,,
player,201509130den,rav,FlacJo00,fumbles_lost,0,,,,,
player,201509130den,rav,ForsJu00,pass_cmp,0,,,,,
player,201509130den,rav,ForsJu00,pass_att,0,,,,,
player,201509130den,rav,ForsJu00,pass_yds,0,,,,,
player,201509130den,rav,ForsJu00,pass_td,0,,,,,
player,201509130den,rav,ForsJu00,pass_int,0,,,,,
player,201509130den,rav,ForsJu00,pass_sacked,0,,,,,
player,201509130den,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201509130den,rav,ForsJu00,pass_long,0,,,,,
player,201509130den,rav,ForsJu00,pass_rating,,,,,,
player,201509130den,rav,ForsJu00,rush_att,14,,,,,
player,201509130den,rav,ForsJu00,rush_yds,43,,,,,
player,201509130den,rav,ForsJu00,rush_td,0,,,,,
player,201509130den,rav,ForsJu00,rush_long,20,,,,,
player,201509130den,rav,ForsJu00,targets,7,,,,,
player,201509130den,rav,ForsJu00,rec,4,,,,,
player,201509130den,rav,ForsJu00,rec_yds,13,,,,,
player,201509130den,rav,ForsJu00,rec_td,0,,,,,
player,201509130den,rav,ForsJu00,rec_long,7,,,,,
player,201509130den,rav,ForsJu00,fumbles,0,,,,,
player,201509130den,rav,ForsJu00,fumbles_lost,0,,,,,
player,201509130den,rav,AlleJa01,pass_cmp,0,,,,,
player,201509130den,rav,AlleJa01,pass_att,0,,,,,
player,201509130den,rav,AlleJa01,pass_yds,0,,,,,
player,201509130den,rav,AlleJa01,pass_td,0,,,,,
player,201509130den,rav,AlleJa01,pass_int,0,,,,,
player,201509130den,rav,AlleJa01,pass_sacked,0,,,,,
player,201509130den,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201509130den,rav,AlleJa01,pass_long,0,,,,,
player,201509130den,rav,AlleJa01,pass_rating,,,,,,
player,201509130den,rav,AlleJa01,rush_att,9,,,,,
player,201509130den,rav,AlleJa01,rush_yds,30,,,,,
player,201509130den,rav,AlleJa01,rush_td,0,,,,,
player,201509130den,rav,AlleJa01,rush_long,8,,,,,
player,201509130den,rav,AlleJa01,targets,1,,,,,
player,201509130den,rav,AlleJa01,rec,1,,,,,
player,201509130den,rav,AlleJa01,rec_yds,4,,,,,
player,201509130den,rav,AlleJa01,rec_td,0,,,,,
player,201509130den,rav,AlleJa01,rec_long,4,,,,,
player,201509130den,rav,AlleJa01,fumbles,0,,,,,
player,201509130den,rav,AlleJa01,fumbles_lost,0,,,,,
player,201509130den,rav,BrowMa00,pass_cmp,0,,,,,
player,201509130den,rav,BrowMa00,pass_att,0,,,,,
player,201509130den,rav,BrowMa00,pass_yds,0,,,,,
player,201509130den,rav,BrowMa00,pass_td,0,,,,,
player,201509130den,rav,BrowMa00,pass_int,0,,,,,
player,201509130den,rav,BrowMa00,pass_sacked,0,,,,,
player,201509130den,rav,BrowMa00,pass_sacked_yds,0,,,,,
player,201509130den,rav,BrowMa00,pass_long,0,,,,,
player,201509130den,rav,BrowMa00,pass_rating,,,,,,
player,201509130den,rav,BrowMa00,rush_att,0,,,,,
player,201509130den,rav,BrowMa00,rush_yds,0,,,,,
player,201509130den,rav,BrowMa00,rush_td,0,,,,,
player,201509130den,rav,BrowMa00,rush_long,0,,,,,
player,201509130den,rav,BrowMa00,targets,2,,,,,
player,201509130den,rav,BrowMa00,rec,2,,,,,
player,201509130den,rav,BrowMa00,rec_yds,25,,,,,
player,201509130den,rav,BrowMa00,rec_td,0,,,,,
player,201509130den,rav,BrowMa00,rec_long,22,,,,,
player,201509130den,rav,BrowMa00,fumbles,0,,,,,
player,201509130den,rav,BrowMa00,fumbles_lost,0,,,,,
player,201509130den,rav,GillCr00,pass_cmp,0,,,,,
player,201509130den,rav,GillCr00,pass_att,0,,,,,
player,201509130den,rav,GillCr00,pass_yds,0,,,,,
player,201509130den,rav,GillCr00,pass_td,0,,,,,
player,201509130den,rav,GillCr00,pass_int,0,,,,,
player,201509130den,rav,GillCr00,pass_sacked,0,,,,,
player,201509130den,rav,GillCr00,pass_sacked_yds,0,,,,,
player,201509130den,rav,GillCr00,pass_long,0,,,,,
player,201509130den,rav,GillCr00,pass_rating,,,,,,
player,201509130den,rav,GillCr00,rush_att,0,,,,,
player,201509130den,rav,GillCr00,rush_yds,0,,,,,
player,201509130den,rav,GillCr00,rush_td,0,,,,,
player,201509130den,rav,GillCr00,rush_long,0,,,,,
player,201509130den,rav,GillCr00,targets,4,,,,,
player,201509130den,rav,GillCr00,rec,2,,,,,
player,201509130den,rav,GillCr00,rec_yds,23,,,,,
