game,2015,6,20151018,201510180cle,den,"Denver Broncos",26,cle,"Cleveland Browns",23
team,201510180cle,den,First Downs,21,,,,,,
team,201510180cle,cle,First Downs,20,,,,,,
team,201510180cle,den,Rush-Yds-TDs,33-152-0,,,,,,
team,201510180cle,cle,Rush-Yds-TDs,33-109-0,,,,,,
team,201510180cle,den,Cmp-Att-Yd-TD-INT,26-48-290-1-3,,,,,,
team,201510180cle,cle,Cmp-Att-Yd-TD-INT,20-39-213-2-2,,,,,,
team,201510180cle,den,Sacked-Yards,0-0,,,,,,
team,201510180cle,cle,Sacked-Yards,4-24,,,,,,
team,201510180cle,den,Net Pass Yards,290,,,,,,
team,201510180cle,cle,Net Pass Yards,189,,,,,,
team,201510180cle,den,Total Yards,442,,,,,,
team,201510180cle,cle,Total Yards,298,,,,,,
team,201510180cle,den,Fumbles-Lost,1-0,,,,,,
team,201510180cle,cle,Fumbles-Lost,1-1,,,,,,
team,201510180cle,den,Turnovers,3,,,,,,
team,201510180cle,cle,Turnovers,3,,,,,,
team,201510180cle,den,Penalties-Yards,8-81,,,,,,
team,201510180cle,cle,Penalties-Yards,6-30,,,,,,
team,201510180cle,den,Third Down Conv.,4-18,,,,,,
team,201510180cle,cle,Third Down Conv.,6-15,,,,,,
team,201510180cle,den,Fourth Down Conv.,1-1,,,,,,
team,201510180cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201510180cle,den,Time of Possession,36:44,,,,,,
team,201510180cle,cle,Time of Possession,33:20,,,,,,
player,201510180cle,den,MannPe00,pass_cmp,26,,,,,
player,201510180cle,den,MannPe00,pass_att,48,,,,,
player,201510180cle,den,MannPe00,pass_yds,290,,,,,
player,201510180cle,den,MannPe00,pass_td,1,,,,,
player,201510180cle,den,MannPe00,pass_int,3,,,,,
player,201510180cle,den,MannPe00,pass_sacked,0,,,,,
player,201510180cle,den,MannPe00,pass_sacked_yds,0,,,,,
player,201510180cle,den,MannPe00,pass_long,75,,,,,
player,201510180cle,den,MannPe00,pass_rating,53.3,,,,,
player,201510180cle,den,MannPe00,rush_att,0,,,,,
player,201510180cle,den,MannPe00,rush_yds,0,,,,,
player,201510180cle,den,MannPe00,rush_td,0,,,,,
player,201510180cle,den,MannPe00,rush_long,0,,,,,
player,201510180cle,den,MannPe00,targets,0,,,,,
player,201510180cle,den,MannPe00,rec,0,,,,,
player,201510180cle,den,MannPe00,rec_yds,0,,,,,
player,201510180cle,den,MannPe00,rec_td,0,,,,,
player,201510180cle,den,MannPe00,rec_long,0,,,,,
player,201510180cle,den,MannPe00,fumbles,0,,,,,
player,201510180cle,den,MannPe00,fumbles_lost,0,,,,,
player,201510180cle,den,HillRo00,pass_cmp,0,,,,,
player,201510180cle,den,HillRo00,pass_att,0,,,,,
player,201510180cle,den,HillRo00,pass_yds,0,,,,,
player,201510180cle,den,HillRo00,pass_td,0,,,,,
player,201510180cle,den,HillRo00,pass_int,0,,,,,
player,201510180cle,den,HillRo00,pass_sacked,0,,,,,
player,201510180cle,den,HillRo00,pass_sacked_yds,0,,,,,
player,201510180cle,den,HillRo00,pass_long,0,,,,,
player,201510180cle,den,HillRo00,pass_rating,,,,,,
player,201510180cle,den,HillRo00,rush_att,20,,,,,
player,201510180cle,den,HillRo00,rush_yds,111,,,,,
player,201510180cle,den,HillRo00,rush_td,0,,,,,
player,201510180cle,den,HillRo00,rush_long,26,,,,,
player,201510180cle,den,HillRo00,targets,5,,,,,
player,201510180cle,den,HillRo00,rec,3,,,,,
player,201510180cle,den,HillRo00,rec_yds,4,,,,,
player,201510180cle,den,HillRo00,rec_td,0,,,,,
player,201510180cle,den,HillRo00,rec_long,3,,,,,
player,201510180cle,den,HillRo00,fumbles,0,,,,,
player,201510180cle,den,HillRo00,fumbles_lost,0,,,,,
player,201510180cle,den,AndeC.00,pass_cmp,0,,,,,
player,201510180cle,den,AndeC.00,pass_att,0,,,,,
player,201510180cle,den,AndeC.00,pass_yds,0,,,,,
player,201510180cle,den,AndeC.00,pass_td,0,,,,,
player,201510180cle,den,AndeC.00,pass_int,0,,,,,
player,201510180cle,den,AndeC.00,pass_sacked,0,,,,,
player,201510180cle,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201510180cle,den,AndeC.00,pass_long,0,,,,,
player,201510180cle,den,AndeC.00,pass_rating,,,,,,
player,201510180cle,den,AndeC.00,rush_att,13,,,,,
player,201510180cle,den,AndeC.00,rush_yds,41,,,,,
player,201510180cle,den,AndeC.00,rush_td,0,,,,,
player,201510180cle,den,AndeC.00,rush_long,11,,,,,
player,201510180cle,den,AndeC.00,targets,4,,,,,
player,201510180cle,den,AndeC.00,rec,4,,,,,
player,201510180cle,den,AndeC.00,rec_yds,25,,,,,
player,201510180cle,den,AndeC.00,rec_td,0,,,,,
player,201510180cle,den,AndeC.00,rec_long,11,,,,,
