game,2015,4,20151004,201510040crd,ram,"St. Louis Rams",24,crd,"Arizona Cardinals",22
player,201510040crd,ram,CookJa02,pass_cmp,0,,,,,
player,201510040crd,ram,CookJa02,pass_att,0,,,,,
player,201510040crd,ram,CookJa02,pass_yds,0,,,,,
player,201510040crd,ram,CookJa02,pass_td,0,,,,,
player,201510040crd,ram,CookJa02,pass_int,0,,,,,
player,201510040crd,ram,CookJa02,pass_sacked,0,,,,,
player,201510040crd,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201510040crd,ram,CookJa02,pass_long,0,,,,,
player,201510040crd,ram,CookJa02,pass_rating,,,,,,
player,201510040crd,ram,CookJa02,rush_att,0,,,,,
player,201510040crd,ram,CookJa02,rush_yds,0,,,,,
player,201510040crd,ram,CookJa02,rush_td,0,,,,,
player,201510040crd,ram,CookJa02,rush_long,0,,,,,
player,201510040crd,ram,CookJa02,targets,6,,,,,
player,201510040crd,ram,CookJa02,rec,3,,,,,
player,201510040crd,ram,CookJa02,rec_yds,22,,,,,
player,201510040crd,ram,CookJa02,rec_td,0,,,,,
player,201510040crd,ram,CookJa02,rec_long,12,,,,,
player,201510040crd,ram,CookJa02,fumbles,0,,,,,
player,201510040crd,ram,CookJa02,fumbles_lost,0,,,,,
player,201510040crd,ram,CunnBe01,pass_cmp,0,,,,,
player,201510040crd,ram,CunnBe01,pass_att,0,,,,,
player,201510040crd,ram,CunnBe01,pass_yds,0,,,,,
player,201510040crd,ram,CunnBe01,pass_td,0,,,,,
player,201510040crd,ram,CunnBe01,pass_int,0,,,,,
player,201510040crd,ram,CunnBe01,pass_sacked,0,,,,,
player,201510040crd,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201510040crd,ram,CunnBe01,pass_long,0,,,,,
player,201510040crd,ram,CunnBe01,pass_rating,,,,,,
player,201510040crd,ram,CunnBe01,rush_att,2,,,,,
player,201510040crd,ram,CunnBe01,rush_yds,0,,,,,
player,201510040crd,ram,CunnBe01,rush_td,0,,,,,
player,201510040crd,ram,CunnBe01,rush_long,3,,,,,
player,201510040crd,ram,CunnBe01,targets,2,,,,,
player,201510040crd,ram,CunnBe01,rec,2,,,,,
player,201510040crd,ram,CunnBe01,rec_yds,4,,,,,
player,201510040crd,ram,CunnBe01,rec_td,0,,,,,
player,201510040crd,ram,CunnBe01,rec_long,7,,,,,
player,201510040crd,ram,CunnBe01,fumbles,0,,,,,
player,201510040crd,ram,CunnBe01,fumbles_lost,0,,,,,
player,201510040crd,ram,HarkCo00,pass_cmp,0,,,,,
player,201510040crd,ram,HarkCo00,pass_att,0,,,,,
player,201510040crd,ram,HarkCo00,pass_yds,0,,,,,
player,201510040crd,ram,HarkCo00,pass_td,0,,,,,
player,201510040crd,ram,HarkCo00,pass_int,0,,,,,
player,201510040crd,ram,HarkCo00,pass_sacked,0,,,,,
player,201510040crd,ram,HarkCo00,pass_sacked_yds,0,,,,,
player,201510040crd,ram,HarkCo00,pass_long,0,,,,,
player,201510040crd,ram,HarkCo00,pass_rating,,,,,,
player,201510040crd,ram,HarkCo00,rush_att,0,,,,,
player,201510040crd,ram,HarkCo00,rush_yds,0,,,,,
player,201510040crd,ram,HarkCo00,rush_td,0,,,,,
player,201510040crd,ram,HarkCo00,rush_long,0,,,,,
player,201510040crd,ram,HarkCo00,targets,1,,,,,
player,201510040crd,ram,HarkCo00,rec,1,,,,,
player,201510040crd,ram,HarkCo00,rec_yds,4,,,,,
player,201510040crd,ram,HarkCo00,rec_td,0,,,,,
player,201510040crd,ram,HarkCo00,rec_long,4,,,,,
player,201510040crd,ram,HarkCo00,fumbles,0,,,,,
player,201510040crd,ram,HarkCo00,fumbles_lost,0,,,,,
player,201510040crd,ram,KendLa00,pass_cmp,0,,,,,
player,201510040crd,ram,KendLa00,pass_att,0,,,,,
player,201510040crd,ram,KendLa00,pass_yds,0,,,,,
player,201510040crd,ram,KendLa00,pass_td,0,,,,,
player,201510040crd,ram,KendLa00,pass_int,0,,,,,
player,201510040crd,ram,KendLa00,pass_sacked,0,,,,,
player,201510040crd,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201510040crd,ram,KendLa00,pass_long,0,,,,,
player,201510040crd,ram,KendLa00,pass_rating,,,,,,
player,201510040crd,ram,KendLa00,rush_att,0,,,,,
player,201510040crd,ram,KendLa00,rush_yds,0,,,,,
player,201510040crd,ram,KendLa00,rush_td,0,,,,,
player,201510040crd,ram,KendLa00,rush_long,0,,,,,
player,201510040crd,ram,KendLa00,targets,2,,,,,
player,201510040crd,ram,KendLa00,rec,0,,,,,
player,201510040crd,ram,KendLa00,rec_yds,0,,,,,
player,201510040crd,ram,KendLa00,rec_td,0,,,,,
player,201510040crd,ram,KendLa00,rec_long,0,,,,,
player,201510040crd,ram,KendLa00,fumbles,0,,,,,
player,201510040crd,ram,KendLa00,fumbles_lost,0,,,,,
player,201510040crd,ram,BritKe00,pass_cmp,0,,,,,
player,201510040crd,ram,BritKe00,pass_att,0,,,,,
player,201510040crd,ram,BritKe00,pass_yds,0,,,,,
player,201510040crd,ram,BritKe00,pass_td,0,,,,,
player,201510040crd,ram,BritKe00,pass_int,0,,,,,
player,201510040crd,ram,BritKe00,pass_sacked,0,,,,,
player,201510040crd,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201510040crd,ram,BritKe00,pass_long,0,,,,,
player,201510040crd,ram,BritKe00,pass_rating,,,,,,
player,201510040crd,ram,BritKe00,rush_att,0,,,,,
player,201510040crd,ram,BritKe00,rush_yds,0,,,,,
